,행정구역,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01
18,서울특별시 금천구 (1154500000),233066,232827,232583,232396,232425,232250,231939,232013,232157,232173,232003,231733,231634,231290,229844,229639,229823,230168,230665,230759,230644,230740,230839,230811,230881,230856,231098,231150,231427,231565,231522,231356,230504,230156,229890,229642,229086,228858,228611,228274,227701,227481,227457,227268,227160,226955
19,서울특별시 영등포구 (1156000000),367916,370108,371903,372225,372568,373349,374097,375133,375630,376924,378276,379480,380169,380443,377590,377696,377577,377421,377408,377655,377536,377524,377048,376837,376949,376884,376740,376465,376290,376437,376661,377295,376216,375849,375785,375675,375997,375526,375586,375276,374920,374794,374985,374968,375148,375090
20,서울특별시 동작구 (1159000000),395636,395201,395014,394988,395180,395165,394905,394118,393554,392674,391896,391220,390433,389754,388730,388672,388396,387847,387810,387558,387117,386246,386051,385483,385478,385490,386017,385982,385755,385898,385746,385379,383637,382747,381704,380596,380562,380478,380154,379640,379186,378769,378360,378283,378649,378871
21,서울특별시 관악구 (1162000000),499869,499587,499374,498978,499431,499740,499729,499316,498574,497082,496059,495060,494175,493374,490352,489464,489160,488800,488525,488304,488029,487357,486427,485699,485610,486209,486375,486361,486686,486946,487172,487629,486787,487201,487038,486752,486633,485994,485172,483959,482692,481956,481872,481834,481958,481722
22,서울특별시 서초구 (1165000000),431050,431336,430568,429729,429340,428919,428252,427237,426009,425558,425431,425126,424707,423829,421315,420318,419121,418407,418294,417568,416285,415083,413363,412279,411539,410682,409823,408918,408133,407672,407346,406565,405076,404902,404704,404325,404731,404616,406404,407788,408098,407664,407768,407996,407840,407596
23,서울특별시 강남구 (1168000000),545938,546436,544804,543240,541915,541233,540636,540148,539235,540127,539838,539231,538536,537879,534796,533579,532296,531375,530529,532818,533359,533878,533557,533042,533173,533286,532577,532049,531744,531777,532198,532500,530103,529946,529698,529102,538872,540730,540957,541565,541130,544873,549154,553555,554280,554651
24,서울특별시 송파구 (1171000000),676341,675782,674095,672862,672089,671512,671589,671312,670331,668920,668498,667960,667222,665463,661411,660160,659446,658670,658093,658991,659385,659239,658841,658338,658859,661452,662607,662963,662960,662961,663070,662599,660211,659788,659381,658801,656603,656176,655744,655300,654845,654166,653989,653922,653736,653447
25,서울특별시 강동구 (1174000000),440795,446887,452646,455042,456312,457164,457339,457330,458058,458495,458604,459970,461334,464208,464900,465331,465459,465209,465191,464411,464163,463752,463265,462664,462452,461972,461300,461228,461417,461630,461774,462109,460617,460413,460258,460067,458614,458400,458385,458292,458824,459167,459389,460515,461367,461921
26,부산광역시  (2600000000),3411819,3410925,3409932,3408347,3406942,3404423,3402776,3401072,3399749,3397598,3395514,3391946,3389388,3387761,3372399,3369704,3367334,3364358,3361781,3359527,3358763,3356311,3353627,3350380,3348874,3347396,3343504,3340214,3338167,3336737,3334595,3331444,3323826,3322286,3320276,3317812,3305052,3302740,3300836,3298213,3295496,3293362,3290964,3289401,3287292,3284947
27,부산광역시 중구 (2611000000),41830,41826,41764,41714,41742,41652,41633,41630,41593,41547,41501,41523,41549,41551,41370,41311,41209,40561,40666,40713,40708,40676,40556,40524,40537,40582,40596,40585,40537,40455,40342,40297,40117,39936,39840,39689,39151,39060,38956,38831,38723,38619,38476,38487,38463,38385
