센터명,위도,경도,주소
고양시건강가정지원센터,37.6558479,126.8376584,대한민국 경기도 고양시 덕양구 성사동 번지 1층 366-5
과천시가족센터,37.4279095,126.991196,대한민국 경기도 과천시
광명시가족센터,37.4418886,126.8468729,대한민국 경기도 광명시
광주시가족센터,37.4167525,127.2553356,대한민국 광주시
구리시가족센터,37.5950172,127.129005,대한민국 경기도 구리시 여성 교문동 아차산로 453 행복센터 5층
군포시가족센터,37.335832,126.9338205,대한민국 경기도 군포시 부곡동 1194
김포시가족센터,37.6462182,126.6208633,대한민국 경기도 김포시 김포한강4로 564
남양주시가족센터,37.6104774,127.1711994,대한민국 경기도 남양주시 지금동 159-7
동두천시 가족센터,37.902444,127.0531685,대한민국 경기도 동두천시
부천시건강가정지원센터,37.49490309999999,126.7543519,대한민국 경기도 부천시 원미구 장말로 107
성남시건강가정지원센터,37.4610504,127.1305132,대한민국 경기도 성남시 수정구 복정동 667
수원시건강가정지원센터,37.2750433,127.0161129,대한민국 경기도 수원시 팔달구 중동 4
시흥시가족센터,37.3472855,126.7495379,대한민국 경기도 시흥시 정왕천로449번길 51 정왕천로 449번길 51 정왕본동 시흥시 경기도 KR 15052
사회적협동조합 경기시흥작은자리지역자활센터,37.4430556,126.7925438,대한민국 경기도 시흥시 비둘기공원7길 33 디아망타운 702호 KR 7층 702호
안산시건강가정지원센터,37.3180922,126.8300731,대한민국 경기도 안산시 단원구 호수동 광덕대로 197 그린손해보험 사옥 6층
안성시건강가정·다문화가족지원센터,37.0075339,127.2695329,대한민국 경기도 안성시
안양시 가족센터,37.3924811,126.9505247,대한민국 경기도 안양시 동안구 동안로 158 구청 별관 2층
양주시가족센터,37.7840406,127.0465745,대한민국 경기도 양주시
양평군가족센터,37.4830083,127.4993315,대한민국 양평군
여주시가족센터,37.2924143,127.6361833,대한민국 경기도 여주시 시 세종로 61 현대아파트 상가 3층
연천군가족센터,38.0304257,127.0662783,대한민국 경기도 연천군 전곡읍 전곡리 11 종합복지관 5층
오산시가족센터,37.15565429999999,127.0726571,대한민국 경기도 오산시
용인시가족센터,37.299648,127.0743286,대한민국 경기도 용인시 수지구 상현1동 법조로 230
의왕시 건강가정·다문화가족지원센터,37.3608098,126.9699483,대한민국 경기도 의왕시 오전동 99-1
의정부시가족센터,37.73357110000001,127.0431529,대한민국 경기도 의정부시 의정부동 564
이천시가족센터,37.2780008,127.4410298,대한민국 경기도 이천시 중리동 남천로 31 종합복지타운 여성회관 3층
파주시가족센터,37.7568141,126.7792561,대한민국 경기도 파주시 금촌동 중앙로 229
평택시가족센터,36.9940244,126.8524533,대한민국 경기도 평택시
포천시가족센터,37.8566721,127.1375868,대한민국 경기도 포천시 해룡로 120
하남시가족센터,37.54170879999999,127.2157526,대한민국 하남시
화성시가족센터,37.2036356,127.0335021,대한민국 경기도 화성시 태안로 145
강릉시어린이집연합회,37.75570039999999,128.9205398,대한민국 강원도 강릉시 입암동 210번지 이안강릉타운 108동 101호
고성군가족센터,34.9736828,128.3234587,대한민국 경상남도 고성군 고성읍 성내로135번길 10-1
동해시가족센터,37.5269691,129.1139414,대한민국 강원도 동해시 천곡동 808-1
삼척시가족센터,37.4375022,129.1528191,대한민국 강원도 삼척시 원당동 62
속초시가족센터,38.204235,128.5884263,대한민국 강원도 속초시
양구군가족센터,38.1016832,127.9855152,대한민국 강원도 양구군
양양군가족센터,38.0700313,128.6253713,대한민국 강원도 양양군 양양읍 월리 226-5번지
영월군가족센터,37.1846295,128.468515,대한민국 강원도 영월군 영월읍 단종로 12
원주시가족센터,37.3211136,127.942418,대한민국 강원도 원주시 판부면 매봉길 16-18 행복드림센터
인제군가족센터,38.0611312,128.1649706,대한민국 인제군
정선군가족센터,37.3781426,128.6645254,대한민국 강원도 정선군 정선읍 봉양리 16
철원군가족센터,38.1453613,127.310439,대한민국 강원도 철원군 갈말읍 신철원리 22-1
사)동부디아코니아,,,
태백시가족센터,37.159552,128.9840531,대한민국 강원도 태백시 황지동 해지개길 41
평창군가족센터 ,37.368772,128.394977,대한민국 강원도 평창군 평창읍 평창중앙로 67
홍천군가족센터,37.691329,127.8834356,대한민국 강원도 홍천군 홍천읍 꽃뫼로 87
강원화천지역자활센터,38.1116758,127.7051604,대한민국 강원도 화천군 화천읍 상리 20-47
횡성군가족센터,37.487044,127.9846078,대한민국 강원도 횡성군 횡성읍 횡성로 379
괴산군가족센터,36.8076454,127.7900463,대한민국 충청북도 괴산군 괴산읍 금산길 3
단양군가족센터,36.9876179,128.370089,대한민국 충청북도 단양군 단양읍 별곡리 5 2층
보은군가족센터,36.4887681,127.7177059,대한민국 충청북도 보은군
영동군가족센터,36.1765215,127.7712213,대한민국 충청북도 영동군 영동읍 부용리 성안길 8
옥천군가족센터,36.3014753,127.5669816,대한민국 충청북도 옥천군 옥천읍 삼금로4길 6
음성군가족센터,36.9313385,127.6917508,대한민국 충청북도 음성군 음성읍 읍내리 103
제천시가족센터,37.1414289,128.2113722,대한민국 충청북도 제천시 교동 명륜로13길 3 제천가톨릭복지관 2층
증평군여성단체협의회,36.7856283,127.5908483,대한민국 충청북도 증평군 증평읍 증천리 18
진천군가족센터,36.8610179,127.439389,대한민국 충청북도 진천군 진천읍 벽암리 570-1
청주시가족센터,36.6283272,127.4913407,대한민국 충청북도 청주시
충주시가족센터,36.9708761,127.9282711,대한민국 충청북도 충주시 사직산21길 34 복합복지관 2층
계룡시가족센터,36.2884381,127.2416575,대한민국 충청남도 계룡시
(사)공주대교육나눔,36.4691463,127.1409327,대한민국 충청남도 공주시 신관동 182 신관동 182번지 공주시 충청남도 KR 32588
금산군 가족센터,36.1071814,127.4896976,대한민국 충청남도 금산군
논산시청,36.187159,127.0988903,대한민국 충청남도 논산시 시민로210번길 9
당진시건강가정지원센터,36.895635,126.6507466,대한민국 충청남도 당진시 수청동
보령시가족센터,36.3463355,126.6084952,대한민국 충청남도 보령시 한내로 45 문화빌딩 2층
부여군청,36.2758883,126.9104863,대한민국 충청남도 부여군
서산시가족센터,36.76901489999999,126.4640123,대한민국 충청남도 서산시 석림1로 85
서천군가족센터,36.0759485,126.6954764,대한민국 충청남도 서천군 서천읍 군사리 38 2층
아산시가족센터,36.7822203,127.0005605,대한민국 충청남도 아산시
예산군가족센터,36.6922505,126.833947,대한민국 충청남도 예산군 예산읍 산성리 15 2층
천안시건강가정지원센터,36.8268547,127.1378742,대한민국 충청남도 천안시 서북구 동서대로 129-12
청양군가족센터,36.4535635,126.8069331,대한민국 충청남도 청양군 청양읍 읍내리 32
태안군가족센터,36.7525045,126.2936419,대한민국 충청남도 태안군
홍성군가족센터,36.6005553,126.6709053,대한민국 충청남도 홍성군
고창군청 인재양성과,35.435788,126.702109,대한민국 전라북도 고창군 고창읍 중앙로 245
군산시가족센터,35.9654373,126.7137797,대한민국 전라북도 군산시 축동1길 15-2
김제시가족센터,35.8053939,126.8964244,대한민국 전라북도 김제시 검산동 1031번지 3층
남원시가족센터,35.4098534,127.3874026,대한민국 전라북도 남원시 용성로 43
무주군가족센터,36.0025144,127.6656969,대한민국 전라북도 무주군 최북로 7
부안군청 교육청소년과,35.7318083,126.7334869,대한민국 전라북도 부안군 부안읍 당산로 91
순창군가족센터,35.3712629,127.1260181,대한민국 전라북도 순창군 순창읍 교성리 192
완주군가족센터,35.9605417,127.1285678,대한민국 전라북도 완주군
익산시가족센터,35.9443701,126.9595253,대한민국 전라북도 익산시
임실군가족센터,35.6125056,127.2860024,대한민국 전라북도 임실군
장수군자원봉사센터,35.6492121,127.5188626,대한민국 전라북도 장수군
전주시건강가정지원센터,35.8307715,127.1155989,대한민국 전라북도 전주시 완산구 서신로 61
정읍시가족센터,35.5615819,126.8636603,대한민국 전라북도 정읍시
진안군가족센터,35.7885505,127.4228541,대한민국 전라북도 진안군 진안읍 군하리 중앙로 28
강진군가족센터,34.6447962,126.7717315,대한민국 전라남도 강진군 강진읍 동성리 41
고흥군가족센터,34.6049032,127.2812259,대한민국 전라남도 고흥군 고흥읍 고흥로 1696
곡성군가족센터,35.2834583,127.2896668,대한민국 전라남도 곡성군 곡성읍 읍내리 6
광양시가족센터,34.9464898,127.7030359,대한민국 전라남도 광양시 마동
구례군새마을회,35.2270475,127.4483208,대한민국 전라남도 구례군 용방면 사림리
나주시아이돌보미지원센터,35.0280742,126.7262802,대한민국 전라남도 나주시 죽림동 번지 1층 60-172
담양군여성단체협의회,35.1517136,126.8889867,대한민국 광주광역시
목포시가족센터,34.7990407,126.3894783,대한민국 전라남도 목포시
무안군가족센터,34.9890827,126.479245,대한민국 전라남도 무안군 무안읍 성동리 511 2층
보성종합사회복지관,34.7704844,127.083339,대한민국 보성군
순천시 YWCA,34.957102,127.4844257,대한민국 전라남도 순천시
여수시가족+센터,34.7610473,127.6629076,대한민국 전라남도 여수시
영광지역자활센터,35.2755814,126.512686,대한민국 전라남도 영광군 영광읍 도동리 252-4
영암군가족센터,34.8001896,126.6982696,대한민국 전라남도 영암군
완도군가족센터,34.3161844,126.7485932,대한민국 전라남도 완도군 완도읍 군내리 1248-14번지
장성군가족센터,35.2990696,126.7847773,대한민국 전라남도 장성군 장성읍 영천리 973-9번지
장흥지역자활센터,34.6688266,126.8943315,대한민국 장흥군
진도군가족센터,34.479598,126.2692691,대한민국 전라남도 진도군 진도읍 동외리 1189번지 1층
사단법인나비뜰동산,,,
해남군가족센터,34.5717449,126.6101203,대한민국 전라남도 해남군 해남읍 해리 159-5번지
화순군아이돌봄지원센터,35.0629813,126.9867548,대한민국 전라남도 화순군 화순읍 만연리 167번지 1층
경산시가족센터,35.8203054,128.7283785,대한민국 경상북도 경산시 사정동 경산로 131
가경사회서비스지원센터,35.8488218,129.214278,대한민국 경상북도 경주시 동문로 50
고령군여성단체협의회,35.7299026,128.2686586,대한민국 경상북도 고령군
구미대학교 산학협력단,36.1513715,128.2890846,대한민국 경상북도 구미시 부곡동 번지 내 407 대학교
경북보건대학교더푸름아동돌봄지원센터,36.1383849,128.0843663,대한민국 경상북도 김천시 대학로 168
문경시가족센터,36.590432,128.1800611,대한민국 경상북도 문경시 모전동 매봉로 65 4층
봉화군가족센터,36.8907453,128.741995,대한민국 경상북도 봉화군 봉화읍 내성리 12-3
상주시가족센터,36.4156486,128.1593222,대한민국 경상북도 상주시
성주군가족센터,35.91820999999999,128.2866674,대한민국 경상북도 성주군
안동시가족센터,36.5634629,128.7207236,대한민국 경상북도 안동시
영덕군가족센터,36.420278,129.3621782,대한민국 경상북도 영덕군 영덕읍 화개리 324 영덕문화체육센터
영양군다문화가족지원센터,36.6609909,129.1164296,대한민국 경상북도 영양군 영양읍 서부리 36
영주시가족센터,36.8287229,128.6295006,대한민국 경상북도 영주시 하망동 182번지
영천시가족센터,35.9664291,128.9235087,대한민국 경상북도 영천시 화룡동 운동장로 41 3층
예천군가족센터,36.6509086,128.4503282,대한민국 경상북도 예천군 예천읍 남본리 258-6 동 2층 베스트프라자
울릉군가족센터,37.4976777,130.9076477,대한민국 경상북도 울릉군 울릉읍 도동리 31
울진군가족센터,36.9928236,129.394468,대한민국 경상북도 울진군 읍내리 울진읍 읍내리 361번지 1층
의성군가족센터,36.3543634,128.6969881,대한민국 경상북도 의성군 의성읍 후죽리 502-1
청도군가족센터,35.6485981,128.719247,대한민국 경상북도 청도군 화양읍 동천리 457
청송군다문화가족지원센터,36.4292943,129.0560246,대한민국 경상북도 청송군 청송읍 월막리 244-30 문화복지타운
칠곡군가족센터,35.9917054,128.4188966,대한민국 경상북도 칠곡군 왜관읍 관문로1길 24-11 온가족행복센터 2층 KR
포항시가족센터,36.0478333,129.3662055,대한민국 경상북도 포항시 북구 대신동 71-6번지
거제시여성인력개발센터,34.8843826,128.6189394,대한민국 거제시
거창군가족센터,35.6822814,127.9101784,대한민국 경상남도 거창군 거창읍 송정리 21번지
경남돌봄지원센터 사회적협동조합,34.9767124,128.3209872,대한민국 경상남도 고성군 고성읍 서외리 48-3번지
김해시가족센터,35.2339105,128.8845175,대한민국 경상남도 김해시
남해여성회,34.8333771,127.899794,대한민국 경상남도 남해군
밀양시가족센터,35.5037395,128.7515006,대한민국 경상남도 밀양시 밀양대로 2089 1층 KR
사천YWCA,34.9330935,128.082241,대한민국 사천시
산청군가족센터,35.4155881,127.8751645,대한민국 경상남도 산청군 산청읍 옥산리 450-6
양산시 여성복지센터,35.3328933,129.0358839,대한민국 경상남도 양산시 옥곡7길 26
