행정구역,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01
서울특별시 마포구 (1144000000),373951,374315,374570,374426,374837,374390,374036,373620,373508,372905,372320,371890,371492,371200,368518,369577,369970,370132,370185,370053,369903,369695,369238,368905,368617,368560,368331,367613,367474,367584,367473,367190,365266,364698,364374,364638,364978.0,364573.0,364257.0,363953.0,363862.0,363697.0,363679.0,363615.0,363645.0,363449.0
서울특별시 양천구 (1147000000),457887,457332,456339,457132,458181,457953,457543,456980,456240,455649,455058,454251,453382,454270,452677,452112,451541,450992,450431,449603,449010,448634,448061,447302,446895,446478,446182,445662,444925,444548,444213,443847,442145,441749,441550,440881,438125.0,437665.0,437401.0,437199.0,436475.0,436028.0,435548.0,435278.0,434528.0,433975.0
서울특별시 강서구 (1150000000),591599,590419,589302,588281,587553,586936,586279,584920,583544,582586,581909,580185,579176,579082,577320,577580,577484,577519,577058,576361,575875,575370,574789,574315,574001,573531,573046,572648,572959,573045,572814,572230,570368,570011,569456,569166,566333.0,565195.0,564339.0,563663.0,563575.0,563058.0,562550.0,562067.0,561386.0,560679.0
서울특별시 구로구 (1153000000),406751,406245,405837,405271,405030,405075,405260,405495,405579,405481,405194,404408,403518,402642,401074,400399,399950,399266,398744,397887,397506,397330,397058,396754,396515,396221,396017,395555,395146,394850,394745,394246,393181,394212,394811,395315,394746.0,394363.0,393929.0,393459.0,392967.0,392405.0,392311.0,391671.0,391387.0,390952.0
서울특별시 금천구 (1154500000),233066,232827,232583,232396,232425,232250,231939,232013,232157,232173,232003,231733,231634,231290,229844,229639,229823,230168,230665,230759,230644,230740,230839,230811,230881,230856,231098,231150,231427,231565,231522,231356,230504,230156,229890,229642,229086.0,228858.0,228611.0,228274.0,227701.0,227481.0,227457.0,227268.0,227160.0,226955.0
서울특별시 영등포구 (1156000000),367916,370108,371903,372225,372568,373349,374097,375133,375630,376924,378276,379480,380169,380443,377590,377696,377577,377421,377408,377655,377536,377524,377048,376837,376949,376884,376740,376465,376290,376437,376661,377295,376216,375849,375785,375675,375997.0,375526.0,375586.0,375276.0,374920.0,374794.0,374985.0,374968.0,375148.0,375090.0
서울특별시 동작구 (1159000000),395636,395201,395014,394988,395180,395165,394905,394118,393554,392674,391896,391220,390433,389754,388730,388672,388396,387847,387810,387558,387117,386246,386051,385483,385478,385490,386017,385982,385755,385898,385746,385379,383637,382747,381704,380596,380562.0,380478.0,380154.0,379640.0,379186.0,378769.0,378360.0,378283.0,378649.0,378871.0
서울특별시 관악구 (1162000000),499869,499587,499374,498978,499431,499740,499729,499316,498574,497082,496059,495060,494175,493374,490352,489464,489160,488800,488525,488304,488029,487357,486427,485699,485610,486209,486375,486361,486686,486946,487172,487629,486787,487201,487038,486752,486633.0,485994.0,485172.0,483959.0,482692.0,481956.0,481872.0,481834.0,481958.0,481722.0
서울특별시 서초구 (1165000000),431050,431336,430568,429729,429340,428919,428252,427237,426009,425558,425431,425126,424707,423829,421315,420318,419121,418407,418294,417568,416285,415083,413363,412279,411539,410682,409823,408918,408133,407672,407346,406565,405076,404902,404704,404325,404731.0,404616.0,406404.0,407788.0,408098.0,407664.0,407768.0,407996.0,407840.0,407596.0
서울특별시 강남구 (1168000000),545938,546436,544804,543240,541915,541233,540636,540148,539235,540127,539838,539231,538536,537879,534796,533579,532296,531375,530529,532818,533359,533878,533557,533042,533173,533286,532577,532049,531744,531777,532198,532500,530103,529946,529698,529102,538872.0,540730.0,540957.0,541565.0,541130.0,544873.0,549154.0,553555.0,554280.0,554651.0
