행정구역,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01
대전광역시  (3000000000),1474152,1473125,1471858,1471650,1471915,1471040,1470225,1469431,1469099,1467556,1465893,1463882,1463291,1462064,1458463,1457619,1457161,1456107,1455300,1454679,1455058,1454228,1453675,1452251,1451272,1450862,1450057,1449360,1448933,1448401,1448182,1448240,1446602,1446863,1446749,1446072,1444898.0,1444837.0,1444595.0,1443965.0,1443106.0,1442216.0,1441562.0,1441536.0,1441689.0,1441272.0
대전광역시 동구 (3011000000),226216,225633,225302,225094,224729,224300,224060,223728,223368,222850,222446,223021,223727,224103,223469,223358,223353,223245,223198,223206,223409,223384,223038,222222,221592,221300,220860,220313,220920,221043,220889,220724,220511,220286,220102,219751,218701.0,218694.0,218687.0,218465.0,218037.0,217628.0,217079.0,217024.0,216872.0,216533.0
대전광역시 중구 (3014000000),240215,240064,239635,239361,238955,238540,238149,237792,237425,236825,236492,235550,235164,234654,233601,233213,233067,232841,232627,232309,232077,231852,231306,230341,229555,229283,229497,229531,229089,229570,229712,229092,228198,227934,227500,227108,224684.0,224439.0,224439.0,224143.0,223506.0,223256.0,222919.0,222690.0,223076.0,223581.0
대전광역시 서구 (3017000000),481174,481349,481135,481304,481449,481436,481209,481124,480780,479806,478872,477880,477326,476945,475685,475622,475406,474934,474653,474504,474444,474046,473952,473365,473019,472935,472417,471907,471247,470332,469987,471029,470852,471112,471033,470374,467653.0,467364.0,466927.0,465978.0,465183.0,464634.0,464741.0,464764.0,464115.0,463328.0
대전광역시 유성구 (3020000000),349824,349915,350055,350439,351532,351882,352316,352550,352604,352231,351790,351047,350875,350374,350136,350017,350046,349927,349836,349809,350337,350284,351049,351277,351622,351887,351989,352557,352826,352844,353151,353263,353449,354066,354845,356093,363057.0,363731.0,364062.0,365082.0,366294.0,366845.0,367240.0,367500.0,367727.0,367634.0
대전광역시 대덕구 (3023000000),176723,176164,175731,175452,175250,174882,174491,174237,174922,175844,176293,176384,176199,175988,175572,175409,175289,175160,174986,174851,174791,174662,174330,175046,175484,175457,175294,175052,174851,174612,174443,174132,173592,173465,173269,172746,170803.0,170609.0,170480.0,170297.0,170086.0,169853.0,169583.0,169558.0,169899.0,170196.0
울산광역시  (3100000000),1147037,1145710,1144563,1144098,1143148,1142190,1141362,1140310,1139368,1138581,1137345,1136017,1135370,1132953,1129254,1128163,1127175,1126369,1125727,1124459,1123236,1122566,1122495,1121592,1121100,1119446,1118010,1117204,1116482,1115609,1114753,1113458,1112191,1111707,1111371,1110663,1105326.0,1104448.0,1104167.0,1104031.0,1103752.0,1103661.0,1103402.0,1102161.0,1101336.0,1101059.0
울산광역시 중구 (3111000000),223060,222395,221702,221125,220604,220028,219635,219249,218862,218571,218096,217595,217191,216523,215276,214901,214775,214779,214584,214280,213833,213579,213441,212883,212502,211948,211523,211249,210786,210354,210115,209642,209120,208846,208508,208132,205838.0,205464.0,205345.0,207179.0,208347.0,208668.0,208568.0,208249.0,208044.0,208000.0
울산광역시 남구 (3114000000),323704,323756,323320,323230,323192,322883,322486,321955,321494,321134,320716,320064,319780,319189,318059,317672,317184,316716,316241,315599,315118,314706,314331,313819,313427,312885,312328,312148,312230,312159,311849,311396,310955,310784,310737,310638,309220.0,309139.0,309184.0,308438.0,307790.0,307232.0,306762.0,306068.0,305615.0,305346.0
울산광역시 동구 (3117000000),159294,158809,158477,158323,158154,157973,157757,157589,157396,157319,157111,156806,156596,156209,155753,155511,155284,155129,154922,154705,154566,154501,154383,154096,153975,153592,153330,153164,152971,152691,152560,152322,152008,151986,151945,151711,152048.0,152315.0,152523.0,152419.0,152356.0,152287.0,152104.0,151796.0,151648.0,151663.0
울산광역시 북구 (3120000000),218053,218190,218353,218364,218396,218673,218777,218765,218903,218949,218882,219014,219175,218774,218481,218410,218303,218131,218065,217920,217736,217750,218258,218735,219121,219067,219052,218947,218738,218742,218637,218489,218447,218539,218635,218670,217879.0,217533.0,217322.0,216567.0,216025.0,216477.0,217045.0,217047.0,216917.0,216895.0
울산광역시 울주군 (3171000000),222926,222560,222711,223056,222802,222633,222707,222752,222713,222608,222540,222538,222628,222258,221685,221669,221629,221614,221915,221955,221983,222030,222082,222059,222075,221954,221777,221696,221757,221663,221592,221609,221661,221552,221546,221512,220341.0,219997.0,219793.0,219428.0,219234.0,218997.0,218923.0,219001.0,219112.0,219155.0
세종특별자치시  (3600000000),342328,343788,344792,345216,345373,345341,346217,347232,348014,351007,353430,355831,357871,359569,360462,361396,362036,362995,364364,365309,366560,368276,369465,371895,374377,376399,377296,378196,379340,380215,380889,381439,381925,382258,382770,383591,386192.0,385953.0,385932.0,386079.0,386256.0,386525.0,386944.0,387193.0,387411.0,387726.0
세종특별자치시  (3611000000),342328,343788,344792,345216,345373,345341,346217,347232,348014,351007,353430,355831,357871,359569,360462,361396,362036,362995,364364,365309,366560,368276,369465,371895,374377,376399,377296,378196,379340,380215,380889,381439,381925,382258,382770,383591,386192.0,385953.0,385932.0,386079.0,386256.0,386525.0,386944.0,387193.0,387411.0,387726.0
경기도  (4100000000),13250368,13265377,13288975,13311254,13324041,13338020,13351891,13370714,13388485,13400615,13413459,13427014,13449499,13471758,13465837,13479798,13488910,13500688,13512867,13530519,13542284,13549577,13557973,13565450,13571450,13574369,13575936,13577808,13581496,13585967,13589362,13590056,13574353,13579508,13583238,13589432,13623055.0,13624964.0,13626339.0,13627840.0,13628135.0,13630821.0,13635250.0,13639616.0,13642451.0,13648156.0
경기도 수원시 (4111000000),1193894,1193480,1192762,1192622,1192018,1191542,1191244,1190074,1188926,1187638,1187153,1186078,1185741,1186273,1185984,1185532,1184922,1184210,1183615,1183419,1184754,1185276,1184683,1183714,1184404,1184996,1185569,1185560,1185041,1185044,1185184,1186961,1188234,1189654,1190368,1190964,1192960.0,1195111.0,1195718.0,1196864.0,1197241.0,1197257.0,1197220.0,1196856.0,1196818.0,1196987.0
경기도 수원시 장안구 (4111100000),277846,277386,276842,276611,276317,275875,275479,274984,274911,274480,274148,273661,273324,272823,271918,271170,270807,270373,270044,269906,272625,273854,274107,273835,273399,273339,273541,273238,272963,273223,273174,272638,271779,271305,271012,270524,269128.0,268547.0,268202.0,269440.0,270294.0,270849.0,270959.0,271316.0,271526.0,273317.0
경기도 수원시 권선구 (4111300000),371509,371218,370922,370955,370687,370648,370548,370337,369755,369314,369150,368645,368686,368157,366553,365778,365384,365208,365157,365103,364671,364416,364164,364136,367044,368667,369288,369525,369217,369188,369016,368047,366832,366453,367004,367446,368915.0,368270.0,367359.0,366740.0,366467.0,366167.0,366306.0,365904.0,365844.0,365287.0
경기도 수원시 팔달구 (4111500000),175698,175677,175533,175446,175396,175468,175247,175063,174879,174683,174709,174930,175098,177307,180743,182377,182844,183123,183198,183288,182925,182600,182390,182321,181990,181806,181595,181395,181280,181123,181416,185563,189267,191423,192225,192610,192414.0,195442.0,197197.0,197705.0,197473.0,197213.0,196921.0,196573.0,196326.0,195864.0
경기도 수원시 영통구 (4111700000),368841,369199,369465,369610,369618,369551,369970,369690,369381,369161,369146,368842,368633,367986,366770,366207,365887,365506,365216,365122,364533,364406,364022,363422,361971,361184,361145,361402,361581,361510,361578,360713,360356,360473,360127,360384,362503.0,362852.0,362960.0,362979.0,363007.0,363028.0,363034.0,363063.0,363122.0,362519.0
경기도 성남시 (4113000000),942649,942183,941688,941527,940519,939748,938982,940668,941783,941480,940746,940064,939774,938819,934308,932867,931626,931654,931756,931931,931760,931319,931063,930948,931072,930731,929463,928267,927340,926645,925981,924333,920903,920667,920362,922518,919771.0,918077.0,917374.0,917243.0,918771.0,919747.0,919856.0,919855.0,919464.0,918706.0
경기도 성남시 수정구 (4113100000),234614,234417,234421,234653,234702,234729,234993,239043,241803,242451,242157,241701,241568,241217,238984,238336,237729,236873,236351,235720,235530,235980,236076,235988,235887,235616,235377,235103,234748,234728,234524,234303,233447,232663,232125,230460,230699.0,230552.0,230406.0,230442.0,233509.0,235942.0,236825.0,237291.0,237514.0,237536.0
경기도 성남시 중원구 (4113300000),219921,219619,219408,219155,218785,218485,218146,216969,216379,216013,215975,216131,216142,216128,215336,215314,215212,214767,214189,213784,213280,212478,211658,210777,210344,209991,209406,208846,208356,207896,207526,206386,204894,205893,206211,210505,213471.0,213015.0,212792.0,212648.0,211505.0,210848.0,210369.0,210179.0,209947.0,209574.0
경기도 성남시 분당구 (4113500000),488114,488147,487859,487719,487032,486534,485843,484656,483601,483016,482614,482232,482064,481474,479988,479217,478685,480014,481216,482427,482950,482861,483329,484183,484841,485124,484680,484318,484236,484021,483931,483644,482562,482111,482026,481553,475601.0,474510.0,474176.0,474153.0,473757.0,472957.0,472662.0,472385.0,472003.0,471596.0
경기도 의정부시 (4115000000),451876,452865,453679,454222,454859,455520,455671,456660,458273,459418,460390,461710,462499,462619,461143,461077,460923,461523,462588,463373,463562,463665,463706,463661,463877,463977,464262,464358,464397,464171,463934,464310,463160,463324,463789,463724,464775.0,464778.0,464909.0,465019.0,464644.0,464213.0,463724.0,463077.0,462466.0,462010.0
경기도 안양시 (4117000000),565352,563066,561966,561069,559792,558017,556561,554857,553286,552154,551296,550027,549730,550939,551136,551189,550750,549903,548960,548491,548074,547258,546753,547178,548654,549827,549826,549724,549917,549659,549457,548938,547968,548372,548398,548228,545478.0,545092.0,544514.0,544083.0,543597.0,544660.0,546078.0,546534.0,546384.0,546182.0
경기도 안양시 만안구 (4117100000),243176,242107,241916,241999,242105,241830,241478,240946,240604,240364,239947,239413,239070,238131,237879,238231,238331,238391,238639,239071,239356,239203,238809,238311,237288,236611,236237,235843,235229,234712,234363,234083,233963,234331,234296,234394,232874.0,232609.0,232258.0,231803.0,231267.0,230664.0,230139.0,229819.0,229483.0,229237.0
경기도 안양시 동안구 (4117300000),322176,320959,320050,319070,317687,316187,315083,313911,312682,311790,311349,310614,310660,312808,313257,312958,312419,311512,310321,309420,308718,308055,307944,308867,311366,313216,313589,313881,314688,314947,315094,314855,314005,314041,314102,313834,312604.0,312483.0,312256.0,312280.0,312330.0,313996.0,315939.0,316715.0,316901.0,316945.0
경기도 부천시 (4119000000),828947,827374,827132,826845,826093,825700,824675,822865,822000,821068,819990,818383,817449,816087,813178,812158,811225,810742,810069,809559,809083,808047,807090,806067,804990,803585,802473,801503,800174,798999,797855,796575,793519,792561,791263,790128,786469.0,785432.0,784273.0,782854.0,781119.0,779968.0,778874.0,777547.0,776349.0,775488.0
경기도 광명시 (4121000000),315920,316125,316220,315745,314413,312774,311119,308678,305836,302761,300092,298599,297748,296785,295750,295690,295742,295852,295560,295335,294895,294458,293763,292893,292214,291331,290698,290756,290726,290501,290351,289887,288933,288366,288182,287945,280986.0,280414.0,280129.0,280270.0,280287.0,280197.0,279943.0,279514.0,279231.0,278983.0
경기도 평택시 (4122000000),514876,517087,519124,520649,522111,523881,525378,527166,529140,531655,534343,537307,540929,544085,544368,546154,548131,549901,551603,554511,557450,559363,561770,564288,565827,567411,568405,569369,570868,572548,573987,575007,575032,576192,577335,578529,587093.0,587611.0,588380.0,589407.0,590185.0,591022.0,591878.0,592120.0,592800.0,593276.0
경기도 동두천시 (4125000000),94719,94452,94231,94191,94097,94143,93985,93968,93901,93915,94199,94353,94443,94318,93351,93289,93292,93354,93447,93414,93479,93508,93528,93592,93527,93395,93346,93260,93189,92999,92840,92744,92084,91980,91735,91546,89316.0,89174.0,89037.0,88820.0,88787.0,88626.0,88539.0,88255.0,87875.0,87725.0
경기도 안산시 (4127000000),650559,651211,652763,653575,654047,654450,654093,653733,653505,653383,654210,654915,655733,655700,655859,655816,655555,655115,654678,654477,654270,654117,653687,652726,652036,651419,651153,650708,649776,648849,648164,647266,645952,644583,643044,641660,635134.0,634284.0,633417.0,632291.0,630651.0,629308.0,628374.0,627497.0,626954.0,626166.0
경기도 안산시 상록구 (4127100000),344245,344685,347334,348512,349230,349514,349189,348898,348635,348265,350342,351888,352897,352962,353508,353702,353575,353174,352898,352166,351800,351747,351387,350668,349973,349515,349670,349566,349083,348620,348345,347832,347348,346589,345535,344664,339020.0,338379.0,337708.0,337035.0,335924.0,334867.0,333879.0,332718.0,332095.0,331470.0
경기도 안산시 단원구 (4127300000),306314,306526,305429,305063,304817,304936,304904,304835,304870,305118,303868,303027,302836,302738,302351,302114,301980,301941,301780,302311,302470,302370,302300,302058,302063,301904,301483,301142,300693,300229,299819,299434,298604,297994,297509,296996,296114.0,295905.0,295709.0,295256.0,294727.0,294441.0,294495.0,294779.0,294859.0,294696.0
경기도 고양시 (4128000000),1068641,1071002,1072909,1074853,1076179,1076996,1077347,1076406,1075841,1076564,1078047,1079216,1081175,1082420,1080845,1080736,1080656,1080507,1081045,1080896,1080787,1080240,1079722,1079353,1078924,1078772,1079065,1079277,1078975,1078559,1078189,1077198,1074705,1074784,1075202,1076535,1077156.0,1076655.0,1076376.0,1075898.0,1075089.0,1074907.0,1073751.0,1072474.0,1071339.0,1071272.0
경기도 고양시 덕양구 (4128100000),467673,469671,471039,472467,473322,473812,474118,473689,473594,474658,476341,476962,478147,479395,479323,479828,480156,480386,481053,481641,481890,481840,482459,482927,483251,483743,484122,484656,484928,485137,485368,485763,485231,486427,487874,490088,496502.0,496607.0,496791.0,496900.0,496631.0,496438.0,495660.0,494844.0,494226.0,493517.0
경기도 고양시 일산동구 (4128500000),298093,298445,298863,299276,299302,299323,299328,299138,298901,298726,298725,299716,300665,300850,300350,300407,300437,300326,300232,299985,299928,299757,299297,298873,298593,298563,299256,299399,299123,299065,298974,298492,297614,297055,296590,296122,292607.0,292300.0,292021.0,291771.0,291587.0,291597.0,291491.0,291427.0,291363.0,292754.0
경기도 고양시 일산서구 (4128700000),302875,302886,303007,303110,303555,303861,303901,303579,303346,303180,302981,302538,302363,302175,301172,300501,300063,299795,299760,299270,298969,298643,297966,297553,297080,296466,295687,295222,294924,294357,293847,292943,291860,291302,290738,290325,288047.0,287748.0,287564.0,287227.0,286871.0,286872.0,286600.0,286203.0,285750.0,285001.0
경기도 과천시 (4129000000),58334,58253,58280,59687,60790,61309,61717,61902,61982,62011,62026,63231,64549,67279,68399,68955,69027,69276,69509,69640,69732,69910,71234,73345,76139,77632,78128,78301,78414,78532,78645,78657,78231,77818,77775,78137,80855.0,81306.0,81332.0,81143.0,81008.0,81000.0,81071.0,81743.0,82860.0,83358.0
경기도 구리시 (4131000000),199015,198921,199099,199018,198883,198461,198212,197889,197974,197781,197608,197454,197217,196685,195804,195324,194838,194389,193954,193662,193410,193014,192461,191948,191660,191322,191213,191011,190647,190379,190323,189960,189231,189008,188876,188701,188224.0,187984.0,187836.0,187620.0,187284.0,187093.0,186846.0,186585.0,186261.0,186148.0
경기도 남양주시 (4136000000),702545,704172,705264,706069,706444,707485,709247,709881,710433,711815,712900,713321,714822,718434,720282,721767,723215,724183,725031,727221,728664,729918,731497,733798,734013,733995,734033,734642,735547,736212,736864,737059,737059,737352,737366,737353,733625.0,733002.0,732376.0,732122.0,732086.0,732265.0,732472.0,732464.0,732810.0,733209.0
경기도 오산시 (4137000000),226736,226900,227112,227550,227749,228111,228323,228768,229249,229424,229591,229725,230042,230522,230604,230769,230702,230705,230657,230555,230395,230403,230165,229983,229973,229909,229918,230028,230011,230165,230181,230142,229797,229821,229833,229849,229255.0,229569.0,229780.0,229730.0,229792.0,229656.0,230108.0,231937.0,232965.0,234591.0
경기도 시흥시 (4139000000),475396,476481,477425,478464,479368,481430,484164,489077,493005,495391,497925,500895,504935,507681,509115,510098,510833,511314,511747,511807,511900,511888,512155,512030,512092,511839,512455,512721,513653,513928,513768,513331,512331,512168,512438,512912,518366.0,518182.0,518174.0,518771.0,519594.0,519715.0,519306.0,518817.0,519109.0,519060.0
경기도 군포시 (4141000000),275989,275857,275960,275954,275902,276039,275995,275508,274985,274620,274309,273791,273542,272533,271392,271007,270754,270584,270293,269752,269507,269215,269086,268535,267941,267294,267173,267493,267659,267712,267672,267651,267032,266735,266531,266213,263841.0,263496.0,263025.0,262587.0,261898.0,261229.0,260693.0,260169.0,259798.0,259595.0
경기도 의왕시 (4143000000),162472,163982,164602,164701,164150,163622,163049,162751,163720,163960,163978,163795,163585,163208,162443,162227,162239,162215,162925,163510,163715,163704,163555,163356,163040,162761,162493,162137,161696,161334,161296,161047,160759,160563,160464,160221,157684.0,157499.0,157994.0,158242.0,159050.0,158870.0,158221.0,157693.0,157141.0,156482.0
경기도 하남시 (4145000000),273587,275384,277431,279621,281340,283256,284507,285693,287452,288922,291075,293452,295122,298005,300187,301801,302681,305908,308390,310365,312159,314866,318126,320087,321043,322697,323442,323558,323675,323790,323674,323472,323853,324674,325310,326059,328577.0,329162.0,329612.0,329559.0,329822.0,329861.0,329688.0,329482.0,329196.0,329456.0
경기도 용인시 (4146000000),1061440,1063650,1065613,1068519,1070987,1073115,1074968,1075659,1075697,1075490,1074790,1074176,1075045,1075918,1075421,1076773,1077701,1077826,1079049,1080325,1080027,1079609,1078604,1077508,1076830,1076339,1075784,1075877,1076530,1077609,1078451,1078751,1077111,1076369,1075570,1074971,1077280.0,1077890.0,1077224.0,1076098.0,1075474.0,1075566.0,1076859.0,1078069.0,1078150.0,1079326.0
경기도 용인시 처인구 (4146100000),253896,253982,254216,254483,255729,256918,257732,258291,258455,258355,258079,257498,257773,258065,258130,259445,260398,260877,261482,262030,261553,261166,260487,260198,259969,260029,259786,260440,261276,261898,262344,262597,261742,260930,259872,259288,263131.0,263923.0,263455.0,262555.0,261813.0,261488.0,261719.0,262954.0,263469.0,265475.0
경기도 용인시 기흥구 (4146300000),437146,437811,438790,439725,440274,440831,441190,441109,440923,440826,440764,440835,440940,440649,440164,439922,439953,439791,440630,441375,441960,442335,442323,441742,441419,441173,440826,440298,439990,439877,439674,439459,438728,438547,438500,438235,436142.0,435967.0,435764.0,435765.0,436101.0,436656.0,437751.0,437677.0,437633.0,437123.0
경기도 용인시 수지구 (4146500000),370398,371857,372607,374311,374984,375366,376046,376259,376319,376309,375947,375843,376332,377204,377127,377406,377350,377158,376937,376920,376514,376108,375794,375568,375442,375137,375172,375139,375264,375834,376433,376695,376641,376892,377198,377448,378007.0,378000.0,378005.0,377778.0,377560.0,377422.0,377389.0,377438.0,377048.0,376728.0
경기도 파주시 (4148000000),453961,453827,454494,455262,455471,456073,456788,459158,461314,463155,464453,465617,466539,467954,468501,470096,471219,472260,473673,476044,477819,479183,481629,483245,484729,485672,486131,486515,486872,487831,488608,490143,492267,493938,494970,495315,496811.0,496878.0,497108.0,497527.0,497775.0,497753.0,499883.0,502453.0,503547.0,504999.0
경기도 이천시 (4150000000),215885,215869,216404,216844,217547,218465,218954,219537,219531,219513,219525,218388,218651,218793,218565,219224,219591,220904,221697,222883,223482,224066,223831,223177,222997,222655,222714,222722,222948,223948,224603,224616,224225,224077,223151,222721,223651.0,223677.0,223581.0,223525.0,222652.0,222098.0,221693.0,221502.0,221366.0,221493.0
경기도 안성시 (4155000000),183369,183444,183751,184211,185018,185305,185544,186104,186460,186695,186853,187012,187232,187488,187540,188038,188704,189060,189298,189641,189747,189732,189559,189534,189510,189535,189539,189772,189969,189988,190160,190126,189648,189475,189146,188842,189364.0,189472.0,189456.0,189322.0,189143.0,189034.0,189406.0,190209.0,190425.0,190853.0
경기도 김포시 (4157000000),437789,439502,443071,445425,447038,449039,451842,458505,463735,467084,469340,473970,477332,479290,480275,481719,482578,483642,484481,485221,485647,485859,486123,486508,486651,486334,485882,485609,485453,485395,484972,484310,483845,484071,484194,484267,486122.0,486029.0,485943.0,486008.0,486126.0,486172.0,486026.0,485689.0,485532.0,485494.0
경기도 화성시 (4159000000),818760,822470,827603,831888,834378,836662,839493,842864,846850,850050,853106,855248,857550,859329,860865,864687,867819,870361,872537,875987,878879,881154,884225,887015,887910,889398,890668,892038,894587,896147,897883,899334,900294,904267,907958,910814,932626.0,934287.0,937189.0,939302.0,941489.0,944342.0,946582.0,948358.0,949912.0,951179.0
경기도 광주시 (4161000000),373274,373867,374913,375561,376753,377525,378723,379480,380291,380821,381324,382054,382578,382835,383052,383794,384306,384714,385000,385808,386301,386496,386573,387289,387563,387646,388213,388893,389483,389876,390246,391131,391460,391722,391704,391462,391791.0,391986.0,391917.0,391760.0,391432.0,391377.0,391866.0,392067.0,392381.0,392858.0
경기도 양주시 (4163000000),222275,222435,223704,224524,225069,226015,227972,229052,229427,230005,230273,230359,231241,233072,234181,234990,235276,235394,235495,235828,236028,236205,236302,236368,236284,236327,236239,236142,236120,237156,237889,238734,239287,239697,241346,243432,260708.0,262328.0,263610.0,265155.0,266446.0,268026.0,269658.0,272378.0,275284.0,276970.0
경기도 포천시 (4165000000),148137,147770,147853,148144,148081,148015,147809,147854,147803,147578,147477,147274,147393,147480,147014,147317,147425,147597,147855,148296,148434,148618,148738,148939,148867,148765,148527,148469,148326,148066,147902,147735,147340,147171,147019,146701,144158.0,143974.0,143880.0,143690.0,143510.0,143323.0,143157.0,142797.0,142542.0,142545.0
경기도 여주시 (4167000000),111017,111008,111083,111198,111234,111341,111400,111438,111512,111605,111636,111897,112044,112129,111903,111913,111939,112177,112203,112289,112151,112260,112199,112150,112353,112469,112393,112410,112558,112639,112731,112800,112850,113027,113096,113150,114005.0,114081.0,114253.0,114344.0,114343.0,114412.0,114336.0,114275.0,114289.0,114372.0
경기도 연천군 (4180000000),43741,43614,43552,43618,43689,43618,43566,43542,43590,43574,43531,43516,43438,43368,43063,43080,43071,43042,42985,42942,42842,42797,42739,42721,42739,42725,42784,42731,42675,42625,42584,42542,42364,42240,42153,42062,41802.0,41711.0,41705.0,41639.0,41588.0,41584.0,41487.0,41342.0,41236.0,41111.0
경기도 가평군 (4182000000),62303,62224,62262,62397,62566,62662,62632,62605,62551,62476,62495,62377,62399,62339,62049,62206,62344,62364,62348,62383,62334,62241,62253,62264,62291,62247,62221,62168,62224,62306,62297,62382,62249,62219,62197,62150,61744.0,61773.0,61976.0,62125.0,62131.0,62302.0,62274.0,62249.0,62245.0,62281.0
경기도 양평군 (4183000000),116910,116902,117025,117301,117456,117701,117931,118372,118433,118609,118778,118810,119022,119371,119260,119505,119826,120012,120419,120954,120997,121188,121154,121230,121300,121364,121726,121789,122046,122355,122671,122914,122630,122613,122463,122323,123428.0,124050.0,124241.0,124822.0,125121.0,125238.0,125381.0,125609.0,125722.0,125981.0
강원도  (4200000000),1540540,1539521,1538577,1537780,1538639,1539282,1540094,1540689,1541104,1541836,1542374,1542840,1541696,1540875,1536399,1536175,1535491,1535530,1536140,1536270,1536765,1537717,1538273,1538492,1538660,1539051,1539036,1539038,1539005,1539064,1539178,1538801,1537396,1537339,1536863,1536498,,,,,,,,,,
강원도 춘천시 (4211000000),281468,281759,281688,281492,281439,281400,281516,281854,282012,282320,282544,282765,282693,283141,282328,282326,282482,282511,282592,282714,283312,283803,284121,284594,284933,285202,285372,285575,285738,285907,286050,286352,286371,286466,286535,286664,,,,,,,,,,
강원도 원주시 (4213000000),350202,350897,351154,351421,351979,352201,352726,352964,353189,353553,353928,354376,354664,354933,354437,354536,354768,354978,355432,355767,356134,356625,357277,357757,358127,358647,358659,358838,359229,359596,359888,360051,360204,360581,360722,360807,,,,,,,,,,
강원도 강릉시 (4215000000),213328,213273,213143,213037,212929,212863,212978,212935,213055,213070,213189,213321,213412,213231,212909,212890,212681,212784,212957,213025,213151,213155,213093,212965,212907,212767,212642,212526,212414,212277,212260,212099,211867,211742,211541,211381,,,,,,,,,,
강원도 동해시 (4217000000),90417,90210,90263,90233,90366,90454,90481,90548,90575,90626,90560,90593,90416,90320,89922,89868,89968,89999,90039,90056,90073,90115,90010,90081,90045,89950,89804,89674,89618,89574,89683,89699,89465,89421,89402,89426,,,,,,,,,,
강원도 태백시 (4219000000),43681,43526,43411,43251,43254,43203,43098,42980,42937,42901,42800,42719,42586,42381,42249,42183,41718,41419,41341,41295,41145,41055,40982,40844,40750,40515,40331,40266,40163,40085,40029,39940,39637,39553,39503,39428,,,,,,,,,,
강원도 속초시 (4221000000),81840,81744,81689,81713,81792,82059,82211,82343,82457,82538,82636,82665,82652,82531,82213,82302,82241,82254,82377,82391,82476,82579,82700,82791,82771,82790,82737,82691,82725,82848,83035,82974,82824,82781,82795,82806,,,,,,,,,,
강원도 삼척시 (4223000000),66806,66478,66088,65887,65834,65753,65698,65708,65639,65544,65409,65243,64946,64680,64393,64355,64188,64073,63952,63825,63864,63833,63682,63429,63458,63730,64264,64296,64216,64165,64046,63760,63753,63687,63607,63455,,,,,,,,,,
강원도 홍천군 (4272000000),68933,68715,68630,68688,68832,68998,69232,69167,69164,69163,69192,69242,69142,69041,68751,68681,68597,68619,68573,68489,68452,68499,68482,68365,68251,68177,68047,67959,67915,67884,67784,67789,67738,67830,67881,67977,,,,,,,,,,
강원도 횡성군 (4273000000),46377,46372,46307,46232,46276,46442,46402,46409,46482,46514,46533,46472,46441,46447,46399,46510,46589,46614,46652,46635,46566,46586,46583,46481,46436,46459,46401,46595,46560,46546,46555,46543,46504,46516,46498,46532,,,,,,,,,,
강원도 영월군 (4275000000),39040,38969,38938,38762,38759,38840,38818,38773,38698,38712,38710,38662,38565,38418,38458,38417,38099,38057,38064,38055,38012,38011,37934,37904,37893,37954,38003,37970,37963,37934,37909,37904,37860,37797,37802,37728,,,,,,,,,,
강원도 평창군 (4276000000),42014,41903,41817,41758,41779,41739,41709,41742,41706,41708,41665,41681,41587,41514,41212,41188,41164,41109,41060,41050,40971,41006,41023,40996,41120,41162,41136,41084,41149,41150,41153,41112,41033,40982,40980,40990,,,,,,,,,,
강원도 정선군 (4277000000),37194,37062,37044,37036,37025,37046,37001,37006,36956,36950,36937,36870,36783,36704,36059,35990,35991,35952,35902,35838,35717,35659,35639,35675,35634,35527,35446,35401,35382,35334,35282,35210,35072,35027,34953,34931,,,,,,,,,,
강원도 철원군 (4278000000),45467,45333,45220,45093,45084,44987,44924,44833,44799,44749,44706,44699,44563,44380,44171,44169,44011,43932,43832,43691,43579,43489,43396,43340,43166,43044,42964,42916,42829,42789,42715,42655,42520,42500,42394,42256,,,,,,,,,,
강원도 화천군 (4279000000),24806,24673,24646,24627,24657,24717,24753,24802,24855,24897,24868,24857,24732,24652,24506,24446,24397,24408,24369,24342,24313,24247,24242,24195,24105,24094,24046,24050,24029,23961,23864,23806,23731,23620,23520,23388,,,,,,,,,,
강원도 양구군 (4280000000),22526,22366,22301,22375,22378,22332,22295,22329,22315,22276,22350,22278,22161,22123,22172,22114,22094,22027,21981,21972,21924,21925,21875,21748,21705,21651,21701,21700,21635,21607,21555,21522,21438,21449,21395,21383,,,,,,,,,,
강원도 인제군 (4281000000),31567,31432,31461,31506,31548,31554,31526,31571,31538,31570,31623,31694,31720,31665,31521,31508,31633,31835,31947,32034,32033,32090,32138,32165,32236,32192,32216,32198,32173,32177,32198,32213,32183,32135,32152,32206,,,,,,,,,,
강원도 고성군 (4282000000),27165,27080,27064,26959,26921,26886,26867,26857,26787,26781,26798,26757,26687,26734,26743,26760,26864,26924,26960,27005,26981,27014,27119,27249,27257,27326,27366,27382,27384,27331,27316,27264,27311,27393,27320,27274,,,,,,,,,,
