
Variable          Rec   Start     End  Format
e50                 1     355     355  F1.0
e51                 1     356     356  F1.0
e52                 1     357     360  F4.0
e53                 1     361     362  F2.0
e54                 1     363     363  F1.0
e55                 1     364     365  F2.0
e56                 1     366     367  F2.0
e57                 1     368     368  F1.0
e58                 1     369     369  F1.0
e59                 1     370     373  F4.0
e60                 1     374     375  F2.0
e61                 1     376     376  F1.0
e62                 1     377     378  F2.0
e63                 1     379     380  F2.0
e64                 1     381     381  F1.0
e65                 1     382     382  F1.0
e66                 1     383     386  F4.0
e67                 1     387     388  F2.0
e68                 1     389     389  F1.0
e69                 1     390     391  F2.0
e70                 1     392     393  F2.0
e71                 1     394     394  F1.0
e72                 1     395     395  F1.0
e73                 1     396     399  F4.0
e74                 1     400     401  F2.0
e75                 1     402     402  F1.0
e76                 1     403     404  F2.0
e77                 1     405     406  F2.0
e78                 1     407     412  F6.0
e79                 1     413     413  F1.0
e80                 1     414     414  F1.0
e81                 1     415     415  F1.0
e82                 1     416     419  F4.0
e83                 1     420     421  F2.0
e84                 1     422     422  F1.0
e85                 1     423     424  F2.0
e86                 1     425     426  F2.0
e87                 1     427     427  F1.0
e88                 1     428     428  F1.0
e89                 1     429     432  F4.0
e90                 1     433     434  F2.0
e91                 1     435     435  F1.0
e92                 1     436     437  F2.0
e93                 1     438     439  F2.0
e94                 1     440     440  F1.0
e95                 1     441     441  F1.0
e96                 1     442     445  F4.0
e97                 1     446     447  F2.0
e98                 1     448     448  F1.0
e99                 1     449     450  F2.0
e100                1     451     452  F2.0
e101                1     453     453  F1.0
e102                1     454     454  F1.0
e103                1     455     458  F4.0
e104                1     459     460  F2.0
e105                1     461     461  F1.0
e106                1     462     463  F2.0
e107                1     464     465  F2.0
e108                1     466     466  F1.0
e109                1     467     467  F1.0
e110                1     468     471  F4.0
e111                1     472     473  F2.0
e112                1     474     474  F1.0
e113                1     475     476  F2.0
e114                1     477     478  F2.0
e115                1     479     479  F1.0
e116                1     480     480  F1.0
e117                1     481     484  F4.0
e118                1     485     486  F2.0
e119                1     487     487  F1.0
e120                1     488     489  F2.0
e121                1     490     491  F2.0
e122                1     492     492  F1.0
e123                1     493     493  F1.0
e124                1     494     497  F4.0
e125                1     498     499  F2.0
e126                1     500     500  F1.0
e127                1     501     502  F2.0
e128                1     503     504  F2.0
e129                1     505     505  F1.0
e130                1     506     506  F1.0
e131                1     507     510  F4.0
e132                1     511     512  F2.0
e133                1     513     513  F1.0
e134                1     514     515  F2.0
e135                1     516     517  F2.0
e136                1     518     518  F1.0
e137                1     519     519  F1.0
e138                1     520     523  F4.0
e139                1     524     525  F2.0
e140                1     526     526  F1.0
e141                1     527     528  F2.0
e142                1     529     530  F2.0
e143                1     531     531  F1.0
e144                1     532     532  F1.0
e145                1     533     536  F4.0
e146                1     537     538  F2.0
e147                1     539     539  F1.0
e148                1     540     541  F2.0
e149                1     542     543  F2.0
e150                1     544     544  F1.0
e151                1     545     545  F1.0
e152                1     546     549  F4.0
e153                1     550     551  F2.0
e154                1     552     552  F1.0
e155                1     553     554  F2.0
e156                1     555     556  F2.0
e157                1     557     557  F1.0
e158                1     558     558  F1.0
e159                1     559     559  F1.0
e160                1     560     560  F1.0
e161                1     561     561  F1.0
e162                1     562     562  F1.0
e163                1     563     563  F1.0
e164                1     564     567  F4.0
e165                1     568     569  F2.0
e166                1     570     570  F1.0
e167                1     571     571  F1.0
e168                1     572     572  F1.0
e169                1     573     576  F4.0
e170                1     577     578  F2.0
e171                1     579     579  F1.0
e172                1     580     580  F1.0
e173                1     581     581  F1.0
e174                1     582     585  F4.0
e175                1     586     587  F2.0
e176                1     588     588  F1.0
e177                1     589     589  F1.0
e178                1     590     590  F1.0
e179                1     591     594  F4.0
e180                1     595     596  F2.0
e181                1     597     597  F1.0
e182                1     598     598  F1.0
e183                1     599     599  F1.0
e184                1     600     603  F4.0
e185                1     604     605  F2.0
e186                1     606     606  F1.0
e187                1     607     607  F1.0
e188                1     608     608  F1.0
e189                1     609     612  F4.0
e190                1     613     614  F2.0
e191                1     615     615  F1.0
e192                1     616     616  F1.0
e193                1     617     617  F1.0
e194                1     618     621  F4.0
e195                1     622     623  F2.0
e196                1     624     624  F1.0
e197                1     625     625  F1.0
e198                1     626     626  F1.0
e199                1     627     630  F4.0
e200                1     631     632  F2.0
e201                1     633     633  F1.0
e202                1     634     634  F1.0
e203                1     635     635  F1.0
e204                1     636     636  F1.0
e205                1     637     637  F1.0
e206                1     638     638  F1.0
e207                1     639     639  F1.0
e208                1     640     640  F1.0
e209                1     641     641  F1.0
e210                1     642     642  F1.0
e211                1     643     643  F1.0
e212                1     644     644  F1.0
f1                  1     645     646  F2.0
f2                  1     647     648  F2.0
f3                  1     649     649  F1.0
f4                  1     650     650  F1.0
f5                  1     651     651  F1.0
f6                  1     652     652  F1.0
f7                  1     653     653  F1.0
f8                  1     654     654  F1.0
f9                  1     655     655  F1.0
f10                 1     656     656  F1.0
f11                 1     657     657  F1.0
f12                 1     658     658  F1.0
f13                 1     659     659  F1.0
f14                 1     660     660  F1.0
f15                 1     661     661  F1.0
f16                 1     662     662  F1.0
f17                 1     663     663  F1.0
f18                 1     664     665  F2.0
f19                 1     666     666  F1.0
f20                 1     667     668  F2.0
f21                 1     669     669  F1.0
f22                 1     670     670  F1.0
f23                 1     671     671  F1.0
f24                 1     672     673  F2.0
f25                 1     674     674  F1.0
f26                 1     675     676  F2.0
f27                 1     677     677  F1.0
f28                 1     678     678  F1.0
f29                 1     679     679  F1.0
f30                 1     680     680  F1.0
f31                 1     681     681  F1.0
f32                 1     682     682  F1.0
f33                 1     683     683  F1.0
f34                 1     684     685  F2.0
f35                 1     686     686  F1.0
f36                 1     687     687  F1.0
j1                  1     688     688  F1.0
j2                  1     689     689  F1.0
j3                  1     690     690  F1.0
j4                  1     691     691  F1.0
j5                  1     692     692  F1.0
WG                  1     693     699  F7.5
WS                  1     700     704  F5.3
