
Variable          Rec   Start     End  Format
b105                1     251     252  F2.0
b106                1     253     253  F1.0
b107                1     254     254  F1.0
b108                1     255     255  F1.0
b109                1     256     256  F1.0
b110                1     257     258  F2.0
b111                1     259     259  F1.0
b112                1     260     260  F1.0
b113                1     261     261  F1.0
b114                1     262     262  F1.0
cd3                 1     263     263  F1.0
c1                  1     264     264  F1.0
c2                  1     265     266  F2.0
c3                  1     267     269  F3.0
c4                  1     270     271  F2.0
c5                  1     272     274  F3.0
c6                  1     275     276  F2.0
c7                  1     277     279  F3.0
c8                  1     280     281  F2.0
c9                  1     282     284  F3.0
c10                 1     285     285  F1.0
c11                 1     286     286  F1.0
c12                 1     287     287  F1.0
c13                 1     288     288  F1.0
c14                 1     289     289  F1.0
c15                 1     290     290  F1.0
c16                 1     291     291  F1.0
c17                 1     292     292  F1.0
c18                 1     293     293  F1.0
c19                 1     294     294  F1.0
c20                 1     295     295  F1.0
c21                 1     296     296  F1.0
c22                 1     297     297  F1.0
c23                 1     298     298  F1.0
c24                 1     299     299  F1.0
c25                 1     300     300  F1.0
c26                 1     301     301  F1.0
c27                 1     302     302  F1.0
c28                 1     303     303  F1.0
c29                 1     304     304  F1.0
c30                 1     305     305  F1.0
c31                 1     306     306  F1.0
c32                 1     307     307  F1.0
c33                 1     308     308  F1.0
c34                 1     309     309  F1.0
c35                 1     310     310  F1.0
c36                 1     311     311  F1.0
c37                 1     312     312  F1.0
c38                 1     313     313  F1.0
c39                 1     314     314  F1.0
c40                 1     315     315  F1.0
c41                 1     316     316  F1.0
c42                 1     317     317  F1.0
c43                 1     318     318  F1.0
c44                 1     319     319  F1.0
c45                 1     320     320  F1.0
c46                 1     321     321  F1.0
c47                 1     322     322  F1.0
c48                 1     323     323  F1.0
c49                 1     324     324  F1.0
c50                 1     325     325  F1.0
c51                 1     326     326  F1.0
c52                 1     327     327  F1.0
c53                 1     328     328  F1.0
c54                 1     329     330  F2.0
c55                 1     331     331  F1.0
c56                 1     332     332  F1.0
c57                 1     333     333  F1.0
c58                 1     334     334  F1.0
c59                 1     335     335  F1.0
c60                 1     336     336  F1.0
c61                 1     337     337  F1.0
c62                 1     338     338  F1.0
c63                 1     339     339  F1.0
c64                 1     340     340  F1.0
c65                 1     341     341  F1.0
c66                 1     342     342  F1.0
c67                 1     343     343  F1.0
c68                 1     344     344  F1.0
c69                 1     345     345  F1.0
c70                 1     346     346  F1.0
c71                 1     347     347  F1.0
c72                 1     348     348  F1.0
c73                 1     349     349  F1.0
c74                 1     350     351  F2.0
c75                 1     352     352  F1.0
c76                 1     353     353  F1.0
c77                 1     354     354  F1.0
c78                 1     355     355  F1.0
c79                 1     356     356  F1.0
c80                 1     357     357  F1.0
c81                 1     358     358  F1.0
c82                 1     359     359  F1.0
c83                 1     360     360  F1.0
c84                 1     361     361  F1.0
c85                 1     362     362  F1.0
c86                 1     363     363  F1.0
c87                 1     364     364  F1.0
c88                 1     365     365  F1.0
c89                 1     366     366  F1.0
c90                 1     367     367  F1.0
c91                 1     368     368  F1.0
c92                 1     369     369  F1.0
c93                 1     370     370  F1.0
c94                 1     371     371  F1.0
c95                 1     372     372  F1.0
c96                 1     373     373  F1.0
c97                 1     374     374  F1.0
c98                 1     375     375  F1.0
c99                 1     376     377  F2.0
cd4                 1     378     378  F1.0
d1                  1     379     379  F1.0
d2                  1     380     380  F1.0
d3                  1     381     381  F1.0
d4                  1     382     382  F1.0
d5                  1     383     383  F1.0
d6                  1     384     384  F1.0
d7                  1     385     385  F1.0
d8                  1     386     386  F1.0
d9                  1     387     387  F1.0
d10                 1     388     388  F1.0
d11                 1     389     389  F1.0
d12                 1     390     390  F1.0
d13                 1     391     391  F1.0
d14                 1     392     393  F2.0
d15                 1     394     394  F1.0
d16                 1     395     395  F1.0
d17                 1     396     396  F1.0
d18                 1     397     397  F1.0
d19                 1     398     398  F1.0
d20                 1     399     399  F1.0
d21                 1     400     400  F1.0
d22                 1     401     401  F1.0
d23                 1     402     402  F1.0
d24                 1     403     403  F1.0
d25                 1     404     404  F1.0
d26                 1     405     405  F1.0
d27                 1     406     406  F1.0
d28                 1     407     407  F1.0
d29                 1     408     408  F1.0
d30                 1     409     410  F2.0
d31                 1     411     411  F1.0
d32                 1     412     412  F1.0
d33                 1     413     413  F1.0
d34                 1     414     414  F1.0
d35                 1     415     415  F1.0
d36                 1     416     416  F1.0
d37                 1     417     417  F1.0
d38                 1     418     418  F1.0
d39                 1     419     419  F1.0
d40                 1     420     420  F1.0
d41                 1     421     421  F1.0
d42                 1     422     423  F2.0
d43                 1     424     424  F1.0
d44                 1     425     426  F2.0
d45                 1     427     428  F2.0
d46                 1     429     429  F1.0
d47                 1     430     431  F2.0
d48                 1     432     433  F2.0
d49                 1     434     434  F1.0
d50                 1     435     436  F2.0
d51                 1     437     438  F2.0
d52                 1     439     439  F1.0
d53                 1     440     441  F2.0
d54                 1     442     443  F2.0
d55                 1     444     444  F1.0
d56                 1     445     446  F2.0
d57                 1     447     448  F2.0
d58                 1     449     449  F1.0
d59                 1     450     451  F2.0
d60                 1     452     453  F2.0
d61                 1     454     454  F1.0
d62                 1     455     456  F2.0
d63                 1     457     458  F2.0
d64                 1     459     459  F1.0
d65                 1     460     461  F2.0
d66                 1     462     463  F2.0
d67                 1     464     464  F1.0
d68                 1     465     466  F2.0
d69                 1     467     468  F2.0
d70                 1     469     469  F1.0
d71                 1     470     471  F2.0
d72                 1     472     473  F2.0
d73                 1     474     475  F2.0
d74                 1     476     477  F2.0
d75                 1     478     478  F1.0
d76                 1     479     479  F1.0
d77                 1     480     480  F1.0
d78                 1     481     481  F1.0
d79                 1     482     483  F2.0
d80                 1     484     484  F1.0
d81                 1     485     485  F1.0
d82                 1     486     487  F2.0
d83                 1     488     489  F2.0
d84                 1     490     491  F2.0
d85                 1     492     492  F1.0
d86                 1     493     493  F1.0
d87                 1     494     495  F2.0
d88                 1     496     497  F2.0
d89                 1     498     498  F1.0
d90                 1     499     500  F2.0
cd5                 1     501     501  F1.0
e1                  1     502     503  F2.0
e2                  1     504     504  F1.0
e3                  1     505     506  F2.0
e4                  1     507     508  F2.0
e5                  1     509     509  F1.0
e6                  1     510     510  F1.0
e7                  1     511     511  F1.0
e8                  1     512     512  F1.0
e9                  1     513     513  F1.0
e10                 1     514     514  F1.0
e11                 1     515     515  F1.0
e12                 1     516     516  F1.0
e13                 1     517     517  F1.0
e14                 1     518     518  F1.0
e15                 1     519     519  F1.0
e16                 1     520     520  F1.0
e17                 1     521     521  F1.0
e18                 1     522     522  F1.0
e19                 1     523     523  F1.0
e20                 1     524     524  F1.0
e21                 1     525     525  F1.0
e22                 1     526     526  F1.0
e23                 1     527     527  F1.0
e24                 1     528     528  F1.0
e25                 1     529     529  F1.0
e26                 1     530     530  F1.0
e27                 1     531     531  F1.0
e28                 1     532     532  F1.0
e29                 1     533     533  F1.0
e30                 1     534     534  F1.0
e31                 1     535     535  F1.0
e32                 1     536     536  F1.0
e33                 1     537     537  F1.0
e34                 1     538     538  F1.0
e35                 1     539     539  F1.0
e36                 1     540     540  F1.0
e37                 1     541     541  F1.0
e38                 1     542     542  F1.0
e39                 1     543     543  F1.0
e40                 1     544     544  F1.0
e41                 1     545     545  F1.0
e42                 1     546     546  F1.0
e43                 1     547     547  F1.0
e44                 1     548     548  F1.0
e45                 1     549     549  F1.0
e46                 1     550     550  F1.0
e47                 1     551     551  F1.0
e48                 1     552     552  F1.0
e49                 1     553     553  F1.0
e50                 1     554     554  F1.0
e51                 1     555     555  F1.0
e52                 1     556     556  F1.0
e53                 1     557     557  F1.0
e54                 1     558     558  F1.0
e55                 1     559     559  F1.0
e56                 1     560     560  F1.0
e57                 1     561     561  F1.0
