
Variable          Rec   Start     End  Format
J6                  1     361     361  F1.0
J7                  1     362     362  F1.0
J8                  1     363     363  F1.0
J9                  1     364     364  F1.0
J10                 1     365     365  F1.0
J11                 1     366     366  F1.0
J12                 1     367     368  F2.0
J13                 1     369     369  F1.0
J14                 1     370     370  F1.0
J15                 1     371     371  F1.0
J16                 1     372     373  F2.0
J17                 1     374     374  F1.0
J18                 1     375     375  F1.0
J19                 1     376     376  F1.0
J20                 1     377     377  F1.0
J21                 1     378     378  F1.0
J22                 1     379     379  F1.0
J23                 1     380     380  F1.0
J24                 1     381     381  F1.0
J25                 1     382     382  F1.0
J26                 1     383     383  F1.0
J27                 1     384     384  F1.0
J28                 1     385     385  F1.0
J29                 1     386     386  F1.0
J30                 1     387     387  F1.0
J31                 1     388     388  F1.0
J32                 1     389     389  F1.0
J33                 1     390     390  F1.0
J34                 1     391     391  F1.0
J35                 1     392     392  F1.0
J36                 1     393     393  F1.0
J37                 1     394     394  F1.0
J38                 1     395     395  F1.0
J39                 1     396     396  F1.0
J40                 1     397     397  F1.0
J41                 1     398     398  F1.0
J42                 1     399     399  F1.0
J43                 1     400     400  F1.0
J44                 1     401     401  F1.0
J45                 1     402     402  F1.0
J46                 1     403     403  F1.0
J47                 1     404     404  F1.0
J48                 1     405     405  F1.0
J49                 1     406     406  F1.0
J50                 1     407     407  F1.0
J51                 1     408     408  F1.0
J52                 1     409     409  F1.0
J53                 1     410     410  F1.0
J54                 1     411     411  F1.0
J55                 1     412     412  F1.0
J56                 1     413     413  F1.0
J57                 1     414     414  F1.0
J58                 1     415     415  F1.0
J59                 1     416     416  F1.0
J60                 1     417     417  F1.0
J61                 1     418     418  F1.0
J62                 1     419     419  F1.0
J63                 1     420     420  F1.0
J64                 1     421     421  F1.0
J65                 1     422     422  F1.0
J66                 1     423     423  F1.0
J67                 1     424     424  F1.0
J68                 1     425     425  F1.0
J69                 1     426     426  F1.0
J70                 1     427     429  F3.0
J71                 1     430     430  F1.0
J72                 1     431     433  F3.0
J73                 1     434     434  F1.0
J74                 1     435     436  F2.0
CD16                1     437     438  F2.0
K1                  1     439     439  F1.0
K2                  1     440     440  F1.0
K3                  1     441     441  F1.0
K4                  1     442     442  F1.0
K5                  1     443     443  F1.0
K6                  1     444     444  F1.0
K7                  1     445     445  F1.0
K8                  1     446     446  F1.0
K9                  1     447     447  F1.0
