"자치구별(1)","자치구별(2)","항목",시점,합계,방문요양서비스,주ㆍ야간 보호 서비스,단기보호서비스,방문목욕서비스,방문간호서비스,복지용구지원서비스,재가노인지원서비스
"합계","동작구","이용인원-정원 (명)",2022,379,-,379,-,-,-,-,-
"합계","동작구","이용인원-현원 (명)",2022,1316,746,353,-,84,-,-,133
"합계","동작구","종사자수 (명)",2022,1082,805,180,-,92,-,-,5
"합계","관악구","시설수 (개소)",2022,82,31,24,-,22,1,3,1
"합계","관악구","이용인원-정원 (명)",2022,775,-,775,-,-,-,-,-
"합계","관악구","이용인원-현원 (명)",2022,1546,668,643,-,95,-,-,140
"합계","관악구","종사자수 (명)",2022,1110,714,282,-,110,-,-,4
"합계","서초구","시설수 (개소)",2022,54,22,10,1,19,2,-,-
"합계","서초구","이용인원-정원 (명)",2022,268,-,261,7,-,-,-,-
"합계","서초구","이용인원-현원 (명)",2022,6337,5766,241,-,306,24,-,-
"합계","서초구","종사자수 (명)",2022,10449,6337,103,-,4003,6,-,-
"합계","강남구","시설수 (개소)",2022,59,21,17,-,17,-,4,-
"합계","강남구","이용인원-정원 (명)",2022,477,-,477,-,-,-,-,-
"합계","강남구","이용인원-현원 (명)",2022,2829,824,450,-,72,-,1483,-
"합계","강남구","종사자수 (명)",2022,1197,838,215,-,138,-,6,-
"합계","송파구","시설수 (개소)",2022,117,48,23,1,36,4,4,1
"합계","송파구","이용인원-정원 (명)",2022,903,-,895,8,-,-,-,-
"합계","송파구","이용인원-현원 (명)",2022,2154,977,812,-,85,6,151,123
"합계","송파구","종사자수 (명)",2022,1530,1033,299,-,179,9,6,4
"합계","강동구","시설수 (개소)",2022,82,34,19,-,26,-,1,2
"합계","강동구","이용인원-정원 (명)",2022,744,-,744,-,-,-,-,-
"합계","강동구","이용인원-현원 (명)",2022,1513,654,615,-,111,-,-,133
"합계","강동구","종사자수 (명)",2022,1151,785,247,-,114,-,-,5
