"연번","시도","시군구","기관명"
"575","경상북도","성주군","파티마재가노인지원서비스센터"
"576","경상북도","성주군","이웃과하나노인복지센터"
"577","경상북도","칠곡군","칠곡노인복지센터"
"578","경상북도","칠곡군","성가양로원"
"579","경상북도","예천군","유천재가노인지원서비스센터"
"580","경상북도","봉화군","봉화군노인복지관"
"581","경상북도","봉화군","봉화요양원"
"582","경상북도","울진군","울진군노인복지관"
"583","경상북도","울릉군","경상북도장애인종합복지관울릉분관"
"584","경상남도","창원시","동진노인통합지원센터"
"585","경상남도","창원시","창원도우누리노인종합재가센터"
"586","경상남도","창원시","삼원소규모요양시설(방문요양)"
"587","경상남도","창원시","명진노인통합지원센터"
"588","경상남도","창원시","마산희망지역자활센터"
"589","경상남도","창원시","성로노인통합지원센터"
"590","경상남도","창원시","경상남도사회서비스원 창원시종합재가센터"
"591","경상남도","창원시","경남노인통합지원센터"
"592","경상남도","창원시","한양노인통합지원센터"
"593","경상남도","창원시","정혜원노인통합지원센터"
"594","경상남도","진주시","진양노인통합지원센터"
"595","경상남도","진주시","진주노인통합지원센터"
"596","경상남도","진주시","나누리노인통합지원센터"
"597","경상남도","진주시","공덕의집노인통합지원센터"
"598","경상남도","통영시","통영시장애인종합복지관"
"599","경상남도","통영시","통영시종합사회복지관"
"600","경상남도","사천시","사랑원노인지원센터"
"601","경상남도","사천시","사천노인복지센터"
"602","경상남도","김해시","효능원노인통합지원센터"
"603","경상남도","김해시","김해지역자활센터"
"604","경상남도","김해시","경상남도사회서비스원김해시종합재가센터"
"605","경상남도","김해시","김해시종합사회복지관"
"606","경상남도","김해시","생명의전화노인통합지원센터"
"607","경상남도","김해시","보현행원노인통합지원센터"
"608","경상남도","밀양시","밀양시자원봉사단체협의회"
"609","경상남도","밀양시","밀양노인통합지원센터"
"610","경상남도","밀양시","우리들노인통합지원센터"
"611","경상남도","거제시","거제노인통합지원센터"
"612","경상남도","거제시","거제사랑노인복지센터"
"613","경상남도","양산시","양산재가노인복지센터"
"614","경상남도","양산시","통도사자비원 노인통합지원센터"
"615","경상남도","양산시","웅상노인복지관"
"616","경상남도","의령군","의령노인통합지원센터"
"617","경상남도","함안군","사)대한노인회함안군지회"
"618","경상남도","함안군","함안군재가노인통합지원센터"
"619","경상남도","창녕군","사회적협동조합 창녕지역자활센터"
"620","경상남도","창녕군","창녕군새누리노인종합센터"
"621","경상남도","고성군","고성시니어스"
"622","경상남도","고성군","고성지역자활센터"
"623","경상남도","남해군","화방남해노인통합지원센터"
"624","경상남도","남해군","화방재가복지센터"
"625","경상남도","하동군","하동노인통합지원센터"
"626","경상남도","하동군","경남하동지역자활센터"
"627","경상남도","산청군","산청한일노인통합지원센터"
"628","경상남도","산청군","산청복음노인통합지원센터"
"629","경상남도","산청군","산청해민노인통합지원센터"
"630","경상남도","함양군","함양군청"
"631","경상남도","거창군","거창효노인통합지원센터"
"632","경상남도","거창군","거창노인통합지원센터"
"633","경상남도","거창군","거창인애노인통합지원센터"
"634","경상남도","합천군","합천댐효나눔노인복지센터"
"635","경상남도","합천군","합천군립노인전문요양원"
"636","경상남도","합천군","미타재가복지센터"
"637","경상남도","합천군","합천노인복지센터"
"638","제주특별자치도","제주시","제주원광재가노인복지센터"
"639","제주특별자치도","제주시","은빛마을노인복지센터"
"640","제주특별자치도","제주시","제주시홀로사는노인지원센터"
"641","제주특별자치도","제주시","제주이어도지역자활센터"
"642","제주특별자치도","제주시","성안노인복지센터"
"643","제주특별자치도","제주시","제주노인복지센터"
"644","제주특별자치도","서귀포시","동광노인복지센터"
"645","제주특별자치도","서귀포시","성산원광소규모요양시설"
"646","제주특별자치도","서귀포시","서귀포시홀로사는노인지원센터"
"647","제주특별자치도","서귀포시","서귀원광노인복지센터"
