
Variable          Rec   Start     End  Format
i18                 1     206     207  F2.0
i19                 1     208     208  F1.0
i20                 1     209     209  F1.0
i21                 1     210     210  F1.0
i22                 1     211     211  F1.0
i23                 1     212     212  F1.0
i24                 1     213     213  F1.0
i25                 1     214     214  F1.0
i26                 1     215     215  F1.0
i27                 1     216     216  F1.0
i28                 1     217     217  F1.0
i29                 1     218     218  F1.0
i30                 1     219     219  F1.0
i31                 1     220     220  F1.0
i32                 1     221     221  F1.0
i33                 1     222     222  F1.0
i34                 1     223     223  F1.0
i35                 1     224     225  F2.0
i36                 1     226     226  F1.0
i37                 1     227     227  F1.0
i38                 1     228     228  F1.0
i39                 1     229     229  F1.0
i40                 1     230     230  F1.0
i41                 1     231     231  F1.0
i42                 1     232     232  F1.0
i43                 1     233     233  F1.0
i44                 1     234     234  F1.0
i45                 1     235     235  F1.0
i46                 1     236     236  F1.0
i47                 1     237     237  F1.0
i48                 1     238     238  F1.0
i49                 1     239     240  F2.0
i50                 1     241     242  F2.0
i51                 1     243     244  F2.0
i52                 1     245     246  F2.0
i53                 1     247     248  F2.0
i54                 1     249     250  F2.0
i55                 1     251     252  F2.0
i56                 1     253     254  F2.0
i57                 1     255     256  F2.0
i58                 1     257     258  F2.0
wt                  1     259     271  F13.4
cd14                1     272     273  F2.0
j1                  1     274     274  F1.0
j2                  1     275     275  F1.0
j3                  1     276     276  F1.0
j4                  1     277     277  F1.0
j5                  1     278     278  F1.0
j6                  1     279     279  F1.0
j7                  1     280     280  F1.0
j8                  1     281     281  F1.0
j9                  1     282     282  F1.0
j10                 1     283     283  F1.0
j11                 1     284     284  F1.0
j12                 1     285     285  F1.0
j13                 1     286     286  F1.0
j14                 1     287     287  F1.0
j15                 1     288     288  F1.0
j16                 1     289     289  F1.0
j17                 1     290     290  F1.0
j18                 1     291     291  F1.0
j19                 1     292     292  F1.0
j20                 1     293     293  F1.0
j21                 1     294     294  F1.0
j22                 1     295     295  F1.0
j23                 1     296     296  F1.0
j24                 1     297     297  F1.0
j25                 1     298     298  F1.0
j26                 1     299     299  F1.0
j27                 1     300     300  F1.0
j28                 1     301     301  F1.0
j29                 1     302     302  F1.0
j30                 1     303     303  F1.0
j31                 1     304     304  F1.0
j32                 1     305     305  F1.0
j33                 1     306     306  F1.0
j34                 1     307     307  F1.0
j35                 1     308     308  F1.0
j36                 1     309     309  F1.0
j37                 1     310     310  F1.0
j38                 1     311     311  F1.0
j39                 1     312     312  F1.0
j40                 1     313     313  F1.0
j41                 1     314     314  F1.0
j42                 1     315     315  F1.0
j43                 1     316     316  F1.0
j44                 1     317     317  F1.0
j45                 1     318     318  F1.0
j46                 1     319     319  F1.0
j47                 1     320     320  F1.0
j48                 1     321     321  F1.0
j49                 1     322     322  F1.0
j50                 1     323     323  F1.0
j51                 1     324     324  F1.0
j52                 1     325     325  F1.0
j53                 1     326     326  F1.0
j54                 1     327     327  F1.0
j55                 1     328     328  F1.0
j56                 1     329     329  F1.0
j57                 1     330     330  F1.0
j58                 1     331     331  F1.0
j59                 1     332     332  F1.0
j60                 1     333     333  F1.0
j61                 1     334     334  F1.0
j62                 1     335     335  F1.0
j63                 1     336     336  F1.0
j64                 1     337     337  F1.0
j65                 1     338     338  F1.0
j66                 1     339     339  F1.0
j67                 1     340     340  F1.0
j68                 1     341     341  F1.0
j69                 1     342     342  F1.0
j70                 1     343     343  F1.0
j71                 1     344     344  F1.0
j72                 1     345     345  F1.0
cd15                1     346     347  F2.0
k1                  1     348     348  F1.0
k2                  1     349     349  F1.0
k3                  1     350     350  F1.0
k4                  1     351     351  F1.0
k5                  1     352     352  F1.0
k6                  1     353     353  F1.0
k7                  1     354     354  F1.0
k8                  1     355     355  F1.0
k9                  1     356     356  F1.0
k10                 1     357     357  F1.0
k11                 1     358     358  F1.0
k12                 1     359     359  F1.0
k13                 1     360     360  F1.0
k14                 1     361     361  F1.0
k15                 1     362     362  F1.0
k16                 1     363     363  F1.0
k17                 1     364     364  F1.0
k18                 1     365     365  F1.0
k19                 1     366     366  F1.0
k20                 1     367     367  F1.0
k21                 1     368     370  F3.0
k22                 1     371     371  F1.0
k23                 1     372     372  F1.0
k24                 1     373     373  F1.0
k25                 1     374     374  F1.0
k26                 1     375     377  F3.0
k27                 1     378     378  F1.0
k28                 1     379     379  F1.0
k29                 1     380     380  F1.0
k30                 1     381     381  F1.0
k31                 1     382     382  F1.0
k32                 1     383     383  F1.0
k33                 1     384     384  F1.0
k34                 1     385     385  F1.0
k35                 1     386     386  F1.0
k36                 1     387     387  F1.0
k37                 1     388     388  F1.0
k38                 1     389     389  F1.0
k39                 1     390     390  F1.0
k40                 1     391     391  F1.0
k41                 1     392     392  F1.0
k42                 1     393     393  F1.0
k43                 1     394     394  F1.0
k44                 1     395     395  F1.0
k45                 1     396     396  F1.0
k46                 1     397     397  F1.0
k47                 1     398     398  F1.0
k48                 1     399     399  F1.0
k49                 1     400     401  F2.0
k50                 1     402     402  F1.0
k51                 1     403     403  F1.0
k52                 1     404     404  F1.0
k53                 1     405     405  F1.0
k54                 1     406     406  F1.0
k55                 1     407     407  F1.0
k56                 1     408     408  F1.0
k57                 1     409     409  F1.0
k58                 1     410     410  F1.0
cd16                1     411     412  F2.0
l1                  1     413     413  F1.0
l2                  1     414     414  F1.0
l3                  1     415     415  F1.0
l4                  1     416     416  F1.0
l5                  1     417     417  F1.0
l6                  1     418     418  F1.0
l7                  1     419     419  F1.0
l8                  1     420     420  F1.0
l9                  1     421     421  F1.0
l10                 1     422     422  F1.0
l11                 1     423     423  F1.0
l12                 1     424     424  F1.0
l13                 1     425     425  F1.0
l14                 1     426     426  F1.0
l15                 1     427     427  F1.0
l16                 1     428     428  F1.0
l17                 1     429     429  F1.0
l18                 1     430     430  F1.0
l19                 1     431     431  F1.0
l20                 1     432     432  F1.0
l21                 1     433     433  F1.0
l22                 1     434     434  F1.0
l23                 1     435     435  F1.0
l24                 1     436     437  F2.0
l25                 1     438     438  F1.0
l26                 1     439     439  F1.0
l27                 1     440     440  F1.0
l28                 1     441     441  F1.0
l29                 1     442     442  F1.0
l30                 1     443     443  F1.0
l31                 1     444     444  F1.0
l32                 1     445     445  F1.0
l33                 1     446     446  F1.0
l34                 1     447     447  F1.0
l35                 1     448     448  F1.0
l36                 1     449     449  F1.0
l37                 1     450     450  F1.0
l38                 1     451     451  F1.0
l39                 1     452     452  F1.0
l40                 1     453     453  F1.0
l41                 1     454     454  F1.0
l42                 1     455     455  F1.0
l43                 1     456     456  F1.0
l44                 1     457     457  F1.0
l45                 1     458     458  F1.0
l46                 1     459     459  F1.0
l47                 1     460     461  F2.0
l48                 1     462     462  F1.0
l49                 1     463     463  F1.0
l50                 1     464     464  F1.0
l51                 1     465     465  F1.0
l52                 1     466     466  F1.0
l53                 1     467     467  F1.0
l54                 1     468     468  F1.0
l55                 1     469     469  F1.0
l56                 1     470     470  F1.0
l57                 1     471     471  F1.0
l58                 1     472     472  F1.0
l59                 1     473     473  F1.0
l60                 1     474     474  F1.0
l61                 1     475     475  F1.0
l62                 1     476     476  F1.0
l63                 1     477     477  F1.0
l64                 1     478     478  F1.0
l65                 1     479     479  F1.0
l66                 1     480     480  F1.0
l67                 1     481     481  F1.0
l68                 1     482     482  F1.0
l69                 1     483     483  F1.0
l70                 1     484     484  F1.0
l71                 1     485     485  F1.0
l72                 1     486     486  F1.0
cd17                1     487     488  F2.0
m1                  1     489     489  F1.0
m2                  1     490     490  F1.0
m3                  1     491     491  F1.0
m4                  1     492     492  F1.0
m5                  1     493     493  F1.0
m6                  1     494     494  F1.0
m7                  1     495     495  F1.0
m8                  1     496     496  F1.0
m9                  1     497     497  F1.0
m10                 1     498     498  F1.0
m11                 1     499     499  F1.0
m12                 1     500     500  F1.0
m13                 1     501     501  F1.0
m14                 1     502     502  F1.0
m15                 1     503     503  F1.0
m16                 1     504     504  F1.0
m17                 1     505     505  F1.0
m18                 1     506     506  F1.0
m19                 1     507     507  F1.0
m20                 1     508     508  F1.0
m21                 1     509     509  F1.0
m22                 1     510     510  F1.0
m23                 1     511     511  F1.0
m24                 1     512     512  F1.0
m25                 1     513     513  F1.0
m26                 1     514     514  F1.0
m27                 1     515     515  F1.0
m28                 1     516     516  F1.0
m29                 1     517     517  F1.0
m30                 1     518     518  F1.0
m31                 1     519     519  F1.0
m32                 1     520     520  F1.0
m33                 1     521     521  F1.0
m34                 1     522     522  F1.0
m35                 1     523     523  F1.0
m36                 1     524     524  F1.0
m37                 1     525     525  F1.0
m38                 1     526     526  F1.0
m39                 1     527     527  F1.0
m40                 1     528     528  F1.0
m41                 1     529     529  F1.0
m42                 1     530     530  F1.0
m43                 1     531     531  F1.0
m44                 1     532     532  F1.0
m45                 1     533     533  F1.0
m46                 1     534     534  F1.0
m47                 1     535     535  F1.0
m48                 1     536     536  F1.0
m49                 1     537     537  F1.0
m50                 1     538     538  F1.0
m51                 1     539     539  F1.0
m52                 1     540     540  F1.0
m53                 1     541     541  F1.0
m54                 1     542     542  F1.0
m55                 1     543     543  F1.0
m56                 1     544     544  F1.0
m57                 1     545     545  F1.0
m58                 1     546     546  F1.0
m59                 1     547     547  F1.0
m60                 1     548     548  F1.0
m61                 1     549     549  F1.0
m62                 1     550     550  F1.0
m63                 1     551     551  F1.0
m64                 1     552     552  F1.0
m65                 1     553     553  F1.0
m66                 1     554     554  F1.0
m67                 1     555     555  F1.0
m68                 1     556     556  F1.0
m69                 1     557     557  F1.0
m70                 1     558     558  F1.0
m71                 1     559     559  F1.0
m72                 1     560     560  F1.0
m73                 1     561     561  F1.0
m74                 1     562     562  F1.0
m75                 1     563     563  F1.0
m76                 1     564     564  F1.0
m77                 1     565     565  F1.0
m78                 1     566     566  F1.0
m79                 1     567     567  F1.0
m80                 1     568     568  F1.0
m81                 1     569     569  F1.0
m82                 1     570     570  F1.0
m83                 1     571     571  F1.0
m84                 1     572     572  F1.0
m85                 1     573     573  F1.0
cd18                1     574     575  F2.0
n1                  1     576     576  F1.0
n2                  1     577     577  F1.0
n3                  1     578     578  F1.0
n4                  1     579     579  F1.0
n5                  1     580     580  F1.0
n6                  1     581     581  F1.0
n7                  1     582     582  F1.0
n8                  1     583     583  F1.0
n9                  1     584     584  F1.0
n10                 1     585     585  F1.0
n11                 1     586     586  F1.0
n12                 1     587     587  F1.0
n13                 1     588     588  F1.0
n14                 1     589     589  F1.0
n15                 1     590     590  F1.0
n16                 1     591     592  F2.0
n17                 1     593     594  F2.0
n18                 1     595     595  F1.0
n19                 1     596     596  F1.0
n20                 1     597     597  F1.0
n21                 1     598     598  F1.0
n22                 1     599     599  F1.0
n23                 1     600     600  F1.0
n24                 1     601     601  F1.0
n25                 1     602     602  F1.0
n26                 1     603     604  F2.0
n27                 1     605     605  F1.0
n28                 1     606     606  F1.0
n29                 1     607     607  F1.0
n30                 1     608     608  F1.0
n31                 1     609     609  F1.0
n32                 1     610     611  F2.0
n33                 1     612     612  F1.0
n34                 1     613     613  F1.0
n35                 1     614     614  F1.0
n36                 1     615     615  F1.0
n37                 1     616     616  F1.0
n38                 1     617     618  F2.0
n39                 1     619     619  F1.0
n40                 1     620     620  F1.0
n41                 1     621     622  F2.0
n42                 1     623     623  F1.0
n43                 1     624     624  F1.0
cd01                1     625     626  F2.0
a6                  1     627     627  F1.0
a7                  1     628     628  F1.0
a8                  1     629     629  F1.0
a9                  1     630     630  F1.0
a10                 1     631     632  F2.0
a11                 1     633     634  F2.0
a12                 1     635     635  F1.0
a13                 1     636     636  F1.0
a14                 1     637     638  F2.0
a15                 1     639     640  F2.0
a16                 1     641     642  F2.0
a17                 1     643     644  F2.0
a18                 1     645     646  F2.0
a19                 1     647     647  F1.0
a20                 1     648     649  F2.0
a21                 1     650     651  F2.0
a22                 1     652     653  F2.0
a23                 1     654     654  F1.0
a24                 1     655     655  F1.0
a25                 1     656     657  F2.0
cd04                1     658     659  F2.0
d1                  1     660     661  F2.0
d2                  1     662     663  F2.0
d3                  1     664     665  F2.0
d4                  1     666     667  F2.0
d5                  1     668     668  F1.0
d6                  1     669     669  F1.0
d7                  1     670     671  F2.0
d8                  1     672     672  F1.0
d9                  1     673     675  F3.0
d10                 1     676     676  F1.0
d11                 1     677     677  F1.0
d12                 1     678     679  F2.0
d13                 1     680     681  F2.0
d14                 1     682     682  F1.0
d15                 1     683     683  F1.0
d16                 1     684     685  F2.0
d17                 1     686     687  F2.0
d18                 1     688     689  F2.0
d19                 1     690     691  F2.0
d20                 1     692     692  F1.0
d21                 1     693     694  F2.0
d22                 1     695     696  F2.0
d23                 1     697     697  F1.0
d24                 1     698     698  F1.0
d25                 1     699     700  F2.0
d26                 1     701     701  F1.0
d27                 1     702     703  F2.0
d28                 1     704     705  F2.0
d29                 1     706     707  F2.0
d30                 1     708     708  F1.0
d31                 1     709     709  F1.0
d32                 1     710     710  F1.0
d33                 1     711     711  F1.0
d34                 1     712     712  F1.0
d35                 1     713     713  F1.0
d36                 1     714     714  F1.0
d37                 1     715     715  F1.0
d38                 1     716     716  F1.0
d39                 1     717     717  F1.0
d40                 1     718     718  F1.0
d41                 1     719     719  F1.0
d42                 1     720     720  F1.0
cd05                1     721     722  F2.0
e1                  1     723     723  F1.0
e2                  1     724     724  F1.0
e3                  1     725     725  F1.0
e4                  1     726     726  F1.0
e5                  1     727     727  F1.0
e6                  1     728     728  F1.0
e7                  1     729     729  F1.0
e8                  1     730     730  F1.0
e9                  1     731     731  F1.0
e10                 1     732     732  F1.0
e11                 1     733     733  F1.0
e12                 1     734     734  F1.0
e13                 1     735     735  F1.0
e14                 1     736     737  F2.0
e15                 1     738     739  F2.0
e16                 1     740     741  F2.0
e17                 1     742     743  F2.0
e18                 1     744     745  F2.0
e19                 1     746     746  F1.0
e20                 1     747     748  F2.0
e21                 1     749     750  F2.0
e22                 1     751     751  F1.0
e23                 1     752     752  F1.0
e24                 1     753     753  F1.0
e25                 1     754     754  F1.0
e26                 1     755     755  F1.0
e27                 1     756     756  F1.0
e28                 1     757     757  F1.0
e29                 1     758     758  F1.0
e30                 1     759     759  F1.0
e31                 1     760     760  F1.0
e32                 1     761     761  F1.0
e33                 1     762     762  F1.0
e34                 1     763     763  F1.0
e35                 1     764     765  F2.0
e36                 1     766     766  F1.0
e37                 1     767     767  F1.0
e38                 1     768     768  F1.0
e39                 1     769     769  F1.0
e40                 1     770     770  F1.0
e41                 1     771     771  F1.0
e42                 1     772     773  F2.0
e43                 1     774     775  F2.0
e44                 1     776     777  F2.0
e45                 1     778     778  F1.0
e46                 1     779     779  F1.0
e47                 1     780     780  F1.0
e48                 1     781     781  F1.0
e49                 1     782     782  F1.0
e50                 1     783     783  F1.0
e51                 1     784     785  F2.0
e52                 1     786     787  F2.0
e53                 1     788     789  F2.0
cd06                1     790     791  F2.0
f1                  1     792     792  F1.0
f2                  1     793     793  F1.0
f3                  1     794     795  F2.0
f4                  1     796     798  F3.0
f5                  1     799     799  F1.0
f6                  1     800     802  F3.0
f7                  1     803     804  F2.0
f8                  1     805     806  F2.0
f9                  1     807     809  F3.0
f10                 1     810     810  F1.0
f11                 1     811     812  F2.0
f12                 1     813     813  F1.0
f13                 1     814     815  F2.0
f14                 1     816     816  F1.0
f15                 1     817     818  F2.0
f16                 1     819     819  F1.0
f17                 1     820     820  F1.0
f18                 1     821     821  F1.0
f19                 1     822     822  F1.0
f20                 1     823     823  F1.0
f21                 1     824     824  F1.0
f22                 1     825     825  F1.0
f23                 1     826     826  F1.0
f24                 1     827     828  F2.0
f25                 1     829     830  F2.0
f26                 1     831     832  F2.0
f27                 1     833     833  F1.0
f28                 1     834     834  F1.0
f29                 1     835     836  F2.0
f30                 1     837     838  F2.0
f31                 1     839     840  F2.0
f32                 1     841     841  F1.0
f33                 1     842     843  F2.0
f34                 1     844     845  F2.0
f35                 1     846     847  F2.0
f36                 1     848     848  F1.0
f37                 1     849     849  F1.0
f38                 1     850     851  F2.0
f39                 1     852     853  F2.0
f40                 1     854     855  F2.0
f41                 1     856     856  F1.0
f42                 1     857     858  F2.0
f43                 1     859     860  F2.0
f44                 1     861     862  F2.0
f45                 1     863     863  F1.0
f46                 1     864     864  F1.0
f47                 1     865     866  F2.0
