
Variable          Rec   Start     End  Format

gob                 1       1       3  F3.0
gab                 1       4       6  F3.0
non                 1       7       7  F1.0
nokn                1       8       8  F1.0
nobun               1       9      10  F2.0
cd11                1      11      12  F2.0
g1                  1      13      13  F1.0
g2                  1      14      14  F1.0
g3                  1      15      16  F2.0
g4                  1      17      18  F2.0
g5                  1      19      19  F1.0
g6                  1      20      21  F2.0
g7                  1      22      23  F2.0
g8                  1      24      25  F2.0
g9                  1      26      26  F1.0
g10                 1      27      28  F2.0
g11                 1      29      29  F1.0
g12                 1      30      31  F2.0
g13                 1      32      33  F2.0
g14                 1      34      34  F1.0
g15                 1      35      35  F1.0
g16                 1      36      36  F1.0
g17                 1      37      37  F1.0
g18                 1      38      38  F1.0
g19                 1      39      39  F1.0
g20                 1      40      40  F1.0
g21                 1      41      41  F1.0
g22                 1      42      43  F2.0
g23                 1      44      44  F1.0
g24                 1      45      46  F2.0
g25                 1      47      47  F1.0
g26                 1      48      48  F1.0
g27                 1      49      51  F3.0
g28                 1      52      52  F1.0
g29                 1      53      55  F3.0
g30                 1      56      56  F1.0
g31                 1      57      58  F2.0
g32                 1      59      60  F2.0
g33                 1      61      62  F2.0
g34                 1      63      63  F1.0
g35                 1      64      65  F2.0
g36                 1      66      66  F1.0
g37                 1      67      67  F1.0
g38                 1      68      70  F3.0
g39                 1      71      71  F1.0
g40                 1      72      74  F3.0
g41                 1      75      75  F1.0
g42                 1      76      77  F2.0
g43                 1      78      79  F2.0
g44                 1      80      81  F2.0
g45                 1      82      83  F2.0
g46                 1      84      85  F2.0
g47                 1      86      87  F2.0
g48                 1      88      89  F2.0
g49                 1      90      91  F2.0
g50                 1      92      93  F2.0
g51                 1      94      95  F2.0
g52                 1      96      97  F2.0
g53                 1      98      99  F2.0
cd12                1     100     101  F2.0
h1                  1     102     102  F1.0
h2                  1     103     105  F3.0
h3                  1     106     107  F2.0
h4                  1     108     109  F2.0
h5                  1     110     110  F1.0
h6                  1     111     112  F2.0
h7                  1     113     115  F3.0
h8                  1     116     118  F3.0
h9                  1     119     119  F1.0
h10                 1     120     121  F2.0
h11                 1     122     122  F1.0
h12                 1     123     124  F2.0
h13                 1     125     125  F1.0
h14                 1     126     127  F2.0
h15                 1     128     128  F1.0
h16                 1     129     130  F2.0
h17                 1     131     131  F1.0
h18                 1     132     133  F2.0
h19                 1     134     134  F1.0
h20                 1     135     136  F2.0
h21                 1     137     137  F1.0
h22                 1     138     139  F2.0
h23                 1     140     140  F1.0
h24                 1     141     142  F2.0
h25                 1     143     143  F1.0
h26                 1     144     144  F1.0
h27                 1     145     146  F2.0
h28                 1     147     147  F1.0
h29                 1     148     149  F2.0
h30                 1     150     150  F1.0
h31                 1     151     152  F2.0
h32                 1     153     154  F2.0
h33                 1     155     156  F2.0
h34                 1     157     158  F2.0
h35                 1     159     161  F3.0
h36                 1     162     162  F1.0
h37                 1     163     163  F1.0
h38                 1     164     164  F1.0
h39                 1     165     165  F1.0
h40                 1     166     166  F1.0
h41                 1     167     167  F1.0
h42                 1     168     168  F1.0
h43                 1     169     169  F1.0
h44                 1     170     170  F1.0
h45                 1     171     171  F1.0
h46                 1     172     172  F1.0
h47                 1     173     173  F1.0
h48                 1     174     174  F1.0
h49                 1     175     175  F1.0
h50                 1     176     176  F1.0
h51                 1     177     177  F1.0
h52                 1     178     178  F1.0
h53                 1     179     179  F1.0
h54                 1     180     180  F1.0
h55                 1     181     181  F1.0
h56                 1     182     183  F2.0
h57                 1     184     184  F1.0
cd13                1     185     186  F2.0
i1                  1     187     187  F1.0
i2                  1     188     188  F1.0
i3                  1     189     189  F1.0
i4                  1     190     190  F1.0
i5                  1     191     191  F1.0
i6                  1     192     192  F1.0
i7                  1     193     193  F1.0
i8                  1     194     194  F1.0
i9                  1     195     195  F1.0
i10                 1     196     196  F1.0
i11                 1     197     197  F1.0
i12                 1     198     198  F1.0
i13                 1     199     199  F1.0
i14                 1     200     201  F2.0
i15                 1     202     202  F1.0
i16                 1     203     203  F1.0
i17                 1     204     205  F2.0
