"행정구역","2020년07월_계_총인구수","2020년07월_계_연령구간인구수","2020년07월_계_0~9세","2020년07월_계_10~19세","2020년07월_계_20~29세","2020년07월_계_30~39세","2020년07월_계_40~49세","2020년07월_계_50~59세","2020년07월_계_60~69세","2020년07월_계_70~79세","2020년07월_계_80~89세","2020년07월_계_90~99세","2020년07월_계_100세 이상","2020년07월_남_총인구수","2020년07월_남_연령구간인구수","2020년07월_남_0~9세","2020년07월_남_10~19세","2020년07월_남_20~29세","2020년07월_남_30~39세","2020년07월_남_40~49세","2020년07월_남_50~59세","2020년07월_남_60~69세","2020년07월_남_70~79세","2020년07월_남_80~89세","2020년07월_남_90~99세","2020년07월_남_100세 이상","2020년07월_여_총인구수","2020년07월_여_연령구간인구수","2020년07월_여_0~9세","2020년07월_여_10~19세","2020년07월_여_20~29세","2020년07월_여_30~39세","2020년07월_여_40~49세","2020년07월_여_50~59세","2020년07월_여_60~69세","2020년07월_여_70~79세","2020년07월_여_80~89세","2020년07월_여_90~99세","2020년07월_여_100세 이상","2020년08월_계_총인구수","2020년08월_계_연령구간인구수","2020년08월_계_0~9세","2020년08월_계_10~19세","2020년08월_계_20~29세","2020년08월_계_30~39세","2020년08월_계_40~49세","2020년08월_계_50~59세","2020년08월_계_60~69세","2020년08월_계_70~79세","2020년08월_계_80~89세","2020년08월_계_90~99세","2020년08월_계_100세 이상","2020년08월_남_총인구수","2020년08월_남_연령구간인구수","2020년08월_남_0~9세","2020년08월_남_10~19세","2020년08월_남_20~29세","2020년08월_남_30~39세","2020년08월_남_40~49세","2020년08월_남_50~59세","2020년08월_남_60~69세","2020년08월_남_70~79세","2020년08월_남_80~89세","2020년08월_남_90~99세","2020년08월_남_100세 이상","2020년08월_여_총인구수","2020년08월_여_연령구간인구수","2020년08월_여_0~9세","2020년08월_여_10~19세","2020년08월_여_20~29세","2020년08월_여_30~39세","2020년08월_여_40~49세","2020년08월_여_50~59세","2020년08월_여_60~69세","2020년08월_여_70~79세","2020년08월_여_80~89세","2020년08월_여_90~99세","2020년08월_여_100세 이상","2020년09월_계_총인구수","2020년09월_계_연령구간인구수","2020년09월_계_0~9세","2020년09월_계_10~19세","2020년09월_계_20~29세","2020년09월_계_30~39세","2020년09월_계_40~49세","2020년09월_계_50~59세","2020년09월_계_60~69세","2020년09월_계_70~79세","2020년09월_계_80~89세","2020년09월_계_90~99세","2020년09월_계_100세 이상","2020년09월_남_총인구수","2020년09월_남_연령구간인구수","2020년09월_남_0~9세","2020년09월_남_10~19세","2020년09월_남_20~29세","2020년09월_남_30~39세","2020년09월_남_40~49세","2020년09월_남_50~59세","2020년09월_남_60~69세","2020년09월_남_70~79세","2020년09월_남_80~89세","2020년09월_남_90~99세","2020년09월_남_100세 이상","2020년09월_여_총인구수","2020년09월_여_연령구간인구수","2020년09월_여_0~9세","2020년09월_여_10~19세","2020년09월_여_20~29세","2020년09월_여_30~39세","2020년09월_여_40~49세","2020년09월_여_50~59세","2020년09월_여_60~69세","2020년09월_여_70~79세","2020년09월_여_80~89세","2020년09월_여_90~99세","2020년09월_여_100세 이상","2020년10월_계_총인구수","2020년10월_계_연령구간인구수","2020년10월_계_0~9세","2020년10월_계_10~19세","2020년10월_계_20~29세","2020년10월_계_30~39세","2020년10월_계_40~49세","2020년10월_계_50~59세","2020년10월_계_60~69세","2020년10월_계_70~79세","2020년10월_계_80~89세","2020년10월_계_90~99세","2020년10월_계_100세 이상","2020년10월_남_총인구수","2020년10월_남_연령구간인구수","2020년10월_남_0~9세","2020년10월_남_10~19세","2020년10월_남_20~29세","2020년10월_남_30~39세","2020년10월_남_40~49세","2020년10월_남_50~59세","2020년10월_남_60~69세","2020년10월_남_70~79세","2020년10월_남_80~89세","2020년10월_남_90~99세","2020년10월_남_100세 이상","2020년10월_여_총인구수","2020년10월_여_연령구간인구수","2020년10월_여_0~9세","2020년10월_여_10~19세","2020년10월_여_20~29세","2020년10월_여_30~39세","2020년10월_여_40~49세","2020년10월_여_50~59세","2020년10월_여_60~69세","2020년10월_여_70~79세","2020년10월_여_80~89세","2020년10월_여_90~99세","2020년10월_여_100세 이상","2020년11월_계_총인구수","2020년11월_계_연령구간인구수","2020년11월_계_0~9세","2020년11월_계_10~19세","2020년11월_계_20~29세","2020년11월_계_30~39세","2020년11월_계_40~49세","2020년11월_계_50~59세","2020년11월_계_60~69세","2020년11월_계_70~79세","2020년11월_계_80~89세","2020년11월_계_90~99세","2020년11월_계_100세 이상","2020년11월_남_총인구수","2020년11월_남_연령구간인구수","2020년11월_남_0~9세","2020년11월_남_10~19세","2020년11월_남_20~29세","2020년11월_남_30~39세","2020년11월_남_40~49세","2020년11월_남_50~59세","2020년11월_남_60~69세","2020년11월_남_70~79세","2020년11월_남_80~89세","2020년11월_남_90~99세","2020년11월_남_100세 이상","2020년11월_여_총인구수","2020년11월_여_연령구간인구수","2020년11월_여_0~9세","2020년11월_여_10~19세","2020년11월_여_20~29세","2020년11월_여_30~39세","2020년11월_여_40~49세","2020년11월_여_50~59세","2020년11월_여_60~69세","2020년11월_여_70~79세","2020년11월_여_80~89세","2020년11월_여_90~99세","2020년11월_여_100세 이상","2020년12월_계_총인구수","2020년12월_계_연령구간인구수","2020년12월_계_0~9세","2020년12월_계_10~19세","2020년12월_계_20~29세","2020년12월_계_30~39세","2020년12월_계_40~49세","2020년12월_계_50~59세","2020년12월_계_60~69세","2020년12월_계_70~79세","2020년12월_계_80~89세","2020년12월_계_90~99세","2020년12월_계_100세 이상","2020년12월_남_총인구수","2020년12월_남_연령구간인구수","2020년12월_남_0~9세","2020년12월_남_10~19세","2020년12월_남_20~29세","2020년12월_남_30~39세","2020년12월_남_40~49세","2020년12월_남_50~59세","2020년12월_남_60~69세","2020년12월_남_70~79세","2020년12월_남_80~89세","2020년12월_남_90~99세","2020년12월_남_100세 이상","2020년12월_여_총인구수","2020년12월_여_연령구간인구수","2020년12월_여_0~9세","2020년12월_여_10~19세","2020년12월_여_20~29세","2020년12월_여_30~39세","2020년12월_여_40~49세","2020년12월_여_50~59세","2020년12월_여_60~69세","2020년12월_여_70~79세","2020년12월_여_80~89세","2020년12월_여_90~99세","2020년12월_여_100세 이상"
"서울특별시  (1100000000)","9,715,429","9,715,429","643,327","797,290","1,465,057","1,493,859","1,545,423","1,531,558","1,220,667","699,735","270,476","41,465","6,572","4,728,872","4,728,872","330,330","408,779","712,412","747,611","765,473","751,861","576,472","318,867","104,518","10,824","1,725","4,986,557","4,986,557","312,997","388,511","752,645","746,248","779,950","779,697","644,195","380,868","165,958","30,641","4,847","9,708,247","9,708,247","639,596","794,131","1,465,467","1,490,070","1,542,023","1,529,802","1,225,960","700,846","271,967","41,753","6,632","4,724,585","4,724,585","328,489","407,212","712,228","745,595","763,773","751,118","578,951","319,373","105,188","10,914","1,744","4,983,662","4,983,662","311,107","386,919","753,239","744,475","778,250","778,684","647,009","381,473","166,779","30,839","4,888","9,699,232","9,699,232","635,833","791,463","1,464,445","1,486,072","1,538,386","1,528,701","1,230,721","701,306","273,467","42,160","6,678","4,719,170","4,719,170","326,491","405,944","711,112","743,478","761,988","750,539","581,260","319,572","105,985","11,043","1,758","4,980,062","4,980,062","309,342","385,519","753,333","742,594","776,398","778,162","649,461","381,734","167,482","31,117","4,920","9,689,159","9,689,159","631,458","788,199","1,462,526","1,482,049","1,534,932","1,528,085","1,235,472","702,248","275,146","42,352","6,692","4,713,716","4,713,716","324,310","404,407","709,822","741,388","760,281","750,451","583,531","319,781","106,866","11,116","1,763","4,975,443","4,975,443","307,148","383,792","752,704","740,661","774,651","777,634","651,941","382,467","168,280","31,236","4,929","9,679,771","9,679,771","627,357","785,233","1,461,133","1,478,727","1,531,956","1,526,471","1,239,857","703,243","276,533","42,535","6,726","4,708,321","4,708,321","322,150","402,968","708,862","739,692","758,623","749,975","585,409","320,133","107,577","11,164","1,768","4,971,450","4,971,450","305,207","382,265","752,271","739,035","773,333","776,496","654,448","383,110","168,956","31,371","4,958","9,668,465","9,668,465","623,745","781,866","1,460,411","1,475,106","1,528,182","1,523,556","1,243,954","704,076","278,094","42,683","6,792","4,701,723","4,701,723","320,275","401,285","707,669","737,901","756,950","748,582","587,294","320,416","108,339","11,221","1,791","4,966,742","4,966,742","303,470","380,581","752,742","737,205","771,232","774,974","656,660","383,660","169,755","31,462","5,001"
"서울특별시 종로구 (1111000000)","150,183","150,183","7,825","11,246","23,436","20,125","22,569","25,645","19,608","12,564","5,835","1,063","267","73,214","73,214","3,973","5,668","11,568","10,037","10,989","12,868","9,721","5,595","2,331","375","89","76,969","76,969","3,852","5,578","11,868","10,088","11,580","12,777","9,887","6,969","3,504","688","178","149,962","149,962","7,748","11,161","23,435","20,087","22,460","25,640","19,666","12,571","5,866","1,058","270","73,062","73,062","3,931","5,618","11,566","10,016","10,937","12,856","9,750","5,579","2,344","374","91","76,900","76,900","3,817","5,543","11,869","10,071","11,523","12,784","9,916","6,992","3,522","684","179","149,952","149,952","7,700","11,186","23,419","20,077","22,394","25,609","19,760","12,556","5,907","1,073","271","73,024","73,024","3,896","5,621","11,548","10,003","10,905","12,842","9,801","5,569","2,369","377","93","76,928","76,928","3,804","5,565","11,871","10,074","11,489","12,767","9,959","6,987","3,538","696","178","149,703","149,703","7,661","11,115","23,366","20,035","22,317","25,571","19,823","12,535","5,932","1,076","272","72,847","72,847","3,875","5,554","11,498","9,957","10,871","12,835","9,847","5,562","2,382","373","93","76,856","76,856","3,786","5,561","11,868","10,078","11,446","12,736","9,976","6,973","3,550","703","179","149,549","149,549","7,590","11,066","23,386","19,982","22,245","25,511","19,938","12,513","5,950","1,096","272","72,741","72,741","3,841","5,528","11,515","9,908","10,827","12,812","9,906","5,538","2,394","378","94","76,808","76,808","3,749","5,538","11,871","10,074","11,418","12,699","10,032","6,975","3,556","718","178","149,384","149,384","7,527","11,013","23,416","19,943","22,231","25,459","19,948","12,500","5,978","1,093","276","72,635","72,635","3,803","5,495","11,505","9,910","10,834","12,784","9,903","5,518","2,415","371","97","76,749","76,749","3,724","5,518","11,911","10,033","11,397","12,675","10,045","6,982","3,563","722","179"
"서울특별시 중구 (1114000000)","125,970","125,970","7,079","7,097","18,570","20,323","18,363","20,922","17,221","10,625","4,710","861","199","61,644","61,644","3,591","3,555","8,903","10,181","9,354","10,646","8,573","4,771","1,744","262","64","64,326","64,326","3,488","3,542","9,667","10,142","9,009","10,276","8,648","5,854","2,966","599","135","125,990","125,990","7,061","7,041","18,572","20,332","18,298","20,880","17,337","10,650","4,748","871","200","61,651","61,651","3,595","3,529","8,889","10,173","9,333","10,621","8,626","4,789","1,766","265","65","64,339","64,339","3,466","3,512","9,683","10,159","8,965","10,259","8,711","5,861","2,982","606","135","125,800","125,800","7,002","6,953","18,575","20,262","18,261","20,842","17,376","10,665","4,770","893","201","61,526","61,526","3,570","3,494","8,897","10,098","9,323","10,585","8,657","4,786","1,779","272","65","64,274","64,274","3,432","3,459","9,678","10,164","8,938","10,257","8,719","5,879","2,991","621","136","125,641","125,641","6,950","6,923","18,590","20,172","18,168","20,796","17,457","10,683","4,806","896","200","61,432","61,432","3,557","3,483","8,867","10,058","9,267","10,571","8,693","4,792","1,802","277","65","64,209","64,209","3,393","3,440","9,723","10,114","8,901","10,225","8,764","5,891","3,004","619","135","125,505","125,505","6,886","6,854","18,634","20,117","18,119","20,744","17,512","10,728","4,809","900","202","61,363","61,363","3,532","3,452","8,877","10,037","9,252","10,553","8,690","4,832","1,793","280","65","64,142","64,142","3,354","3,402","9,757","10,080","8,867","10,191","8,822","5,896","3,016","620","137","125,240","125,240","6,836","6,773","18,586","20,107","18,011","20,702","17,551","10,733","4,836","900","205","61,222","61,222","3,505","3,408","8,851","10,027","9,222","10,508","8,714","4,839","1,800","283","65","64,018","64,018","3,331","3,365","9,735","10,080","8,789","10,194","8,837","5,894","3,036","617","140"
"서울특별시 용산구 (1117000000)","229,432","229,432","13,858","15,897","33,262","38,096","35,883","36,668","28,167","17,244","8,396","1,596","365","110,438","110,438","7,167","8,088","15,842","19,006","17,603","18,155","13,369","7,480","3,120","502","106","118,994","118,994","6,691","7,809","17,420","19,090","18,280","18,513","14,798","9,764","5,276","1,094","259","229,362","229,362","13,754","15,854","33,229","38,043","35,864","36,702","28,281","17,248","8,420","1,599","368","110,403","110,403","7,116","8,063","15,845","18,958","17,597","18,183","13,427","7,465","3,137","506","106","118,959","118,959","6,638","7,791","17,384","19,085","18,267","18,519","14,854","9,783","5,283","1,093","262","229,786","229,786","13,686","15,862","33,313","38,070","35,840","36,870","28,456","17,255","8,452","1,615","367","110,604","110,604","7,077","8,073","15,862","18,972","17,591","18,259","13,547","7,447","3,163","509","104","119,182","119,182","6,609","7,789","17,451","19,098","18,249","18,611","14,909","9,808","5,289","1,106","263","230,044","230,044","13,621","15,785","33,363","38,116","35,799","36,995","28,621","17,257","8,500","1,620","367","110,754","110,754","7,044","8,033","15,903","18,994","17,588","18,296","13,650","7,438","3,191","512","105","119,290","119,290","6,577","7,752","17,460","19,122","18,211","18,699","14,971","9,819","5,309","1,108","262","230,151","230,151","13,570","15,705","33,428","38,103","35,740","37,057","28,754","17,248","8,544","1,632","370","110,776","110,776","7,011","7,991","15,920","19,017","17,537","18,332","13,705","7,440","3,209","507","107","119,375","119,375","6,559","7,714","17,508","19,086","18,203","18,725","15,049","9,808","5,335","1,125","263","230,040","230,040","13,496","15,609","33,485","38,069","35,698","37,070","28,840","17,203","8,572","1,627","371","110,722","110,722","6,970","7,932","15,925","19,032","17,529","18,344","13,760","7,401","3,219","503","107","119,318","119,318","6,526","7,677","17,560","19,037","18,169","18,726","15,080","9,802","5,353","1,124","264"
"서울특별시 성동구 (1120000000)","296,896","296,896","21,038","20,659","45,597","49,760","45,846","47,765","35,886","20,621","8,332","1,153","239","145,030","145,030","10,760","10,346","22,544","24,447","22,989","23,832","17,401","9,204","3,123","315","69","151,866","151,866","10,278","10,313","23,053","25,313","22,857","23,933","18,485","11,417","5,209","838","170","296,183","296,183","20,901","20,487","45,461","49,558","45,723","47,585","36,056","20,636","8,369","1,164","243","144,701","144,701","10,711","10,234","22,492","24,353","22,934","23,733","17,522","9,208","3,126","319","69","151,482","151,482","10,190","10,253","22,969","25,205","22,789","23,852","18,534","11,428","5,243","845","174","295,591","295,591","20,819","20,350","45,320","49,399","45,564","47,501","36,213","20,619","8,383","1,179","244","144,444","144,444","10,664","10,171","22,444","24,304","22,832","23,698","17,623","9,176","3,140","323","69","151,147","151,147","10,155","10,179","22,876","25,095","22,732","23,803","18,590","11,443","5,243","856","175","294,895","294,895","20,671","20,137","45,274","49,241","45,357","47,459","36,309","20,587","8,434","1,178","248","144,059","144,059","10,593","10,050","22,381","24,219","22,744","23,685","17,674","9,162","3,158","324","69","150,836","150,836","10,078","10,087","22,893","25,022","22,613","23,774","18,635","11,425","5,276","854","179","294,272","294,272","20,585","19,970","45,145","49,138","45,229","47,347","36,393","20,587","8,450","1,181","247","143,745","143,745","10,529","9,958","22,328","24,168","22,680","23,642","17,727","9,151","3,170","322","70","150,527","150,527","10,056","10,012","22,817","24,970","22,549","23,705","18,666","11,436","5,280","859","177","293,556","293,556","20,449","19,815","45,043","48,905","45,020","47,248","36,534","20,586","8,520","1,185","251","143,387","143,387","10,469","9,891","22,271","24,032","22,575","23,582","17,809","9,170","3,185","331","72","150,169","150,169","9,980","9,924","22,772","24,873","22,445","23,666","18,725","11,416","5,335","854","179"
"서울특별시 광진구 (1121500000)","349,258","349,258","20,486","26,555","62,624","56,967","53,492","55,005","41,684","22,344","8,619","1,269","213","168,766","168,766","10,450","13,516","29,575","28,124","26,428","26,816","19,823","10,261","3,368","354","51","180,492","180,492","10,036","13,039","33,049","28,843","27,064","28,189","21,861","12,083","5,251","915","162","348,647","348,647","20,287","26,437","62,707","56,699","53,260","54,926","41,831","22,360","8,655","1,269","216","168,472","168,472","10,349","13,450","29,631","27,999","26,310","26,791","19,893","10,258","3,386","353","52","180,175","180,175","9,938","12,987","33,076","28,700","26,950","28,135","21,938","12,102","5,269","916","164","348,064","348,064","20,085","26,350","62,726","56,455","52,997","54,870","42,031","22,372","8,698","1,259","221","168,095","168,095","10,238","13,414","29,570","27,863","26,175","26,767","19,984","10,276","3,407","347","54","179,969","179,969","9,847","12,936","33,156","28,592","26,822","28,103","22,047","12,096","5,291","912","167","347,615","347,615","19,904","26,212","62,784","56,208","52,866","54,868","42,162","22,402","8,728","1,261","220","167,794","167,794","10,147","13,362","29,507","27,764","26,085","26,784","20,031","10,284","3,426","349","55","179,821","179,821","9,757","12,850","33,277","28,444","26,781","28,084","22,131","12,118","5,302","912","165","347,285","347,285","19,699","26,132","62,813","56,116","52,718","54,742","42,335","22,419","8,825","1,266","220","167,626","167,626","10,050","13,315","29,516","27,726","26,015","26,708","20,138","10,284","3,464","356","54","179,659","179,659","9,649","12,817","33,297","28,390","26,703","28,034","22,197","12,135","5,361","910","166","346,682","346,682","19,572","25,931","62,940","55,983","52,482","54,541","42,460","22,428","8,850","1,277","218","167,310","167,310","9,977","13,219","29,521","27,696","25,883","26,600","20,219","10,314","3,466","361","54","179,372","179,372","9,595","12,712","33,419","28,287","26,599","27,941","22,241","12,114","5,384","916","164"
"서울특별시 동대문구 (1123000000)","345,156","345,156","21,379","24,448","56,186","50,808","51,547","53,808","45,702","28,208","11,188","1,579","303","171,134","171,134","10,929","12,351","28,052","26,287","26,624","27,062","22,088","12,761","4,433","456","91","174,022","174,022","10,450","12,097","28,134","24,521","24,923","26,746","23,614","15,447","6,755","1,123","212","344,650","344,650","21,225","24,308","56,285","50,609","51,369","53,632","45,876","28,199","11,257","1,585","305","170,926","170,926","10,852","12,304","28,140","26,179","26,545","26,951","22,184","12,755","4,463","462","91","173,724","173,724","10,373","12,004","28,145","24,430","24,824","26,681","23,692","15,444","6,794","1,123","214","344,416","344,416","21,150","24,157","56,360","50,498","51,161","53,604","46,053","28,198","11,328","1,600","307","170,748","170,748","10,845","12,215","28,133","26,094","26,443","26,950","22,259","12,762","4,491","463","93","173,668","173,668","10,305","11,942","28,227","24,404","24,718","26,654","23,794","15,436","6,837","1,137","214","343,819","343,819","21,010","23,960","56,383","50,297","51,005","53,465","46,221","28,170","11,423","1,577","308","170,320","170,320","10,767","12,130","28,109","25,945","26,349","26,880","22,326","12,745","4,519","457","93","173,499","173,499","10,243","11,830","28,274","24,352","24,656","26,585","23,895","15,425","6,904","1,120","215","343,377","343,377","20,916","23,758","56,374","50,251","50,836","53,377","46,345","28,155","11,485","1,570","310","170,088","170,088","10,725","12,018","28,080","25,948","26,236","26,866","22,384","12,739","4,543","455","94","173,289","173,289","10,191","11,740","28,294","24,303","24,600","26,511","23,961","15,416","6,942","1,115","216","342,837","342,837","20,788","23,647","56,331","50,175","50,630","53,262","46,393","28,195","11,521","1,582","313","169,769","169,769","10,662","11,966","27,978","25,917","26,124","26,854","22,400","12,737","4,574","463","94","173,068","173,068","10,126","11,681","28,353","24,258","24,506","26,408","23,993","15,458","6,947","1,119","219"
"서울특별시 중랑구 (1126000000)","394,293","394,293","23,574","27,414","55,983","58,291","58,239","69,861","56,685","31,084","11,391","1,569","202","195,227","195,227","12,188","13,993","27,882","30,102","30,061","34,498","27,500","14,187","4,407","364","45","199,066","199,066","11,386","13,421","28,101","28,189","28,178","35,363","29,185","16,897","6,984","1,205","157","395,788","395,788","23,753","27,345","56,162","58,610","58,364","69,981","57,147","31,176","11,457","1,587","206","195,931","195,931","12,267","13,968","27,965","30,246","30,144","34,526","27,732","14,238","4,435","365","45","199,857","199,857","11,486","13,377","28,197","28,364","28,220","35,455","29,415","16,938","7,022","1,222","161","395,997","395,997","23,628","27,292","56,186","58,549","58,307","69,972","57,481","31,226","11,558","1,590","208","195,981","195,981","12,194","13,968","27,911","30,195","30,103","34,510","27,917","14,288","4,478","371","46","200,016","200,016","11,434","13,324","28,275","28,354","28,204","35,462","29,564","16,938","7,080","1,219","162","395,572","395,572","23,403","27,097","56,186","58,379","58,169","69,885","57,706","31,330","11,628","1,585","204","195,718","195,718","12,083","13,844","27,879","30,110","30,030","34,476","28,026","14,337","4,519","368","46","199,854","199,854","11,320","13,253","28,307","28,269","28,139","35,409","29,680","16,993","7,109","1,217","158","395,194","395,194","23,221","26,942","56,133","58,262","58,028","69,716","58,020","31,383","11,680","1,601","208","195,469","195,469","12,009","13,749","27,827","30,042","29,977","34,380","28,176","14,347","4,549","364","49","199,725","199,725","11,212","13,193","28,306","28,220","28,051","35,336","29,844","17,036","7,131","1,237","159","394,702","394,702","23,064","26,759","56,112","58,124","57,883","69,528","58,222","31,445","11,758","1,601","206","195,165","195,165","11,921","13,643","27,793","29,956","29,951","34,267","28,254","14,384","4,582","365","49","199,537","199,537","11,143","13,116","28,319","28,168","27,932","35,261","29,968","17,061","7,176","1,236","157"
"서울특별시 성북구 (1129000000)","441,188","441,188","29,881","38,215","67,068","61,044","71,199","69,650","54,114","33,759","13,889","1,991","378","213,033","213,033","15,243","19,415","32,449","30,455","35,041","34,285","25,462","14,735","5,350","504","94","228,155","228,155","14,638","18,800","34,619","30,589","36,158","35,365","28,652","19,024","8,539","1,487","284","440,395","440,395","29,627","38,011","67,160","60,726","70,876","69,586","54,355","33,703","13,951","2,018","382","212,559","212,559","15,143","19,285","32,445","30,260","34,880","34,276","25,560","14,722","5,384","508","96","227,836","227,836","14,484","18,726","34,715","30,466","35,996","35,310","28,795","18,981","8,567","1,510","286","439,719","439,719","29,428","37,769","67,151","60,552","70,532","69,637","54,528","33,681","14,032","2,029","380","212,151","212,151","15,026","19,171","32,422","30,125","34,731","34,285","25,644","14,727","5,408","516","96","227,568","227,568","14,402","18,598","34,729","30,427","35,801","35,352","28,884","18,954","8,624","1,513","284","438,973","438,973","29,240","37,525","67,046","60,373","70,233","69,590","54,718","33,707","14,121","2,040","380","211,780","211,780","14,930","19,068","32,351","30,034","34,585","34,313","25,707","14,730","5,442","524","96","227,193","227,193","14,310","18,457","34,695","30,339","35,648","35,277","29,011","18,977","8,679","1,516","284","438,051","438,051","29,035","37,306","66,978","60,104","70,104","69,508","54,785","33,628","14,167","2,057","379","211,289","211,289","14,826","18,978","32,275","29,908","34,550","34,277","25,700","14,693","5,459","528","95","226,762","226,762","14,209","18,328","34,703","30,196","35,554","35,231","29,085","18,935","8,708","1,529","284","437,153","437,153","28,822","37,145","66,972","59,843","69,839","69,381","54,897","33,568","14,229","2,073","384","210,810","210,810","14,723","18,918","32,219","29,773","34,424","34,207","25,747","14,662","5,510","531","96","226,343","226,343","14,099","18,227","34,753","30,070","35,415","35,174","29,150","18,906","8,719","1,542","288"
"서울특별시 강북구 (1130500000)","311,198","311,198","16,552","22,661","43,225","39,594","47,905","53,133","45,202","30,018","11,190","1,474","244","151,707","151,707","8,559","11,667","21,198","20,818","24,509","25,949","21,024","13,071","4,441","410","61","159,491","159,491","7,993","10,994","22,027","18,776","23,396","27,184","24,178","16,947","6,749","1,064","183","310,555","310,555","16,395","22,538","43,103","39,437","47,640","53,052","45,342","30,061","11,244","1,496","247","151,376","151,376","8,480","11,617","21,119","20,735","24,372","25,922","21,125","13,068","4,462","415","61","159,179","159,179","7,915","10,921","21,984","18,702","23,268","27,130","24,217","16,993","6,782","1,081","186","309,996","309,996","16,272","22,444","43,070","39,248","47,373","52,910","45,556","30,035","11,337","1,506","245","151,117","151,117","8,416","11,564","21,104","20,653","24,235","25,872","21,243","13,038","4,512","419","61","158,879","158,879","7,856","10,880","21,966","18,595","23,138","27,038","24,313","16,997","6,825","1,087","184","309,245","309,245","16,064","22,315","42,936","39,056","47,163","52,804","45,695","30,059","11,408","1,501","244","150,744","150,744","8,318","11,481","21,040","20,550","24,146","25,837","21,323","13,020","4,550","418","61","158,501","158,501","7,746","10,834","21,896","18,506","23,017","26,967","24,372","17,039","6,858","1,083","183","308,569","308,569","15,862","22,203","42,855","38,851","46,964","52,711","45,810","30,097","11,462","1,507","247","150,423","150,423","8,234","11,413","21,013","20,438","24,039","25,825","21,383","13,024","4,572","421","61","158,146","158,146","7,628","10,790","21,842","18,413","22,925","26,886","24,427","17,073","6,890","1,086","186","308,055","308,055","15,714","22,027","42,944","38,757","46,718","52,642","45,892","30,087","11,516","1,509","249","150,143","150,143","8,162","11,319","21,044","20,357","23,936","25,793","21,431","13,005","4,611","423","62","157,912","157,912","7,552","10,708","21,900","18,400","22,782","26,849","24,461","17,082","6,905","1,086","187"
