,행정구역,2020년01월_계_총인구수,2020년02월_계_총인구수,2020년03월_계_총인구수,2020년04월_계_총인구수,2020년05월_계_총인구수,2020년06월_계_총인구수,2020년07월_계_총인구수,2020년08월_계_총인구수,2020년09월_계_총인구수,2020년10월_계_총인구수,2020년11월_계_총인구수,2020년12월_계_총인구수,2021년01월_계_총인구수,2021년02월_계_총인구수,2021년03월_계_총인구수,2021년04월_계_총인구수,2021년05월_계_총인구수,2021년06월_계_총인구수,2021년07월_계_총인구수,2021년08월_계_총인구수,2021년09월_계_총인구수,2021년10월_계_총인구수,2021년11월_계_총인구수,2021년12월_계_총인구수,2022년01월_계_총인구수,2022년02월_계_총인구수,2022년03월_계_총인구수,2022년04월_계_총인구수,2022년05월_계_총인구수,2022년06월_계_총인구수,2022년07월_계_총인구수,2022년08월_계_총인구수,2022년09월_계_총인구수,2022년10월_계_총인구수,2022년11월_계_총인구수,2022년12월_계_총인구수,2023년07월_계_총인구수,2023년08월_계_총인구수,2023년09월_계_총인구수,2023년10월_계_총인구수,2023년11월_계_총인구수,2023년12월_계_총인구수,2024년01월_계_총인구수,2024년02월_계_총인구수,2024년03월_계_총인구수,2024년04월_계_총인구수
50,대구광역시 달서구 (2729000000),"568,663","567,716","567,978","567,375","566,213","565,378","564,639","563,730","562,972","561,568","560,354","558,631","557,404","555,948","554,177","552,975","552,192","551,490","550,640","549,494","548,694","547,340","545,983","544,926","544,366","543,469","542,328","540,693","539,528","539,024","538,838","538,727","537,705","537,179","536,927","536,989","533,248","532,496","531,782","530,737","529,085","527,781","526,576","525,741","525,600","525,496"
51,대구광역시 달성군 (2771000000),"256,792","256,573","256,772","256,925","257,043","257,154","257,609","258,234","258,354","258,642","258,945","259,339","259,700","260,008","259,833","260,189","260,403","260,546","260,960","261,659","262,465","262,811","262,906","262,451","262,387","261,931","262,372","262,686","262,890","263,297","263,218","263,175","262,999","263,206","263,307","263,162","263,023","263,055","262,850","262,525","262,243","262,084","261,808","261,317","260,800","260,152"
52,인천광역시  (2800000000),"2,956,119","2,954,955","2,952,689","2,950,972","2,950,063","2,947,217","2,945,565","2,943,491","2,942,553","2,942,233","2,942,307","2,942,828","2,942,452","2,941,705","2,936,461","2,936,214","2,936,382","2,936,367","2,937,440","2,938,429","2,941,795","2,945,009","2,946,319","2,948,375","2,949,150","2,950,978","2,952,699","2,953,260","2,955,167","2,957,066","2,960,580","2,963,117","2,960,097","2,962,388","2,964,820","2,967,314","2,981,553","2,985,152","2,987,918","2,990,276","2,993,492","2,997,410","3,000,454","3,003,150","3,006,045","3,008,484"
53,인천광역시 중구 (2811000000),"136,013","136,879","137,587","137,994","138,535","138,783","139,042","139,154","139,299","139,391","139,646","139,729","139,762","139,776","139,325","139,548","139,930","140,175","140,641","141,341","142,053","142,618","143,052","143,633","144,088","144,935","145,672","146,380","147,093","147,705","148,626","149,164","150,353","151,310","152,265","152,931","156,906","157,127","157,595","158,181","158,588","158,958","159,481","161,569","162,369","162,789"
54,인천광역시 동구 (2814000000),"64,337","64,216","64,039","63,866","63,795","63,546","63,309","63,093","62,957","62,802","62,747","62,542","62,485","62,381","61,755","61,680","61,530","61,436","62,258","62,410","62,244","61,977","61,716","61,486","61,222","60,848","60,382","59,856","59,322","59,017","58,819","58,612","58,423","58,574","58,809","58,999","60,011","59,922","59,940","59,806","59,695","59,482","59,325","59,178","59,073","58,931"
55,인천광역시 미추홀구 (2817700000),"408,394","407,369","406,829","406,690","406,602","406,125","405,498","404,360","403,500","402,662","402,392","404,343","404,843","405,125","404,175","403,999","404,236","404,618","404,560","405,811","406,482","406,789","407,010","407,464","407,353","407,131","406,943","406,835","407,253","407,180","406,892","407,874","407,167","407,190","406,723","406,004","405,054","405,633","405,471","405,499","404,987","405,995","406,937","407,117","407,307","408,275"
56,인천광역시 연수구 (2818500000),"367,321","369,588","370,796","371,396","372,206","372,566","374,353","378,093","380,980","383,529","385,973","387,450","388,409","389,527","390,477","390,807","390,971","390,827","390,638","390,107","389,977","389,926","389,638","389,644","389,263","388,461","388,732","388,284","387,789","387,303","386,740","386,257","385,910","385,884","385,955","385,796","389,315","389,310","389,722","390,896","391,934","392,416","392,681","392,959","393,825","394,421"
57,인천광역시 남동구 (2820000000),"532,569","532,257","531,960","531,526","531,031","530,416","529,413","528,255","527,515","527,080","526,337","525,354","524,800","524,004","522,713","522,330","521,719","521,340","520,683","519,667","518,988","518,662","518,372","518,272","517,894","516,859","516,176","515,474","513,965","512,645","511,709","509,710","508,213","507,567","506,911","506,181","498,379","497,181","496,318","495,110","493,559","492,415","491,660","490,973","490,390","489,479"
58,인천광역시 부평구 (2823700000),"510,362","508,587","506,682","505,236","503,946","502,365","501,128","499,290","497,902","496,958","495,882","494,962","494,487","493,610","491,370","490,968","490,970","490,609","490,138","489,178","488,683","488,092","487,201","486,765","486,445","485,656","484,844","484,125","486,216","488,095","489,374","490,558","489,286","489,329","489,137","489,118","489,017","488,696","488,383","487,885","490,899","494,138","495,627","495,768","495,215","494,750"
59,인천광역시 계양구 (2824500000),"302,832","301,984","301,395","300,885","300,446","299,853","299,210","298,184","297,540","297,282","297,148","296,750","296,200","296,534","296,771","296,947","296,705","296,442","296,173","295,492","294,668","294,852","295,462","295,696","295,450","294,795","294,201","293,734","293,506","292,985","292,437","291,779","290,559","290,068","289,520","288,856","284,133","283,422","282,826","282,158","281,063","280,266","279,708","279,261","279,902","280,794"
60,인천광역시 서구 (2826000000),"544,608","544,465","544,034","543,994","544,010","544,136","544,147","543,627","543,365","542,982","542,611","542,040","541,823","541,164","540,532","540,532","540,790","541,304","542,635","544,726","549,053","552,338","553,962","555,380","557,342","562,119","565,436","568,102","569,494","571,547","575,323","578,529","579,650","581,974","585,036","589,013","608,904","614,123","618,052","621,152","623,256","624,358","625,675","627,113","628,811","629,925"
61,인천광역시 강화군 (2871000000),"69,197","69,154","68,996","69,030","69,102","69,060","69,032","69,003","69,070","69,069","69,074","69,203","69,245","69,236","69,008","69,089","69,212","69,285","69,326","69,324","69,302","69,351","69,502","69,693","69,748","69,801","69,780","69,881","69,940","70,033","70,064","70,014","69,897","69,809","69,805","69,803","69,326","69,265","69,162","69,137","69,073","69,005","69,013","68,925","68,941","68,918"
62,인천광역시 옹진군 (2872000000),"20,486","20,456","20,371","20,355","20,390","20,367","20,433","20,432","20,425","20,478","20,497","20,455","20,398","20,348","20,335","20,314","20,319","20,331","20,388","20,373","20,345","20,404","20,404","20,342","20,345","20,373","20,533","20,589","20,589","20,556","20,596","20,620","20,639","20,683","20,659","20,613","20,508","20,473","20,449","20,452","20,438","20,377","20,347","20,287","20,212","20,202"
63,광주광역시  (2900000000),"1,456,688","1,456,121","1,455,705","1,456,096","1,455,533","1,455,048","1,454,709","1,454,154","1,453,952","1,452,994","1,451,993","1,450,062","1,449,115","1,447,953","1,445,473","1,444,787","1,443,154","1,442,647","1,442,482","1,441,970","1,442,827","1,442,454","1,442,138","1,441,611","1,441,636","1,440,032","1,438,463","1,436,916","1,436,012","1,435,378","1,434,703","1,434,397","1,432,856","1,432,651","1,432,049","1,431,050","1,424,305","1,423,810","1,422,999","1,421,760","1,420,822","1,419,237","1,418,241","1,417,031","1,415,774","1,414,862"
64,광주광역시 동구 (2911000000),"98,642","98,641","98,628","98,622","99,158","99,273","99,228","99,159","100,993","102,151","102,645","102,897","102,877","102,745","102,467","102,939","103,007","103,146","103,185","103,333","103,544","103,443","103,396","103,470","103,466","103,299","103,081","102,984","102,936","103,233","103,432","105,137","105,688","105,798","105,845","105,909","106,720","106,704","106,675","106,957","107,165","107,176","107,152","107,021","106,855","106,690"
65,광주광역시 서구 (2914000000),"301,339","301,015","300,292","300,093","299,850","299,248","298,898","298,644","298,030","297,527","297,214","296,576","296,036","295,368","294,691","294,128","293,364","293,088","292,724","292,400","292,180","291,705","291,411","291,231","291,235","290,550","289,789","289,341","288,703","288,120","287,748","288,100","288,043","287,720","287,607","287,401","285,972","285,843","285,537","284,870","284,355","283,991","283,582","283,552","282,898","282,274"
66,광주광역시 남구 (2915500000),"218,035","217,993","217,810","217,543","216,758","216,256","215,987","215,701","215,266","215,072","214,752","214,579","214,532","214,579","213,776","213,698","213,717","213,910","214,111","214,051","214,295","215,043","215,527","215,575","215,739","215,454","215,008","214,848","215,251","215,274","215,129","214,411","213,653","213,079","212,701","212,379","210,618","210,423","210,329","210,027","209,979","209,646","209,472","209,448","209,022","208,632"
67,광주광역시 북구 (2917000000),"433,147","432,872","433,006","433,057","432,731","433,444","433,463","433,279","432,525","431,684","431,256","430,431","430,516","430,209","429,600","429,159","428,262","427,858","428,040","427,773","428,082","427,684","427,463","427,114","426,877","427,139","427,178","426,745","426,329","426,053","425,881","424,715","423,743","424,720","425,001","424,707","422,475","422,881","422,776","422,567","422,159","421,683","421,473","421,073","421,968","422,779"
68,광주광역시 광산구 (2920000000),"405,525","405,600","405,969","406,781","407,036","406,827","407,133","407,371","407,138","406,560","406,126","405,579","405,154","405,052","404,939","404,863","404,804","404,645","404,422","404,413","404,726","404,579","404,341","404,221","404,319","403,590","403,407","402,998","402,793","402,698","402,513","402,034","401,729","401,334","400,895","400,654","398,520","397,959","397,682","397,339","397,164","396,741","396,562","395,937","395,031","394,487"
69,대전광역시  (3000000000),"1,474,152","1,473,125","1,471,858","1,471,650","1,471,915","1,471,040","1,470,225","1,469,431","1,469,099","1,467,556","1,465,893","1,463,882","1,463,291","1,462,064","1,458,463","1,457,619","1,457,161","1,456,107","1,455,300","1,454,679","1,455,058","1,454,228","1,453,675","1,452,251","1,451,272","1,450,862","1,450,057","1,449,360","1,448,933","1,448,401","1,448,182","1,448,240","1,446,602","1,446,863","1,446,749","1,446,072","1,444,898","1,444,837","1,444,595","1,443,965","1,443,106","1,442,216","1,441,562","1,441,536","1,441,689","1,441,272"
70,대전광역시 동구 (3011000000),"226,216","225,633","225,302","225,094","224,729","224,300","224,060","223,728","223,368","222,850","222,446","223,021","223,727","224,103","223,469","223,358","223,353","223,245","223,198","223,206","223,409","223,384","223,038","222,222","221,592","221,300","220,860","220,313","220,920","221,043","220,889","220,724","220,511","220,286","220,102","219,751","218,701","218,694","218,687","218,465","218,037","217,628","217,079","217,024","216,872","216,533"
71,대전광역시 중구 (3014000000),"240,215","240,064","239,635","239,361","238,955","238,540","238,149","237,792","237,425","236,825","236,492","235,550","235,164","234,654","233,601","233,213","233,067","232,841","232,627","232,309","232,077","231,852","231,306","230,341","229,555","229,283","229,497","229,531","229,089","229,570","229,712","229,092","228,198","227,934","227,500","227,108","224,684","224,439","224,439","224,143","223,506","223,256","222,919","222,690","223,076","223,581"
72,대전광역시 서구 (3017000000),"481,174","481,349","481,135","481,304","481,449","481,436","481,209","481,124","480,780","479,806","478,872","477,880","477,326","476,945","475,685","475,622","475,406","474,934","474,653","474,504","474,444","474,046","473,952","473,365","473,019","472,935","472,417","471,907","471,247","470,332","469,987","471,029","470,852","471,112","471,033","470,374","467,653","467,364","466,927","465,978","465,183","464,634","464,741","464,764","464,115","463,328"
73,대전광역시 유성구 (3020000000),"349,824","349,915","350,055","350,439","351,532","351,882","352,316","352,550","352,604","352,231","351,790","351,047","350,875","350,374","350,136","350,017","350,046","349,927","349,836","349,809","350,337","350,284","351,049","351,277","351,622","351,887","351,989","352,557","352,826","352,844","353,151","353,263","353,449","354,066","354,845","356,093","363,057","363,731","364,062","365,082","366,294","366,845","367,240","367,500","367,727","367,634"
74,대전광역시 대덕구 (3023000000),"176,723","176,164","175,731","175,452","175,250","174,882","174,491","174,237","174,922","175,844","176,293","176,384","176,199","175,988","175,572","175,409","175,289","175,160","174,986","174,851","174,791","174,662","174,330","175,046","175,484","175,457","175,294","175,052","174,851","174,612","174,443","174,132","173,592","173,465","173,269","172,746","170,803","170,609","170,480","170,297","170,086","169,853","169,583","169,558","169,899","170,196"
75,울산광역시  (3100000000),"1,147,037","1,145,710","1,144,563","1,144,098","1,143,148","1,142,190","1,141,362","1,140,310","1,139,368","1,138,581","1,137,345","1,136,017","1,135,370","1,132,953","1,129,254","1,128,163","1,127,175","1,126,369","1,125,727","1,124,459","1,123,236","1,122,566","1,122,495","1,121,592","1,121,100","1,119,446","1,118,010","1,117,204","1,116,482","1,115,609","1,114,753","1,113,458","1,112,191","1,111,707","1,111,371","1,110,663","1,105,326","1,104,448","1,104,167","1,104,031","1,103,752","1,103,661","1,103,402","1,102,161","1,101,336","1,101,059"
76,울산광역시 중구 (3111000000),"223,060","222,395","221,702","221,125","220,604","220,028","219,635","219,249","218,862","218,571","218,096","217,595","217,191","216,523","215,276","214,901","214,775","214,779","214,584","214,280","213,833","213,579","213,441","212,883","212,502","211,948","211,523","211,249","210,786","210,354","210,115","209,642","209,120","208,846","208,508","208,132","205,838","205,464","205,345","207,179","208,347","208,668","208,568","208,249","208,044","208,000"
77,울산광역시 남구 (3114000000),"323,704","323,756","323,320","323,230","323,192","322,883","322,486","321,955","321,494","321,134","320,716","320,064","319,780","319,189","318,059","317,672","317,184","316,716","316,241","315,599","315,118","314,706","314,331","313,819","313,427","312,885","312,328","312,148","312,230","312,159","311,849","311,396","310,955","310,784","310,737","310,638","309,220","309,139","309,184","308,438","307,790","307,232","306,762","306,068","305,615","305,346"
78,울산광역시 동구 (3117000000),"159,294","158,809","158,477","158,323","158,154","157,973","157,757","157,589","157,396","157,319","157,111","156,806","156,596","156,209","155,753","155,511","155,284","155,129","154,922","154,705","154,566","154,501","154,383","154,096","153,975","153,592","153,330","153,164","152,971","152,691","152,560","152,322","152,008","151,986","151,945","151,711","152,048","152,315","152,523","152,419","152,356","152,287","152,104","151,796","151,648","151,663"
79,울산광역시 북구 (3120000000),"218,053","218,190","218,353","218,364","218,396","218,673","218,777","218,765","218,903","218,949","218,882","219,014","219,175","218,774","218,481","218,410","218,303","218,131","218,065","217,920","217,736","217,750","218,258","218,735","219,121","219,067","219,052","218,947","218,738","218,742","218,637","218,489","218,447","218,539","218,635","218,670","217,879","217,533","217,322","216,567","216,025","216,477","217,045","217,047","216,917","216,895"
80,울산광역시 울주군 (3171000000),"222,926","222,560","222,711","223,056","222,802","222,633","222,707","222,752","222,713","222,608","222,540","222,538","222,628","222,258","221,685","221,669","221,629","221,614","221,915","221,955","221,983","222,030","222,082","222,059","222,075","221,954","221,777","221,696","221,757","221,663","221,592","221,609","221,661","221,552","221,546","221,512","220,341","219,997","219,793","219,428","219,234","218,997","218,923","219,001","219,112","219,155"
81,세종특별자치시  (3600000000),"342,328","343,788","344,792","345,216","345,373","345,341","346,217","347,232","348,014","351,007","353,430","355,831","357,871","359,569","360,462","361,396","362,036","362,995","364,364","365,309","366,560","368,276","369,465","371,895","374,377","376,399","377,296","378,196","379,340","380,215","380,889","381,439","381,925","382,258","382,770","383,591","386,192","385,953","385,932","386,079","386,256","386,525","386,944","387,193","387,411","387,726"
82,세종특별자치시  (3611000000),"342,328","343,788","344,792","345,216","345,373","345,341","346,217","347,232","348,014","351,007","353,430","355,831","357,871","359,569","360,462","361,396","362,036","362,995","364,364","365,309","366,560","368,276","369,465","371,895","374,377","376,399","377,296","378,196","379,340","380,215","380,889","381,439","381,925","382,258","382,770","383,591","386,192","385,953","385,932","386,079","386,256","386,525","386,944","387,193","387,411","387,726"
83,경기도  (4100000000),"13,250,368","13,265,377","13,288,975","13,311,254","13,324,041","13,338,020","13,351,891","13,370,714","13,388,485","13,400,615","13,413,459","13,427,014","13,449,499","13,471,758","13,465,837","13,479,798","13,488,910","13,500,688","13,512,867","13,530,519","13,542,284","13,549,577","13,557,973","13,565,450","13,571,450","13,574,369","13,575,936","13,577,808","13,581,496","13,585,967","13,589,362","13,590,056","13,574,353","13,579,508","13,583,238","13,589,432","13,623,055","13,624,964","13,626,339","13,627,840","13,628,135","13,630,821","13,635,250","13,639,616","13,642,451","13,648,156"
84,경기도 수원시 (4111000000),"1,193,894","1,193,480","1,192,762","1,192,622","1,192,018","1,191,542","1,191,244","1,190,074","1,188,926","1,187,638","1,187,153","1,186,078","1,185,741","1,186,273","1,185,984","1,185,532","1,184,922","1,184,210","1,183,615","1,183,419","1,184,754","1,185,276","1,184,683","1,183,714","1,184,404","1,184,996","1,185,569","1,185,560","1,185,041","1,185,044","1,185,184","1,186,961","1,188,234","1,189,654","1,190,368","1,190,964","1,192,960","1,195,111","1,195,718","1,196,864","1,197,241","1,197,257","1,197,220","1,196,856","1,196,818","1,196,987"
85,경기도 수원시 장안구 (4111100000),"277,846","277,386","276,842","276,611","276,317","275,875","275,479","274,984","274,911","274,480","274,148","273,661","273,324","272,823","271,918","271,170","270,807","270,373","270,044","269,906","272,625","273,854","274,107","273,835","273,399","273,339","273,541","273,238","272,963","273,223","273,174","272,638","271,779","271,305","271,012","270,524","269,128","268,547","268,202","269,440","270,294","270,849","270,959","271,316","271,526","273,317"
86,경기도 수원시 권선구 (4111300000),"371,509","371,218","370,922","370,955","370,687","370,648","370,548","370,337","369,755","369,314","369,150","368,645","368,686","368,157","366,553","365,778","365,384","365,208","365,157","365,103","364,671","364,416","364,164","364,136","367,044","368,667","369,288","369,525","369,217","369,188","369,016","368,047","366,832","366,453","367,004","367,446","368,915","368,270","367,359","366,740","366,467","366,167","366,306","365,904","365,844","365,287"
87,경기도 수원시 팔달구 (4111500000),"175,698","175,677","175,533","175,446","175,396","175,468","175,247","175,063","174,879","174,683","174,709","174,930","175,098","177,307","180,743","182,377","182,844","183,123","183,198","183,288","182,925","182,600","182,390","182,321","181,990","181,806","181,595","181,395","181,280","181,123","181,416","185,563","189,267","191,423","192,225","192,610","192,414","195,442","197,197","197,705","197,473","197,213","196,921","196,573","196,326","195,864"
88,경기도 수원시 영통구 (4111700000),"368,841","369,199","369,465","369,610","369,618","369,551","369,970","369,690","369,381","369,161","369,146","368,842","368,633","367,986","366,770","366,207","365,887","365,506","365,216","365,122","364,533","364,406","364,022","363,422","361,971","361,184","361,145","361,402","361,581","361,510","361,578","360,713","360,356","360,473","360,127","360,384","362,503","362,852","362,960","362,979","363,007","363,028","363,034","363,063","363,122","362,519"
89,경기도 성남시 (4113000000),"942,649","942,183","941,688","941,527","940,519","939,748","938,982","940,668","941,783","941,480","940,746","940,064","939,774","938,819","934,308","932,867","931,626","931,654","931,756","931,931","931,760","931,319","931,063","930,948","931,072","930,731","929,463","928,267","927,340","926,645","925,981","924,333","920,903","920,667","920,362","922,518","919,771","918,077","917,374","917,243","918,771","919,747","919,856","919,855","919,464","918,706"
90,경기도 성남시 수정구 (4113100000),"234,614","234,417","234,421","234,653","234,702","234,729","234,993","239,043","241,803","242,451","242,157","241,701","241,568","241,217","238,984","238,336","237,729","236,873","236,351","235,720","235,530","235,980","236,076","235,988","235,887","235,616","235,377","235,103","234,748","234,728","234,524","234,303","233,447","232,663","232,125","230,460","230,699","230,552","230,406","230,442","233,509","235,942","236,825","237,291","237,514","237,536"
91,경기도 성남시 중원구 (4113300000),"219,921","219,619","219,408","219,155","218,785","218,485","218,146","216,969","216,379","216,013","215,975","216,131","216,142","216,128","215,336","215,314","215,212","214,767","214,189","213,784","213,280","212,478","211,658","210,777","210,344","209,991","209,406","208,846","208,356","207,896","207,526","206,386","204,894","205,893","206,211","210,505","213,471","213,015","212,792","212,648","211,505","210,848","210,369","210,179","209,947","209,574"
92,경기도 성남시 분당구 (4113500000),"488,114","488,147","487,859","487,719","487,032","486,534","485,843","484,656","483,601","483,016","482,614","482,232","482,064","481,474","479,988","479,217","478,685","480,014","481,216","482,427","482,950","482,861","483,329","484,183","484,841","485,124","484,680","484,318","484,236","484,021","483,931","483,644","482,562","482,111","482,026","481,553","475,601","474,510","474,176","474,153","473,757","472,957","472,662","472,385","472,003","471,596"
93,경기도 의정부시 (4115000000),"451,876","452,865","453,679","454,222","454,859","455,520","455,671","456,660","458,273","459,418","460,390","461,710","462,499","462,619","461,143","461,077","460,923","461,523","462,588","463,373","463,562","463,665","463,706","463,661","463,877","463,977","464,262","464,358","464,397","464,171","463,934","464,310","463,160","463,324","463,789","463,724","464,775","464,778","464,909","465,019","464,644","464,213","463,724","463,077","462,466","462,010"
94,경기도 안양시 (4117000000),"565,352","563,066","561,966","561,069","559,792","558,017","556,561","554,857","553,286","552,154","551,296","550,027","549,730","550,939","551,136","551,189","550,750","549,903","548,960","548,491","548,074","547,258","546,753","547,178","548,654","549,827","549,826","549,724","549,917","549,659","549,457","548,938","547,968","548,372","548,398","548,228","545,478","545,092","544,514","544,083","543,597","544,660","546,078","546,534","546,384","546,182"
95,경기도 안양시 만안구 (4117100000),"243,176","242,107","241,916","241,999","242,105","241,830","241,478","240,946","240,604","240,364","239,947","239,413","239,070","238,131","237,879","238,231","238,331","238,391","238,639","239,071","239,356","239,203","238,809","238,311","237,288","236,611","236,237","235,843","235,229","234,712","234,363","234,083","233,963","234,331","234,296","234,394","232,874","232,609","232,258","231,803","231,267","230,664","230,139","229,819","229,483","229,237"
96,경기도 안양시 동안구 (4117300000),"322,176","320,959","320,050","319,070","317,687","316,187","315,083","313,911","312,682","311,790","311,349","310,614","310,660","312,808","313,257","312,958","312,419","311,512","310,321","309,420","308,718","308,055","307,944","308,867","311,366","313,216","313,589","313,881","314,688","314,947","315,094","314,855","314,005","314,041","314,102","313,834","312,604","312,483","312,256","312,280","312,330","313,996","315,939","316,715","316,901","316,945"
97,경기도 부천시 (4119000000),"828,947","827,374","827,132","826,845","826,093","825,700","824,675","822,865","822,000","821,068","819,990","818,383","817,449","816,087","813,178","812,158","811,225","810,742","810,069","809,559","809,083","808,047","807,090","806,067","804,990","803,585","802,473","801,503","800,174","798,999","797,855","796,575","793,519","792,561","791,263","790,128","786,469","785,432","784,273","782,854","781,119","779,968","778,874","777,547","776,349","775,488"
98,경기도 광명시 (4121000000),"315,920","316,125","316,220","315,745","314,413","312,774","311,119","308,678","305,836","302,761","300,092","298,599","297,748","296,785","295,750","295,690","295,742","295,852","295,560","295,335","294,895","294,458","293,763","292,893","292,214","291,331","290,698","290,756","290,726","290,501","290,351","289,887","288,933","288,366","288,182","287,945","280,986","280,414","280,129","280,270","280,287","280,197","279,943","279,514","279,231","278,983"
99,경기도 평택시 (4122000000),"514,876","517,087","519,124","520,649","522,111","523,881","525,378","527,166","529,140","531,655","534,343","537,307","540,929","544,085","544,368","546,154","548,131","549,901","551,603","554,511","557,450","559,363","561,770","564,288","565,827","567,411","568,405","569,369","570,868","572,548","573,987","575,007","575,032","576,192","577,335","578,529","587,093","587,611","588,380","589,407","590,185","591,022","591,878","592,120","592,800","593,276"
100,경기도 동두천시 (4125000000),"94,719","94,452","94,231","94,191","94,097","94,143","93,985","93,968","93,901","93,915","94,199","94,353","94,443","94,318","93,351","93,289","93,292","93,354","93,447","93,414","93,479","93,508","93,528","93,592","93,527","93,395","93,346","93,260","93,189","92,999","92,840","92,744","92,084","91,980","91,735","91,546","89,316","89,174","89,037","88,820","88,787","88,626","88,539","88,255","87,875","87,725"
101,경기도 안산시 (4127000000),"650,559","651,211","652,763","653,575","654,047","654,450","654,093","653,733","653,505","653,383","654,210","654,915","655,733","655,700","655,859","655,816","655,555","655,115","654,678","654,477","654,270","654,117","653,687","652,726","652,036","651,419","651,153","650,708","649,776","648,849","648,164","647,266","645,952","644,583","643,044","641,660","635,134","634,284","633,417","632,291","630,651","629,308","628,374","627,497","626,954","626,166"
102,경기도 안산시 상록구 (4127100000),"344,245","344,685","347,334","348,512","349,230","349,514","349,189","348,898","348,635","348,265","350,342","351,888","352,897","352,962","353,508","353,702","353,575","353,174","352,898","352,166","351,800","351,747","351,387","350,668","349,973","349,515","349,670","349,566","349,083","348,620","348,345","347,832","347,348","346,589","345,535","344,664","339,020","338,379","337,708","337,035","335,924","334,867","333,879","332,718","332,095","331,470"
103,경기도 안산시 단원구 (4127300000),"306,314","306,526","305,429","305,063","304,817","304,936","304,904","304,835","304,870","305,118","303,868","303,027","302,836","302,738","302,351","302,114","301,980","301,941","301,780","302,311","302,470","302,370","302,300","302,058","302,063","301,904","301,483","301,142","300,693","300,229","299,819","299,434","298,604","297,994","297,509","296,996","296,114","295,905","295,709","295,256","294,727","294,441","294,495","294,779","294,859","294,696"
104,경기도 고양시 (4128000000),"1,068,641","1,071,002","1,072,909","1,074,853","1,076,179","1,076,996","1,077,347","1,076,406","1,075,841","1,076,564","1,078,047","1,079,216","1,081,175","1,082,420","1,080,845","1,080,736","1,080,656","1,080,507","1,081,045","1,080,896","1,080,787","1,080,240","1,079,722","1,079,353","1,078,924","1,078,772","1,079,065","1,079,277","1,078,975","1,078,559","1,078,189","1,077,198","1,074,705","1,074,784","1,075,202","1,076,535","1,077,156","1,076,655","1,076,376","1,075,898","1,075,089","1,074,907","1,073,751","1,072,474","1,071,339","1,071,272"
105,경기도 고양시 덕양구 (4128100000),"467,673","469,671","471,039","472,467","473,322","473,812","474,118","473,689","473,594","474,658","476,341","476,962","478,147","479,395","479,323","479,828","480,156","480,386","481,053","481,641","481,890","481,840","482,459","482,927","483,251","483,743","484,122","484,656","484,928","485,137","485,368","485,763","485,231","486,427","487,874","490,088","496,502","496,607","496,791","496,900","496,631","496,438","495,660","494,844","494,226","493,517"
106,경기도 고양시 일산동구 (4128500000),"298,093","298,445","298,863","299,276","299,302","299,323","299,328","299,138","298,901","298,726","298,725","299,716","300,665","300,850","300,350","300,407","300,437","300,326","300,232","299,985","299,928","299,757","299,297","298,873","298,593","298,563","299,256","299,399","299,123","299,065","298,974","298,492","297,614","297,055","296,590","296,122","292,607","292,300","292,021","291,771","291,587","291,597","291,491","291,427","291,363","292,754"
107,경기도 고양시 일산서구 (4128700000),"302,875","302,886","303,007","303,110","303,555","303,861","303,901","303,579","303,346","303,180","302,981","302,538","302,363","302,175","301,172","300,501","300,063","299,795","299,760","299,270","298,969","298,643","297,966","297,553","297,080","296,466","295,687","295,222","294,924","294,357","293,847","292,943","291,860","291,302","290,738","290,325","288,047","287,748","287,564","287,227","286,871","286,872","286,600","286,203","285,750","285,001"
108,경기도 과천시 (4129000000),"58,334","58,253","58,280","59,687","60,790","61,309","61,717","61,902","61,982","62,011","62,026","63,231","64,549","67,279","68,399","68,955","69,027","69,276","69,509","69,640","69,732","69,910","71,234","73,345","76,139","77,632","78,128","78,301","78,414","78,532","78,645","78,657","78,231","77,818","77,775","78,137","80,855","81,306","81,332","81,143","81,008","81,000","81,071","81,743","82,860","83,358"
109,경기도 구리시 (4131000000),"199,015","198,921","199,099","199,018","198,883","198,461","198,212","197,889","197,974","197,781","197,608","197,454","197,217","196,685","195,804","195,324","194,838","194,389","193,954","193,662","193,410","193,014","192,461","191,948","191,660","191,322","191,213","191,011","190,647","190,379","190,323","189,960","189,231","189,008","188,876","188,701","188,224","187,984","187,836","187,620","187,284","187,093","186,846","186,585","186,261","186,148"
110,경기도 남양주시 (4136000000),"702,545","704,172","705,264","706,069","706,444","707,485","709,247","709,881","710,433","711,815","712,900","713,321","714,822","718,434","720,282","721,767","723,215","724,183","725,031","727,221","728,664","729,918","731,497","733,798","734,013","733,995","734,033","734,642","735,547","736,212","736,864","737,059","737,059","737,352","737,366","737,353","733,625","733,002","732,376","732,122","732,086","732,265","732,472","732,464","732,810","733,209"
111,경기도 오산시 (4137000000),"226,736","226,900","227,112","227,550","227,749","228,111","228,323","228,768","229,249","229,424","229,591","229,725","230,042","230,522","230,604","230,769","230,702","230,705","230,657","230,555","230,395","230,403","230,165","229,983","229,973","229,909","229,918","230,028","230,011","230,165","230,181","230,142","229,797","229,821","229,833","229,849","229,255","229,569","229,780","229,730","229,792","229,656","230,108","231,937","232,965","234,591"
