,행정구역,2020년01월_계_총인구수,2020년02월_계_총인구수,2020년03월_계_총인구수,2020년04월_계_총인구수,2020년05월_계_총인구수,2020년06월_계_총인구수,2020년07월_계_총인구수,2020년08월_계_총인구수,2020년09월_계_총인구수,2020년10월_계_총인구수,2020년11월_계_총인구수,2020년12월_계_총인구수,2021년01월_계_총인구수,2021년02월_계_총인구수,2021년03월_계_총인구수,2021년04월_계_총인구수,2021년05월_계_총인구수,2021년06월_계_총인구수,2021년07월_계_총인구수,2021년08월_계_총인구수,2021년09월_계_총인구수,2021년10월_계_총인구수,2021년11월_계_총인구수,2021년12월_계_총인구수,2022년01월_계_총인구수,2022년02월_계_총인구수,2022년03월_계_총인구수,2022년04월_계_총인구수,2022년05월_계_총인구수,2022년06월_계_총인구수,2022년07월_계_총인구수,2022년08월_계_총인구수,2022년09월_계_총인구수,2022년10월_계_총인구수,2022년11월_계_총인구수,2022년12월_계_총인구수,2023년07월_계_총인구수,2023년08월_계_총인구수,2023년09월_계_총인구수,2023년10월_계_총인구수,2023년11월_계_총인구수,2023년12월_계_총인구수,2024년01월_계_총인구수,2024년02월_계_총인구수,2024년03월_계_총인구수,2024년04월_계_총인구수
12,서울특별시 은평구 (1138000000),"479,457","479,005","478,019","477,973","478,029","479,524","481,184","481,729","481,546","481,165","480,617","479,835","479,223","478,336","475,501","474,843","475,143","475,371","475,008","474,414","474,062","473,369","473,468","473,307","473,122","472,640","472,259","473,131","473,669","473,674","473,529","472,954","470,289","468,988","467,851","466,746","463,702","465,977","467,098","467,124","466,968","466,770","466,474","466,061","466,007","465,660"
13,서울특별시 서대문구 (1141000000),"310,353","311,327","312,642","312,809","312,869","312,720","312,264","312,632","313,212","312,781","312,325","312,173","311,720","311,132","308,482","307,825","307,406","307,070","306,839","306,472","306,249","305,840","305,443","304,819","305,113","305,793","305,866","305,721","305,615","305,623","305,716","306,253","305,149","305,113","305,541","306,337","307,870","307,672","307,441","306,927","306,594","306,231","305,857","305,909","305,986","306,001"
14,서울특별시 마포구 (1144000000),"373,951","374,315","374,570","374,426","374,837","374,390","374,036","373,620","373,508","372,905","372,320","371,890","371,492","371,200","368,518","369,577","369,970","370,132","370,185","370,053","369,903","369,695","369,238","368,905","368,617","368,560","368,331","367,613","367,474","367,584","367,473","367,190","365,266","364,698","364,374","364,638","364,978","364,573","364,257","363,953","363,862","363,697","363,679","363,615","363,645","363,449"
15,서울특별시 양천구 (1147000000),"457,887","457,332","456,339","457,132","458,181","457,953","457,543","456,980","456,240","455,649","455,058","454,251","453,382","454,270","452,677","452,112","451,541","450,992","450,431","449,603","449,010","448,634","448,061","447,302","446,895","446,478","446,182","445,662","444,925","444,548","444,213","443,847","442,145","441,749","441,550","440,881","438,125","437,665","437,401","437,199","436,475","436,028","435,548","435,278","434,528","433,975"
16,서울특별시 강서구 (1150000000),"591,599","590,419","589,302","588,281","587,553","586,936","586,279","584,920","583,544","582,586","581,909","580,185","579,176","579,082","577,320","577,580","577,484","577,519","577,058","576,361","575,875","575,370","574,789","574,315","574,001","573,531","573,046","572,648","572,959","573,045","572,814","572,230","570,368","570,011","569,456","569,166","566,333","565,195","564,339","563,663","563,575","563,058","562,550","562,067","561,386","560,679"
17,서울특별시 구로구 (1153000000),"406,751","406,245","405,837","405,271","405,030","405,075","405,260","405,495","405,579","405,481","405,194","404,408","403,518","402,642","401,074","400,399","399,950","399,266","398,744","397,887","397,506","397,330","397,058","396,754","396,515","396,221","396,017","395,555","395,146","394,850","394,745","394,246","393,181","394,212","394,811","395,315","394,746","394,363","393,929","393,459","392,967","392,405","392,311","391,671","391,387","390,952"
18,서울특별시 금천구 (1154500000),"233,066","232,827","232,583","232,396","232,425","232,250","231,939","232,013","232,157","232,173","232,003","231,733","231,634","231,290","229,844","229,639","229,823","230,168","230,665","230,759","230,644","230,740","230,839","230,811","230,881","230,856","231,098","231,150","231,427","231,565","231,522","231,356","230,504","230,156","229,890","229,642","229,086","228,858","228,611","228,274","227,701","227,481","227,457","227,268","227,160","226,955"
19,서울특별시 영등포구 (1156000000),"367,916","370,108","371,903","372,225","372,568","373,349","374,097","375,133","375,630","376,924","378,276","379,480","380,169","380,443","377,590","377,696","377,577","377,421","377,408","377,655","377,536","377,524","377,048","376,837","376,949","376,884","376,740","376,465","376,290","376,437","376,661","377,295","376,216","375,849","375,785","375,675","375,997","375,526","375,586","375,276","374,920","374,794","374,985","374,968","375,148","375,090"
20,서울특별시 동작구 (1159000000),"395,636","395,201","395,014","394,988","395,180","395,165","394,905","394,118","393,554","392,674","391,896","391,220","390,433","389,754","388,730","388,672","388,396","387,847","387,810","387,558","387,117","386,246","386,051","385,483","385,478","385,490","386,017","385,982","385,755","385,898","385,746","385,379","383,637","382,747","381,704","380,596","380,562","380,478","380,154","379,640","379,186","378,769","378,360","378,283","378,649","378,871"
21,서울특별시 관악구 (1162000000),"499,869","499,587","499,374","498,978","499,431","499,740","499,729","499,316","498,574","497,082","496,059","495,060","494,175","493,374","490,352","489,464","489,160","488,800","488,525","488,304","488,029","487,357","486,427","485,699","485,610","486,209","486,375","486,361","486,686","486,946","487,172","487,629","486,787","487,201","487,038","486,752","486,633","485,994","485,172","483,959","482,692","481,956","481,872","481,834","481,958","481,722"
22,서울특별시 서초구 (1165000000),"431,050","431,336","430,568","429,729","429,340","428,919","428,252","427,237","426,009","425,558","425,431","425,126","424,707","423,829","421,315","420,318","419,121","418,407","418,294","417,568","416,285","415,083","413,363","412,279","411,539","410,682","409,823","408,918","408,133","407,672","407,346","406,565","405,076","404,902","404,704","404,325","404,731","404,616","406,404","407,788","408,098","407,664","407,768","407,996","407,840","407,596"
23,서울특별시 강남구 (1168000000),"545,938","546,436","544,804","543,240","541,915","541,233","540,636","540,148","539,235","540,127","539,838","539,231","538,536","537,879","534,796","533,579","532,296","531,375","530,529","532,818","533,359","533,878","533,557","533,042","533,173","533,286","532,577","532,049","531,744","531,777","532,198","532,500","530,103","529,946","529,698","529,102","538,872","540,730","540,957","541,565","541,130","544,873","549,154","553,555","554,280","554,651"
24,서울특별시 송파구 (1171000000),"676,341","675,782","674,095","672,862","672,089","671,512","671,589","671,312","670,331","668,920","668,498","667,960","667,222","665,463","661,411","660,160","659,446","658,670","658,093","658,991","659,385","659,239","658,841","658,338","658,859","661,452","662,607","662,963","662,960","662,961","663,070","662,599","660,211","659,788","659,381","658,801","656,603","656,176","655,744","655,300","654,845","654,166","653,989","653,922","653,736","653,447"
25,서울특별시 강동구 (1174000000),"440,795","446,887","452,646","455,042","456,312","457,164","457,339","457,330","458,058","458,495","458,604","459,970","461,334","464,208","464,900","465,331","465,459","465,209","465,191","464,411","464,163","463,752","463,265","462,664","462,452","461,972","461,300","461,228","461,417","461,630","461,774","462,109","460,617","460,413","460,258","460,067","458,614","458,400","458,385","458,292","458,824","459,167","459,389","460,515","461,367","461,921"
26,부산광역시  (2600000000),"3,411,819","3,410,925","3,409,932","3,408,347","3,406,942","3,404,423","3,402,776","3,401,072","3,399,749","3,397,598","3,395,514","3,391,946","3,389,388","3,387,761","3,372,399","3,369,704","3,367,334","3,364,358","3,361,781","3,359,527","3,358,763","3,356,311","3,353,627","3,350,380","3,348,874","3,347,396","3,343,504","3,340,214","3,338,167","3,336,737","3,334,595","3,331,444","3,323,826","3,322,286","3,320,276","3,317,812","3,305,052","3,302,740","3,300,836","3,298,213","3,295,496","3,293,362","3,290,964","3,289,401","3,287,292","3,284,947"
27,부산광역시 중구 (2611000000),"41,830","41,826","41,764","41,714","41,742","41,652","41,633","41,630","41,593","41,547","41,501","41,523","41,549","41,551","41,370","41,311","41,209","40,561","40,666","40,713","40,708","40,676","40,556","40,524","40,537","40,582","40,596","40,585","40,537","40,455","40,342","40,297","40,117","39,936","39,840","39,689","39,151","39,060","38,956","38,831","38,723","38,619","38,476","38,487","38,463","38,385"
28,부산광역시 서구 (2614000000),"107,973","107,844","107,669","107,722","107,868","107,947","107,934","107,768","107,689","107,996","108,119","108,135","107,978","107,824","106,451","106,545","106,556","106,422","106,314","105,996","105,813","105,557","105,406","105,164","104,863","104,618","104,323","103,961","103,810","104,340","104,755","105,386","105,380","105,358","105,286","105,192","104,299","104,304","104,251","104,268","104,192","104,089","103,889","103,694","103,525","103,289"
29,부산광역시 동구 (2617000000),"88,292","88,439","89,289","89,673","89,710","89,698","89,721","89,665","89,410","89,205","89,031","88,901","88,763","88,639","88,218","88,159","88,080","87,916","87,764","87,585","87,595","87,705","87,770","87,679","87,906","88,245","88,283","88,257","88,222","88,087","87,851","87,701","87,103","86,948","86,670","86,462","87,721","88,027","88,069","88,008","87,910","87,792","87,619","87,460","87,275","87,170"
30,부산광역시 영도구 (2620000000),"116,447","116,155","115,886","115,645","115,388","115,120","114,873","114,511","114,252","113,909","113,621","113,342","113,048","112,809","111,507","111,387","111,574","111,685","111,580","111,386","111,210","111,111","110,901","110,638","110,425","109,991","109,660","109,407","109,460","109,395","109,327","109,131","108,699","108,505","108,294","108,156","107,143","107,103","107,003","106,816","106,701","106,548","106,335","106,233","106,108","105,864"
31,부산광역시 부산진구 (2623000000),"357,284","356,811","356,661","356,978","357,190","357,242","357,695","357,768","357,558","358,317","359,375","359,886","359,978","360,025","357,645","357,193","356,706","356,091","355,589","355,138","354,924","354,428","353,769","353,159","352,462","351,764","351,154","351,022","350,977","350,999","351,436","351,682","351,125","353,568","355,302","355,917","357,296","357,196","358,316","359,329","359,712","359,508","360,053","360,881","361,264","361,320"
32,부산광역시 동래구 (2626000000),"271,562","271,528","272,319","272,570","272,532","272,476","272,554","272,182","271,980","271,633","271,187","270,745","270,695","270,678","269,497","268,996","268,616","268,391","267,994","267,672","267,425","266,912","266,570","266,866","270,338","273,802","274,134","273,976","273,996","274,491","274,769","274,638","274,136","273,790","273,447","273,226","272,376","272,176","271,877","271,670","271,504","270,815","269,784","269,350","269,036","268,872"
33,부산광역시 남구 (2629000000),"273,707","272,927","272,381","271,674","271,183","270,606","270,125","269,626","269,251","268,711","268,249","267,731","267,351","266,989","265,759","265,194","264,679","264,098","263,764","263,333","263,262","263,236","262,856","262,069","261,209","260,624","260,581","260,617","260,261","259,735","259,135","258,660","257,934","257,147","256,647","256,333","255,392","255,095","254,599","254,455","254,469","254,185","254,348","255,107","255,470","255,629"
34,부산광역시 북구 (2632000000),"290,908","290,230","289,575","289,059","288,986","288,376","287,736","286,865","286,327","285,507","284,872","283,952","283,452","282,799","281,851","282,073","283,138","283,612","283,696","283,901","283,937","283,766","283,584","283,211","282,535","281,749","281,198","280,852","280,647","280,511","280,268","280,116","279,964","279,770","279,303","278,857","276,316","275,670","274,961","274,481","274,072","273,596","272,932","272,315","271,932","271,525"
35,부산광역시 해운대구 (2635000000),"406,312","405,708","405,155","405,268","404,459","403,923","403,878","403,118","402,749","402,820","402,518","402,169","401,710","401,280","400,083","399,821","399,222","399,015","398,645","398,117","397,918","397,516","397,071","396,438","395,788","394,792","393,809","393,130","392,110","391,311","390,782","389,841","388,393","387,840","387,297","386,785","383,042","382,448","382,115","381,466","381,031","380,448","379,702","378,753","378,063","377,664"
36,부산광역시 사하구 (2638000000),"320,254","319,542","318,866","318,196","317,747","317,258","316,705","315,748","314,728","313,677","312,840","311,757","311,052","310,740","309,302","308,684","308,036","307,559","306,866","306,885","306,843","306,605","306,421","306,003","305,922","306,098","305,762","305,556","305,393","305,008","304,583","304,029","303,143","302,844","302,450","301,987","300,440","299,844","299,416","298,815","298,339","297,831","296,935","296,253","295,755","295,217"
37,부산광역시 금정구 (2641000000),"238,556","238,208","237,508","236,904","236,596","236,009","235,155","234,640","234,135","233,601","233,303","232,666","231,959","231,743","230,605","230,204","229,704","229,222","229,228","229,240","229,350","229,148","228,936","228,049","226,875","226,029","225,608","225,033","224,746","224,173","223,713","223,430","222,783","222,264","221,647","221,256","218,300","217,839","217,429","216,770","216,290","215,590","214,642","214,168","213,976","213,602"
38,부산광역시 강서구 (2644000000),"130,298","130,748","131,140","131,235","131,557","131,779","131,979","133,354","135,330","136,485","137,229","137,957","138,610","139,088","139,239","139,652","140,215","140,720","141,226","141,688","142,104","142,444","142,768","142,918","143,098","143,227","143,429","143,638","143,914","144,047","144,071","143,925","143,727","143,611","143,360","143,207","142,970","142,890","142,886","142,777","142,704","142,396","142,109","141,783","141,775","142,103"
39,부산광역시 연제구 (2647000000),"209,980","210,509","210,326","210,086","209,873","209,514","209,345","210,146","210,362","210,191","209,688","209,157","208,900","208,743","207,419","206,979","206,547","206,239","205,936","205,700","205,676","205,607","205,742","207,144","207,342","207,178","206,932","206,677","206,506","206,145","205,895","205,515","204,869","204,377","203,871","203,536","203,027","202,918","202,884","203,004","203,008","205,766","209,331","210,999","211,435","211,851"
