"행정구역","2022년07월_계_총인구수","2022년07월_계_연령구간인구수","2022년07월_계_0~9세","2022년07월_계_10~19세","2022년07월_계_20~29세","2022년07월_계_30~39세","2022년07월_계_40~49세","2022년07월_계_50~59세","2022년07월_계_60~69세","2022년07월_계_70~79세","2022년07월_계_80~89세","2022년07월_계_90~99세","2022년07월_계_100세 이상","2022년07월_남_총인구수","2022년07월_남_연령구간인구수","2022년07월_남_0~9세","2022년07월_남_10~19세","2022년07월_남_20~29세","2022년07월_남_30~39세","2022년07월_남_40~49세","2022년07월_남_50~59세","2022년07월_남_60~69세","2022년07월_남_70~79세","2022년07월_남_80~89세","2022년07월_남_90~99세","2022년07월_남_100세 이상","2022년07월_여_총인구수","2022년07월_여_연령구간인구수","2022년07월_여_0~9세","2022년07월_여_10~19세","2022년07월_여_20~29세","2022년07월_여_30~39세","2022년07월_여_40~49세","2022년07월_여_50~59세","2022년07월_여_60~69세","2022년07월_여_70~79세","2022년07월_여_80~89세","2022년07월_여_90~99세","2022년07월_여_100세 이상","2022년08월_계_총인구수","2022년08월_계_연령구간인구수","2022년08월_계_0~9세","2022년08월_계_10~19세","2022년08월_계_20~29세","2022년08월_계_30~39세","2022년08월_계_40~49세","2022년08월_계_50~59세","2022년08월_계_60~69세","2022년08월_계_70~79세","2022년08월_계_80~89세","2022년08월_계_90~99세","2022년08월_계_100세 이상","2022년08월_남_총인구수","2022년08월_남_연령구간인구수","2022년08월_남_0~9세","2022년08월_남_10~19세","2022년08월_남_20~29세","2022년08월_남_30~39세","2022년08월_남_40~49세","2022년08월_남_50~59세","2022년08월_남_60~69세","2022년08월_남_70~79세","2022년08월_남_80~89세","2022년08월_남_90~99세","2022년08월_남_100세 이상","2022년08월_여_총인구수","2022년08월_여_연령구간인구수","2022년08월_여_0~9세","2022년08월_여_10~19세","2022년08월_여_20~29세","2022년08월_여_30~39세","2022년08월_여_40~49세","2022년08월_여_50~59세","2022년08월_여_60~69세","2022년08월_여_70~79세","2022년08월_여_80~89세","2022년08월_여_90~99세","2022년08월_여_100세 이상","2022년09월_계_총인구수","2022년09월_계_연령구간인구수","2022년09월_계_0~9세","2022년09월_계_10~19세","2022년09월_계_20~29세","2022년09월_계_30~39세","2022년09월_계_40~49세","2022년09월_계_50~59세","2022년09월_계_60~69세","2022년09월_계_70~79세","2022년09월_계_80~89세","2022년09월_계_90~99세","2022년09월_계_100세 이상","2022년09월_남_총인구수","2022년09월_남_연령구간인구수","2022년09월_남_0~9세","2022년09월_남_10~19세","2022년09월_남_20~29세","2022년09월_남_30~39세","2022년09월_남_40~49세","2022년09월_남_50~59세","2022년09월_남_60~69세","2022년09월_남_70~79세","2022년09월_남_80~89세","2022년09월_남_90~99세","2022년09월_남_100세 이상","2022년09월_여_총인구수","2022년09월_여_연령구간인구수","2022년09월_여_0~9세","2022년09월_여_10~19세","2022년09월_여_20~29세","2022년09월_여_30~39세","2022년09월_여_40~49세","2022년09월_여_50~59세","2022년09월_여_60~69세","2022년09월_여_70~79세","2022년09월_여_80~89세","2022년09월_여_90~99세","2022년09월_여_100세 이상","2022년10월_계_총인구수","2022년10월_계_연령구간인구수","2022년10월_계_0~9세","2022년10월_계_10~19세","2022년10월_계_20~29세","2022년10월_계_30~39세","2022년10월_계_40~49세","2022년10월_계_50~59세","2022년10월_계_60~69세","2022년10월_계_70~79세","2022년10월_계_80~89세","2022년10월_계_90~99세","2022년10월_계_100세 이상","2022년10월_남_총인구수","2022년10월_남_연령구간인구수","2022년10월_남_0~9세","2022년10월_남_10~19세","2022년10월_남_20~29세","2022년10월_남_30~39세","2022년10월_남_40~49세","2022년10월_남_50~59세","2022년10월_남_60~69세","2022년10월_남_70~79세","2022년10월_남_80~89세","2022년10월_남_90~99세","2022년10월_남_100세 이상","2022년10월_여_총인구수","2022년10월_여_연령구간인구수","2022년10월_여_0~9세","2022년10월_여_10~19세","2022년10월_여_20~29세","2022년10월_여_30~39세","2022년10월_여_40~49세","2022년10월_여_50~59세","2022년10월_여_60~69세","2022년10월_여_70~79세","2022년10월_여_80~89세","2022년10월_여_90~99세","2022년10월_여_100세 이상","2022년11월_계_총인구수","2022년11월_계_연령구간인구수","2022년11월_계_0~9세","2022년11월_계_10~19세","2022년11월_계_20~29세","2022년11월_계_30~39세","2022년11월_계_40~49세","2022년11월_계_50~59세","2022년11월_계_60~69세","2022년11월_계_70~79세","2022년11월_계_80~89세","2022년11월_계_90~99세","2022년11월_계_100세 이상","2022년11월_남_총인구수","2022년11월_남_연령구간인구수","2022년11월_남_0~9세","2022년11월_남_10~19세","2022년11월_남_20~29세","2022년11월_남_30~39세","2022년11월_남_40~49세","2022년11월_남_50~59세","2022년11월_남_60~69세","2022년11월_남_70~79세","2022년11월_남_80~89세","2022년11월_남_90~99세","2022년11월_남_100세 이상","2022년11월_여_총인구수","2022년11월_여_연령구간인구수","2022년11월_여_0~9세","2022년11월_여_10~19세","2022년11월_여_20~29세","2022년11월_여_30~39세","2022년11월_여_40~49세","2022년11월_여_50~59세","2022년11월_여_60~69세","2022년11월_여_70~79세","2022년11월_여_80~89세","2022년11월_여_90~99세","2022년11월_여_100세 이상","2022년12월_계_총인구수","2022년12월_계_연령구간인구수","2022년12월_계_0~9세","2022년12월_계_10~19세","2022년12월_계_20~29세","2022년12월_계_30~39세","2022년12월_계_40~49세","2022년12월_계_50~59세","2022년12월_계_60~69세","2022년12월_계_70~79세","2022년12월_계_80~89세","2022년12월_계_90~99세","2022년12월_계_100세 이상","2022년12월_남_총인구수","2022년12월_남_연령구간인구수","2022년12월_남_0~9세","2022년12월_남_10~19세","2022년12월_남_20~29세","2022년12월_남_30~39세","2022년12월_남_40~49세","2022년12월_남_50~59세","2022년12월_남_60~69세","2022년12월_남_70~79세","2022년12월_남_80~89세","2022년12월_남_90~99세","2022년12월_남_100세 이상","2022년12월_여_총인구수","2022년12월_여_연령구간인구수","2022년12월_여_0~9세","2022년12월_여_10~19세","2022년12월_여_20~29세","2022년12월_여_30~39세","2022년12월_여_40~49세","2022년12월_여_50~59세","2022년12월_여_60~69세","2022년12월_여_70~79세","2022년12월_여_80~89세","2022년12월_여_90~99세","2022년12월_여_100세 이상"
"서울특별시  (1100000000)","9,493,211","9,493,211","561,651","752,130","1,411,442","1,430,515","1,468,788","1,507,446","1,291,759","712,955","311,999","42,783","1,743","4,604,405","4,604,405","288,438","384,784","676,526","714,705","726,767","742,841","610,357","323,880","124,549","11,127","431","4,888,806","4,888,806","273,213","367,346","734,916","715,810","742,021","764,605","681,402","389,075","187,450","31,656","1,312","9,488,454","9,488,454","558,318","752,330","1,411,136","1,429,322","1,465,352","1,505,522","1,293,459","714,152","314,262","42,895","1,706","4,601,295","4,601,295","286,797","384,757","676,216","713,972","725,060","741,762","611,209","324,349","125,568","11,191","414","4,887,159","4,887,159","271,521","367,573","734,920","715,350","740,292","763,760","682,250","389,803","188,694","31,704","1,292","9,450,768","9,450,768","555,020","751,506","1,405,549","1,426,341","1,458,407","1,497,362","1,288,139","711,313","314,021","41,804","1,306","4,582,361","4,582,361","285,081","384,461","673,155","712,470","721,525","737,625","608,563","322,954","125,451","10,790","286","4,868,407","4,868,407","269,939","367,045","732,394","713,871","736,882","759,737","679,576","388,359","188,570","31,014","1,020","9,443,722","9,443,722","551,549","750,887","1,399,898","1,426,203","1,455,582","1,494,808","1,292,446","711,551","317,543","41,954","1,301","4,578,459","4,578,459","283,233","384,269","670,090","712,539","719,904","736,335","610,843","322,970","127,144","10,851","281","4,865,263","4,865,263","268,316","366,618","729,808","713,664","735,678","758,473","681,603","388,581","190,399","31,103","1,020","9,436,836","9,436,836","548,408","750,116","1,394,900","1,426,247","1,452,970","1,493,294","1,295,878","712,324","319,313","42,080","1,306","4,574,781","4,574,781","281,568","384,165","667,113","712,976","718,488","735,632","612,502","323,166","128,005","10,888","278","4,862,055","4,862,055","266,840","365,951","727,787","713,271","734,482","757,662","683,376","389,158","191,308","31,192","1,028","9,428,372","9,428,372","545,317","749,118","1,389,483","1,425,808","1,449,706","1,492,802","1,297,787","713,496","321,209","42,354","1,292","4,570,048","4,570,048","280,017","383,649","664,239","712,675","717,027","735,183","613,444","323,606","128,937","10,997","274","4,858,324","4,858,324","265,300","365,469","725,244","713,133","732,679","757,619","684,343","389,890","192,272","31,357","1,018"
"서울특별시 종로구 (1111000000)","143,547","143,547","6,668","10,147","22,658","19,409","20,488","24,693","20,423","11,646","6,426","945","44","69,463","69,463","3,366","5,000","10,821","9,662","9,897","12,346","10,248","5,207","2,602","298","16","74,084","74,084","3,302","5,147","11,837","9,747","10,591","12,347","10,175","6,439","3,824","647","28","143,499","143,499","6,592","10,183","22,696","19,437","20,412","24,639","20,452","11,626","6,465","954","43","69,408","69,408","3,321","5,047","10,819","9,672","9,840","12,319","10,255","5,205","2,615","300","15","74,091","74,091","3,271","5,136","11,877","9,765","10,572","12,320","10,197","6,421","3,850","654","28","141,978","141,978","6,550","10,167","22,599","19,329","20,185","24,349","20,130","11,409","6,335","893","32","68,652","68,652","3,304","5,040","10,766","9,580","9,714","12,174","10,130","5,099","2,562","272","11","73,326","73,326","3,246","5,127","11,833","9,749","10,471","12,175","10,000","6,310","3,773","621","21","141,861","141,861","6,515","10,149","22,517","19,359","20,155","24,274","20,183","11,411","6,376","891","31","68,601","68,601","3,302","5,030","10,711","9,604","9,699","12,125","10,148","5,114","2,579","278","11","73,260","73,260","3,213","5,119","11,806","9,755","10,456","12,149","10,035","6,297","3,797","613","20","141,650","141,650","6,455","10,132","22,428","19,370","20,022","24,260","20,236","11,409","6,409","898","31","68,488","68,488","3,262","5,038","10,663","9,612","9,635","12,119","10,162","5,113","2,596","277","11","73,162","73,162","3,193","5,094","11,765","9,758","10,387","12,141","10,074","6,296","3,813","621","20","141,379","141,379","6,403","10,087","22,284","19,342","19,944","24,216","20,301","11,404","6,454","915","29","68,395","68,395","3,240","5,006","10,593","9,636","9,605","12,089","10,195","5,119","2,616","286","10","72,984","72,984","3,163","5,081","11,691","9,706","10,339","12,127","10,106","6,285","3,838","629","19"
"서울특별시 중구 (1114000000)","122,138","122,138","6,054","6,487","17,994","19,962","17,185","19,860","18,016","10,434","5,261","849","36","59,360","59,360","3,097","3,233","8,321","9,940","8,779","10,056","9,012","4,722","1,959","227","14","62,778","62,778","2,957","3,254","9,673","10,022","8,406","9,804","9,004","5,712","3,302","622","22","121,960","121,960","6,044","6,443","17,988","19,952","17,096","19,776","18,041","10,426","5,302","855","37","59,309","59,309","3,081","3,218","8,345","9,944","8,747","9,998","9,030","4,737","1,968","227","14","62,651","62,651","2,963","3,225","9,643","10,008","8,349","9,778","9,011","5,689","3,334","628","23","120,969","120,969","6,028","6,412","17,873","19,878","16,928","19,575","17,872","10,287","5,263","822","31","58,812","58,812","3,066","3,211","8,285","9,916","8,630","9,913","8,925","4,681","1,954","220","11","62,157","62,157","2,962","3,201","9,588","9,962","8,298","9,662","8,947","5,606","3,309","602","20","120,648","120,648","5,990","6,370","17,742","19,863","16,860","19,481","17,940","10,240","5,312","820","30","58,643","58,643","3,059","3,181","8,220","9,921","8,583","9,858","8,958","4,654","1,977","222","10","62,005","62,005","2,931","3,189","9,522","9,942","8,277","9,623","8,982","5,586","3,335","598","20","120,545","120,545","5,972","6,353","17,652","19,866","16,830","19,468","17,952","10,271","5,336","816","29","58,610","58,610","3,052","3,168","8,194","9,926","8,578","9,853","8,961","4,664","1,986","219","9","61,935","61,935","2,920","3,185","9,458","9,940","8,252","9,615","8,991","5,607","3,350","597","20","120,437","120,437","5,964","6,322","17,619","19,861","16,768","19,396","18,031","10,261","5,364","823","28","58,563","58,563","3,058","3,143","8,179","9,941","8,541","9,799","9,013","4,645","2,016","220","8","61,874","61,874","2,906","3,179","9,440","9,920","8,227","9,597","9,018","5,616","3,348","603","20"
"서울특별시 용산구 (1117000000)","222,262","222,262","12,279","14,528","32,392","37,908","33,281","36,053","29,408","16,012","8,863","1,458","80","106,743","106,743","6,269","7,367","15,128","18,775","16,394","17,722","14,281","6,993","3,361","433","20","115,519","115,519","6,010","7,161","17,264","19,133","16,887","18,331","15,127","9,019","5,502","1,025","60","222,230","222,230","12,226","14,471","32,382","37,990","33,216","36,029","29,475","15,956","8,930","1,474","81","106,686","106,686","6,238","7,342","15,101","18,813","16,369","17,686","14,325","6,960","3,389","442","21","115,544","115,544","5,988","7,129","17,281","19,177","16,847","18,343","15,150","8,996","5,541","1,032","60","219,275","219,275","12,170","14,372","32,183","37,895","32,773","35,428","28,870","15,546","8,669","1,327","42","105,385","105,385","6,217","7,299","14,969","18,781","16,155","17,404","14,085","6,800","3,282","385","8","113,890","113,890","5,953","7,073","17,214","19,114","16,618","18,024","14,785","8,746","5,387","942","34","219,102","219,102","12,104","14,331","32,061","37,921","32,712","35,368","28,995","15,485","8,753","1,330","42","105,303","105,303","6,176","7,293","14,904","18,787","16,122","17,374","14,148","6,781","3,324","387","7","113,799","113,799","5,928","7,038","17,157","19,134","16,590","17,994","14,847","8,704","5,429","943","35","218,945","218,945","12,057","14,293","31,935","38,042","32,626","35,297","29,090","15,461","8,781","1,321","42","105,222","105,222","6,160","7,276","14,816","18,851","16,097","17,331","14,194","6,772","3,335","383","7","113,723","113,723","5,897","7,017","17,119","19,191","16,529","17,966","14,896","8,689","5,446","938","35","218,650","218,650","11,973","14,241","31,803","38,047","32,512","35,260","29,154","15,484","8,810","1,326","40","105,087","105,087","6,108","7,254","14,774","18,853","16,051","17,291","14,219","6,795","3,344","392","6","113,563","113,563","5,865","6,987","17,029","19,194","16,461","17,969","14,935","8,689","5,466","934","34"
"서울특별시 성동구 (1120000000)","283,618","283,618","18,583","18,860","42,663","46,042","42,807","45,611","38,089","20,227","9,501","1,180","55","138,046","138,046","9,516","9,372","20,931","22,597","21,464","22,514","18,638","9,050","3,638","308","18","145,572","145,572","9,067","9,488","21,732","23,445","21,343","23,097","19,451","11,177","5,863","872","37","283,603","283,603","18,528","18,797","42,820","45,983","42,704","45,597","38,096","20,245","9,590","1,190","53","138,050","138,050","9,507","9,333","21,020","22,547","21,427","22,531","18,635","9,042","3,680","312","16","145,553","145,553","9,021","9,464","21,800","23,436","21,277","23,066","19,461","11,203","5,910","878","37","282,250","282,250","18,438","18,710","42,722","45,748","42,492","45,318","37,925","20,135","9,568","1,154","40","137,351","137,351","9,451","9,284","21,000","22,406","21,322","22,376","18,541","8,998","3,663","299","11","144,899","144,899","8,987","9,426","21,722","23,342","21,170","22,942","19,384","11,137","5,905","855","29","281,694","281,694","18,357","18,618","42,507","45,698","42,397","45,083","38,084","20,063","9,692","1,154","41","137,075","137,075","9,420","9,250","20,882","22,394","21,282","22,224","18,630","8,937","3,739","305","12","144,619","144,619","8,937","9,368","21,625","23,304","21,115","22,859","19,454","11,126","5,953","849","29","281,370","281,370","18,309","18,582","42,279","45,735","42,350","44,976","38,150","20,051","9,740","1,155","43","136,901","136,901","9,404","9,251","20,768","22,398","21,254","22,183","18,621","8,939","3,763","308","12","144,469","144,469","8,905","9,331","21,511","23,337","21,096","22,793","19,529","11,112","5,977","847","31","281,000","281,000","18,235","18,507","42,138","45,670","42,239","44,911","38,254","20,073","9,764","1,164","45","136,633","136,633","9,375","9,207","20,665","22,318","21,199","22,138","18,677","8,955","3,773","313","13","144,367","144,367","8,860","9,300","21,473","23,352","21,040","22,773","19,577","11,118","5,991","851","32"
"서울특별시 광진구 (1121500000)","339,853","339,853","17,092","24,571","61,263","54,726","50,013","53,872","44,428","22,553","9,974","1,308","53","163,882","163,882","8,781","12,423","28,682","27,203","24,607","26,355","21,157","10,312","4,000","346","16","175,971","175,971","8,311","12,148","32,581","27,523","25,406","27,517","23,271","12,241","5,974","962","37","339,567","339,567","16,946","24,609","61,208","54,617","49,897","53,760","44,520","22,601","10,037","1,320","52","163,692","163,692","8,703","12,434","28,642","27,170","24,505","26,268","21,234","10,325","4,042","354","15","175,875","175,875","8,243","12,175","32,566","27,447","25,392","27,492","23,286","12,276","5,995","966","37","338,257","338,257","16,787","24,536","60,916","54,564","49,652","53,458","44,322","22,605","10,073","1,299","45","163,038","163,038","8,625","12,388","28,492","27,185","24,367","26,099","21,137","10,314","4,067","349","15","175,219","175,219","8,162","12,148","32,424","27,379","25,285","27,359","23,185","12,291","6,006","950","30","337,900","337,900","16,666","24,509","60,734","54,523","49,512","53,365","44,424","22,622","10,202","1,301","42","162,844","162,844","8,575","12,380","28,371","27,183","24,273","26,055","21,209","10,303","4,136","346","13","175,056","175,056","8,091","12,129","32,363","27,340","25,239","27,310","23,215","12,319","6,066","955","29","337,713","337,713","16,533","24,497","60,480","54,604","49,399","53,316","44,624","22,646","10,265","1,305","44","162,699","162,699","8,498","12,374","28,250","27,189","24,242","25,986","21,317","10,312","4,169","349","13","175,014","175,014","8,035","12,123","32,230","27,415","25,157","27,330","23,307","12,334","6,096","956","31","337,416","337,416","16,447","24,469","60,220","54,701","49,238","53,264","44,691","22,718","10,325","1,301","42","162,541","162,541","8,466","12,353","28,071","27,257","24,163","25,953","21,367","10,353","4,191","354","13","174,875","174,875","7,981","12,116","32,149","27,444","25,075","27,311","23,324","12,365","6,134","947","29"
"서울특별시 동대문구 (1123000000)","337,198","337,198","18,957","22,825","56,416","48,580","48,635","52,048","47,554","27,747","12,841","1,526","69","166,236","166,236","9,698","11,497","27,359","25,027","25,104","26,382","23,118","12,512","5,104","416","19","170,962","170,962","9,259","11,328","29,057","23,553","23,531","25,666","24,436","15,235","7,737","1,110","50","337,233","337,233","18,859","22,883","56,618","48,582","48,473","51,953","47,578","27,766","12,925","1,527","69","166,170","166,170","9,627","11,523","27,486","24,995","24,996","26,338","23,126","12,498","5,147","417","17","171,063","171,063","9,232","11,360","29,132","23,587","23,477","25,615","24,452","15,268","7,778","1,110","52","337,106","337,106","18,886","22,924","56,666","48,689","48,455","51,773","47,438","27,728","12,974","1,518","55","166,051","166,051","9,655","11,575","27,459","25,067","24,963","26,211","23,071","12,458","5,166","415","11","171,055","171,055","9,231","11,349","29,207","23,622","23,492","25,562","24,367","15,270","7,808","1,103","44","337,273","337,273","18,848","22,891","56,539","48,703","48,435","51,789","47,643","27,711","13,150","1,510","54","166,113","166,113","9,595","11,602","27,363","25,077","24,956","26,219","23,178","12,448","5,252","412","11","171,160","171,160","9,253","11,289","29,176","23,626","23,479","25,570","24,465","15,263","7,898","1,098","43","337,241","337,241","18,787","22,819","56,472","48,675","48,495","51,689","47,793","27,737","13,215","1,506","53","166,070","166,070","9,561","11,606","27,238","25,072","25,002","26,162","23,259","12,467","5,281","412","10","171,171","171,171","9,226","11,213","29,234","23,603","23,493","25,527","24,534","15,270","7,934","1,094","43","336,644","336,644","18,642","22,734","56,229","48,567","48,408","51,597","47,814","27,767","13,313","1,518","55","165,755","165,755","9,506","11,579","27,121","25,000","24,942","26,106","23,268","12,480","5,323","420","10","170,889","170,889","9,136","11,155","29,108","23,567","23,466","25,491","24,546","15,287","7,990","1,098","45"
"서울특별시 중랑구 (1126000000)","388,307","388,307","20,882","25,099","53,634","57,704","55,508","66,886","61,351","32,006","13,520","1,646","71","191,193","191,193","10,725","12,736","26,124","29,606","28,791","33,075","29,745","14,597","5,378","396","20","197,114","197,114","10,157","12,363","27,510","28,098","26,717","33,811","31,606","17,409","8,142","1,250","51","387,840","387,840","20,760","25,051","53,477","57,681","55,373","66,623","61,456","32,043","13,634","1,672","70","190,931","190,931","10,643","12,745","26,021","29,569","28,744","32,953","29,770","14,635","5,424","407","20","196,909","196,909","10,117","12,306","27,456","28,112","26,629","33,670","31,686","17,408","8,210","1,265","50","386,390","386,390","20,629","25,031","53,093","57,674","55,060","66,242","61,313","31,962","13,678","1,657","51","190,115","190,115","10,568","12,744","25,790","29,550","28,608","32,720","29,686","14,604","5,439","397","9","196,275","196,275","10,061","12,287","27,303","28,124","26,452","33,522","31,627","17,358","8,239","1,260","42","385,976","385,976","20,537","24,963","52,713","57,759","54,879","66,019","61,578","31,972","13,841","1,664","51","189,869","189,869","10,522","12,705","25,588","29,598","28,519","32,618","29,782","14,622","5,511","395","9","196,107","196,107","10,015","12,258","27,125","28,161","26,360","33,401","31,796","17,350","8,330","1,269","42","385,638","385,638","20,437","24,894","52,489","57,703","54,822","65,873","61,787","31,969","13,944","1,669","51","189,747","189,747","10,447","12,704","25,470","29,604","28,472","32,581","29,892","14,609","5,561","398","9","195,891","195,891","9,990","12,190","27,019","28,099","26,350","33,292","31,895","17,360","8,383","1,271","42","385,318","385,318","20,342","24,843","52,278","57,722","54,716","65,756","61,941","32,015","13,975","1,679","51","189,537","189,537","10,398","12,683","25,347","29,588","28,432","32,521","29,974","14,619","5,565","400","10","195,781","195,781","9,944","12,160","26,931","28,134","26,284","33,235","31,967","17,396","8,410","1,279","41"
"서울특별시 성북구 (1129000000)","433,583","433,583","26,761","36,465","65,906","58,408","67,146","70,422","57,226","33,032","16,062","2,082","73","208,745","208,745","13,646","18,540","31,556","29,161","32,914","34,785","26,863","14,387","6,345","534","14","224,838","224,838","13,115","17,925","34,350","29,247","34,232","35,637","30,363","18,645","9,717","1,548","59","433,386","433,386","26,610","36,525","66,050","58,217","66,979","70,374","57,269","33,036","16,170","2,089","67","208,575","208,575","13,586","18,542","31,580","29,058","32,814","34,796","26,866","14,411","6,379","531","12","224,811","224,811","13,024","17,983","34,470","29,159","34,165","35,578","30,403","18,625","9,791","1,558","55","431,827","431,827","26,411","36,402","65,954","58,044","66,572","70,157","57,022","32,941","16,229","2,045","50","207,715","207,715","13,491","18,469","31,515","28,932","32,609","34,677","26,737","14,381","6,375","519","10","224,112","224,112","12,920","17,933","34,439","29,112","33,963","35,480","30,285","18,560","9,854","1,526","40","431,581","431,581","26,261","36,301","65,821","57,998","66,414","70,145","57,243","32,896","16,411","2,042","49","207,584","207,584","13,423","18,435","31,382","28,923","32,562","34,655","26,857","14,358","6,455","524","10","223,997","223,997","12,838","17,866","34,439","29,075","33,852","35,490","30,386","18,538","9,956","1,518","39","431,047","431,047","26,096","36,226","65,653","57,830","66,221","70,194","57,310","32,923","16,488","2,053","53","207,269","207,269","13,331","18,433","31,245","28,891","32,417","34,695","26,875","14,356","6,492","524","10","223,778","223,778","12,765","17,793","34,408","28,939","33,804","35,499","30,435","18,567","9,996","1,529","43","430,397","430,397","25,880","36,162","65,412","57,646","65,992","70,266","57,405","32,908","16,594","2,081","51","206,961","206,961","13,223","18,389","31,145","28,823","32,299","34,713","26,953","14,321","6,549","536","10","223,436","223,436","12,657","17,773","34,267","28,823","33,693","35,553","30,452","18,587","10,045","1,545","41"
"서울특별시 강북구 (1130500000)","296,489","296,489","13,332","20,367","40,500","36,381","42,960","51,431","47,091","29,532","13,327","1,519","49","144,107","144,107","6,831","10,332","19,714","19,089","22,110","25,488","22,041","12,721","5,352","415","14","152,382","152,382","6,501","10,035","20,786","17,292","20,850","25,943","25,050","16,811","7,975","1,104","35","296,073","296,073","13,191","20,328","40,479","36,341","42,755","51,328","47,145","29,481","13,475","1,504","46","143,861","143,861","6,764","10,293","19,687","19,057","22,020","25,418","22,066","12,697","5,432","416","11","152,212","152,212","6,427","10,035","20,792","17,284","20,735","25,910","25,079","16,784","8,043","1,088","35","294,876","294,876","13,094","20,217","40,349","36,183","42,519","51,062","47,007","29,405","13,525","1,472","43","143,219","143,219","6,705","10,238","19,614","18,980","21,911","25,273","21,995","12,631","5,459","401","12","151,657","151,657","6,389","9,979","20,735","17,203","20,608","25,789","25,012","16,774","8,066","1,071","31","294,429","294,429","12,954","20,149","40,219","36,036","42,376","50,925","47,190","29,362","13,707","1,470","41","143,000","143,000","6,643","10,219","19,551","18,880","21,829","25,189","22,122","12,618","5,534","404","11","151,429","151,429","6,311","9,930","20,668","17,156","20,547","25,736","25,068","16,744","8,173","1,066","30","293,984","293,984","12,849","20,118","40,054","35,965","42,220","50,846","47,327","29,298","13,796","1,471","40","142,776","142,776","6,586","10,205","19,475","18,861","21,753","25,134","22,216","12,567","5,571","398","10","151,208","151,208","6,263","9,913","20,579","17,104","20,467","25,712","25,111","16,731","8,225","1,073","30","293,660","293,660","12,786","20,030","39,849","35,921","42,113","50,791","47,379","29,359","13,913","1,477","42","142,567","142,567","6,554","10,179","19,359","18,820","21,686","25,098","22,249","12,600","5,607","403","12","151,093","151,093","6,232","9,851","20,490","17,101","20,427","25,693","25,130","16,759","8,306","1,074","30"
