측정일시,측정소명,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
2020-01-01,강남구,0.037,0.003,0.7,0.003,31.0,23.0
2020-01-01,강남대로,0.036,0.003,1.1,0.004,36.0,20.0
2020-01-01,강동구,0.036,0.004,0.6,0.003,37.0,28.0
2020-01-01,강변북로,0.042,0.003,0.8,0.004,40.0,26.0
2020-01-01,강북구,0.045,0.004,0.7,0.003,41.0,27.0
2020-01-01,강서구,0.041,0.004,0.6,0.005,39.0,23.0
2020-01-01,공항대로,0.041,0.003,0.7,0.005,42.0,24.0
2020-01-01,관악구,0.043,0.008,0.7,0.003,35.0,22.0
2020-01-01,관악산,0.017,0.016,0.6,0.004,26.0,17.0
2020-01-01,광진구,0.032,0.003,0.6,0.002,33.0,19.0
2020-01-01,구로구,0.035,0.008,0.5,0.004,32.0,23.0
2020-01-01,궁동,0.036,0.004,0.6,0.004,37.0,26.0
2020-01-01,금천구,0.038,0.002,0.5,0.003,20.0,17.0
2020-01-01,남산,,0.004,0.9,0.004,31.0,21.0
2020-01-01,노원구,0.037,0.005,0.6,0.004,28.0,24.0
2020-01-01,도봉구,0.031,0.005,0.7,0.002,31.0,20.0
2020-01-01,도산대로,0.041,0.003,1.4,0.003,33.0,19.0
2020-01-01,동대문구,0.039,0.003,0.7,0.003,33.0,20.0
2020-01-01,동작구,0.04,0.004,0.6,0.003,39.0,26.0
2020-01-01,동작대로,0.044,0.004,0.6,0.006,34.0,27.0
2020-01-01,마포구,0.043,0.003,0.7,0.003,31.0,23.0
2020-01-01,마포아트센터,0.038,0.002,0.4,0.003,32.0,21.0
2020-01-01,북한산,0.031,0.004,0.8,0.003,33.0,18.0
2020-01-01,서대문구,0.038,0.004,0.9,0.004,34.0,17.0
2020-01-01,서울숲,0.042,0.003,0.6,0.004,33.0,21.0
2020-01-01,서초구,0.046,0.008,0.5,0.003,39.0,24.0
2020-01-01,성동구,0.04,0.003,0.7,0.003,33.0,23.0
2020-01-01,성북구,0.044,0.004,0.9,0.003,33.0,21.0
2020-01-01,세곡,0.015,0.005,0.8,0.004,27.0,18.0
2020-01-01,송파구,0.037,0.003,0.7,0.003,32.0,22.0
2020-01-01,시흥대로,0.044,0.003,0.7,0.004,33.0,24.0
2020-01-01,신촌로,0.042,0.003,0.7,0.003,37.0,26.0
2020-01-01,양천구,0.042,0.003,0.7,0.004,40.0,27.0
2020-01-01,영등포구,0.039,0.003,0.9,0.003,33.0,22.0
2020-01-01,영등포로,0.046,0.003,0.8,0.004,39.0,26.0
2020-01-01,올림픽공원,0.029,0.004,0.6,0.003,27.0,21.0
2020-01-01,용산구,0.033,0.004,0.6,0.003,29.0,24.0
2020-01-01,은평구,0.035,0.003,0.7,0.003,33.0,21.0
2020-01-01,자연사박물관,,,,,31.0,20.0
2020-01-01,정릉로,0.033,0.003,0.6,0.004,40.0,30.0
2020-01-01,종로,0.036,0.003,0.7,0.003,42.0,25.0
2020-01-01,종로구,0.041,0.003,0.7,0.003,35.0,25.0
2020-01-01,중구,0.037,0.003,0.7,0.003,35.0,29.0
2020-01-01,중랑구,0.036,0.005,0.6,0.003,32.0,17.0
2020-01-01,천호대로,0.037,0.004,0.6,0.003,38.0,22.0
2020-01-01,청계천로,0.038,0.003,0.7,0.004,33.0,24.0
2020-01-01,한강대로,0.039,0.004,0.7,0.003,41.0,22.0
2020-01-01,행주,0.032,0.004,0.8,0.004,37.0,20.0
2020-01-01,홍릉로,0.044,0.003,0.6,0.003,33.0,23.0
2020-01-01,화랑로,0.03,0.007,0.4,0.004,38.0,26.0
2020-01-02,강남구,0.042,0.003,0.8,0.004,57.0,43.0
2020-01-02,강남대로,0.046,0.002,1.4,0.004,67.0,41.0
2020-01-02,강동구,0.041,0.003,0.7,0.003,67.0,50.0
2020-01-02,강변북로,0.05,0.003,0.9,0.005,75.0,45.0
2020-01-02,강북구,0.043,0.007,0.8,0.003,62.0,43.0
2020-01-02,강서구,0.046,0.003,0.8,0.006,69.0,39.0
2020-01-02,공항대로,0.049,0.003,0.8,0.006,71.0,41.0
2020-01-02,관악구,0.047,,0.7,0.004,53.0,35.0
2020-01-02,관악산,0.026,0.013,0.7,0.005,55.0,33.0
2020-01-02,광진구,0.035,0.003,0.8,0.003,61.0,34.0
2020-01-02,구로구,0.036,0.007,0.6,0.004,57.0,42.0
2020-01-02,궁동,0.04,0.003,0.8,0.004,65.0,44.0
2020-01-02,금천구,0.045,0.002,0.8,0.004,54.0,47.0
2020-01-02,남산,0.044,0.004,1.1,0.004,56.0,39.0
2020-01-02,노원구,0.046,0.005,0.9,0.005,48.0,41.0
2020-01-02,도봉구,0.033,0.007,0.8,0.003,54.0,34.0
2020-01-02,도산대로,0.046,0.003,1.6,0.004,60.0,41.0
2020-01-02,동대문구,0.042,0.002,0.8,0.003,47.0,32.0
2020-01-02,동작구,0.046,0.004,0.7,0.004,57.0,40.0
2020-01-02,동작대로,0.052,0.003,0.8,0.006,65.0,47.0
2020-01-02,마포구,0.048,0.002,0.8,0.004,53.0,39.0
2020-01-02,마포아트센터,0.041,0.003,0.4,0.003,55.0,37.0
2020-01-02,북한산,0.024,0.009,0.8,0.003,51.0,28.0
2020-01-02,서대문구,0.04,0.004,1.0,0.004,62.0,32.0
