측정일시,측정소명,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
2023-01-02,중랑구,0.0232,0.0195,0.42,0.0029,23.0,13.0
2023-01-02,강남대로,0.0273,0.0144,0.58,0.0036,30.0,11.0
2023-01-02,강변북로,0.03,0.0144,0.74,0.0031,28.0,14.0
2023-01-02,공항대로,0.0239,0.0154,0.42,0.0026,28.0,12.0
2023-01-02,도산대로,0.0245,0.017,0.78,0.004,26.0,10.0
2023-01-02,동작대로,0.0283,0.0158,0.51,0.0028,30.0,14.0
2023-01-02,시흥대로,0.024,0.0165,0.41,0.0032,22.0,8.0
2023-01-02,신촌로,0.0298,0.0129,0.55,0.0049,34.0,15.0
2023-01-02,영등포로,0.0256,0.0156,0.5,0.0033,26.0,14.0
2023-01-02,정릉로,0.0298,0.013,0.55,0.003,29.0,13.0
2023-01-02,종로,0.0175,0.021,0.48,0.0041,25.0,10.0
2023-01-02,천호대로,0.0309,0.0144,0.52,0.0035,30.0,12.0
2023-01-02,청계천로,0.0176,0.0212,0.44,0.0031,25.0,12.0
2023-01-02,한강대로,0.0235,0.0202,0.55,0.0043,28.0,7.0
2023-01-02,홍릉로,0.0228,0.0155,0.47,0.0035,24.0,14.0
2023-01-02,화랑로,0.0333,0.0151,0.49,0.003,27.0,12.0
2023-01-02,관악산,0.0126,0.0263,0.3,0.0044,24.0,10.0
2023-01-02,남산,0.015,0.0228,0.65,0.004,21.0,10.0
2023-01-02,북한산,0.0053,0.0296,0.24,0.0031,18.0,9.0
2023-01-02,세곡,0.0279,0.014,0.66,0.0038,29.0,12.0
2023-01-02,항동,0.0115,0.0224,0.58,0.004,20.0,5.0
2023-01-02,행주,0.0078,0.0256,0.28,0.004,22.0,9.0
2023-01-02,마포아트센터,0.0194,0.0228,0.44,0.004,28.0,9.0
2023-01-02,서울숲,0.0186,0.0194,0.13,0.004,24.0,7.0
2023-01-02,올림픽공원,0.0201,0.0252,0.68,0.0031,20.0,11.0
2023-01-02,자연사박물관,0.0158,0.0245,0.33,0.004,21.0,7.0
2023-01-03,강남구,0.0303,0.0162,0.51,0.0034,29.0,15.0
2023-01-03,강동구,0.028,0.0117,0.49,0.0028,34.0,21.0
2023-01-03,강북구,0.0228,0.0184,0.61,0.0026,32.0,17.0
2023-01-03,강서구,0.0302,0.0149,0.55,0.0038,37.0,16.0
2023-01-03,관악구,0.0339,0.0133,0.6,0.0032,30.0,15.0
2023-01-03,광진구,0.0203,0.0116,0.69,0.0022,32.0,19.0
2023-01-03,구로구,0.0283,0.0113,0.39,0.0033,30.0,13.0
2023-01-03,금천구,0.0292,0.0146,0.51,0.0034,25.0,17.0
2023-01-03,노원구,0.0349,0.0156,0.62,0.0037,35.0,22.0
2023-01-03,도봉구,0.0259,0.0194,0.54,0.0025,26.0,15.0
2023-01-03,동대문구,0.0296,0.0164,0.59,0.0038,30.0,17.0
2023-01-03,동작구,0.0332,0.0109,0.51,0.0027,28.0,17.0
2023-01-03,마포구,0.0297,0.011,0.55,0.003,28.0,19.0
2023-01-03,서대문구,0.0307,0.0135,0.77,0.0065,29.0,15.0
2023-01-03,서초구,0.0329,0.0114,0.38,0.0032,27.0,12.0
2023-01-03,성동구,0.0324,0.0135,0.49,0.0032,29.0,13.0
2023-01-03,성북구,0.034,0.0135,0.69,0.0039,28.0,17.0
2023-01-03,송파구,0.0352,0.0121,0.6,0.0029,31.0,18.0
2023-01-03,양천구,0.0283,0.0129,0.53,0.0027,30.0,17.0
2023-01-03,영등포구,0.0301,0.0137,0.52,0.0032,28.0,15.0
2023-01-03,용산구,0.0262,0.0149,0.55,0.0034,28.0,17.0
2023-01-03,은평구,0.0243,0.015,0.7,0.0035,26.0,11.0
2023-01-03,종로구,0.0283,0.0158,0.59,0.0033,27.0,19.0
2023-01-03,중구,0.0309,0.0181,0.54,0.0032,28.0,20.0
2023-01-03,중랑구,0.0295,0.0157,0.52,0.0027,32.0,20.0
2023-01-03,강남대로,0.0381,0.0086,0.78,0.0038,33.0,16.0
2023-01-03,강변북로,0.0396,0.0103,0.83,0.0031,33.0,19.0
2023-01-03,공항대로,0.0363,0.0097,0.59,0.0029,36.0,19.0
2023-01-03,도산대로,0.0348,0.0134,0.73,0.0039,31.0,15.0
2023-01-03,동작대로,0.0385,0.0109,0.64,0.003,35.0,18.0
2023-01-03,시흥대로,0.041,0.0104,0.58,0.0037,28.0,12.0
2023-01-03,신촌로,0.0411,0.0071,0.71,0.0043,36.0,20.0
2023-01-03,영등포로,0.0344,0.0122,0.58,0.0036,30.0,18.0
2023-01-03,정릉로,0.039,0.0088,0.65,0.0032,35.0,20.0
2023-01-03,종로,0.0307,0.014,0.61,0.0036,30.0,14.0
2023-01-03,천호대로,0.0413,0.0085,0.67,0.0035,36.0,20.0
2023-01-03,청계천로,0.0294,0.0124,0.59,0.0032,32.0,17.0
2023-01-03,한강대로,0.0335,0.0145,0.65,0.0037,32.0,12.0
2023-01-03,홍릉로,0.0325,0.0107,0.56,0.0036,31.0,21.0
2023-01-03,화랑로,0.042,0.009,0.63,0.0028,34.0,19.0
2023-01-03,관악산,0.0114,0.0319,0.25,0.0044,22.0,11.0
2023-01-03,남산,0.0239,0.0176,0.77,0.0041,24.0,14.0
2023-01-03,북한산,0.007,0.0293,0.27,0.0032,21.0,11.0
2023-01-03,세곡,0.0351,0.0102,0.88,0.0044,31.0,16.0
2023-01-03,항동,0.0173,0.0155,0.68,0.0036,23.0,9.0
2023-01-03,행주,0.0244,0.0169,0.35,0.0039,28.0,15.0
2023-01-03,마포아트센터,0.0306,0.016,0.43,0.0039,28.0,13.0
2023-01-03,서울숲,0.029,0.0144,0.28,0.0039,30.0,13.0
