구분,자치구명,법정동명,건물유형,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월
가스,종로구,익선동, 단독주택 ,840014,601020,312146,219109,207471,265888,278437,185153,185153,249347,384260,832450
가스,종로구,인사동, 단독주택 ,734681,540675,277882,352519,378565,266304,237087,272241,272241,303073,320908,342392
가스,종로구,인의동, 공동주택 ,3417560,3957740,2236110,1335480,1740620,1949530,2058640,1515630,1515630,883224,1140873,1804772
가스,종로구,인의동, 단독주택 ,189522,164985,108119,83293,81703,66337,68188,66252,66252,87635,97072,156963
가스,종로구,재동, 단독주택 ,562899,401718,270645,195615,122299,103041,105757,112253,112253,210325,283726,487769
가스,종로구,적선동, 단독주택 ,29427,24835,14952,8032,3962,2991,2351,3155,3155,6481,11899,18852
가스,종로구,종로5가, 단독주택 ,166102,205155,164105,131224,116326,102670,92351,102240,102240,108491,119018,144008
가스,종로구,종로6가, 공동주택 ,63217,51070,39947,13501,9837,24839,4190,4650,4650,6224,20398,36353
가스,종로구,종로6가, 단독주택 ,1187639,873862,663505,343856,174763,125321,76491,85890,85890,137988,311025,601795
가스,종로구,창성동, 공동주택 ,519349,429142,244274,105733,63739,52713,26772,41006,41006,78548,202003,353197
가스,종로구,창성동, 단독주택 ,1179618,976225,540558,268191,136843,77848,68299,97055,97055,200253,442812,812752
가스,종로구,창신동, 공동주택 ,29303988,22146808,13226055,7080731,4297986,2949211,2543172,3225080,3225080,6069746,11179278,21837440
가스,종로구,창신동, 단독주택 ,23085892,19112431,11360727,5936524,3556928,2476958,2066574,2454147,2445527,4072954,8102193,14934975
가스,종로구,청운동, 공동주택 ,6090851,4970692,2377323,1172911,707109,462233,424080,571653,571653,1456183,2776207,5858235
가스,종로구,청운동, 단독주택 ,4375888,3268000,1557934,771831,447769,314334,261612,338752,338752,970319,1806945,4016749
가스,종로구,청진동, 단독주택 ,81359,85603,79663,86024,87803,77382,73166,75499,75499,79330,87294,101429
가스,종로구,체부동, 공동주택 ,422679,394333,219654,113434,53899,54326,8127,41607,41607,74821,171759,310187
가스,종로구,체부동, 단독주택 ,2604688,2033392,1363126,855641,527645,485443,295977,477639,477639,641462,1202232,2062628
가스,종로구,충신동, 공동주택 ,569138,616375,481306,292442,218175,114983,125676,147588,147588,198391,282190,392019
가스,종로구,충신동, 단독주택 ,7465824,6002814,4061547,2202766,1174601,799349,554486,577232,577232,856839,2154530,3823324
가스,종로구,통의동, 공동주택 ,170238,151200,82047,41094,17384,12388,8127,14237,11210,20642,46654,93142
가스,종로구,통의동, 단독주택 ,912057,733820,533235,342683,228496,160361,132789,158395,158395,258531,454867,675710
가스,종로구,통인동, 공동주택 ,770378,568965,377961,215186,116391,66430,55722,78003,78003,141527,302641,457951
가스,종로구,통인동, 단독주택 ,2310099,1726878,1031694,612935,387811,247293,206594,270669,270669,424086,840931,1388245
가스,종로구,팔판동, 단독주택 ,1598163,1193439,842182,383799,219728,101950,71054,49851,49424,123572,416805,801861
가스,종로구,평동, 공동주택 ,3785110,2850340,1728790,1045700,791255,649621,653886,707656,707656,1112420,1519443,3078345
가스,종로구,평창동, 공동주택 ,27291442,16219998,10325150,5336896,2995923,2243198,2075996,2707478,2707478,6737434,11467310,25562017
가스,종로구,평창동, 단독주택 ,30508913,17305245,10115756,4734345,2354594,1748989,1653037,2174465,2174465,6524613,11780256,28543184
가스,종로구,필운동, 공동주택 ,1599417,1341321,710237,375296,207367,193795,38245,133851,133851,227150,525914,992796
가스,종로구,필운동, 단독주택 ,1746008,1544994,826606,455258,282136,262851,82794,192502,192502,311882,668289,1127168
가스,종로구,행촌동, 공동주택 ,9640157,7445606,4319647,2504722,1327632,1243835,615120,1077420,1077420,1873192,3442335,6151448
가스,종로구,행촌동, 단독주택 ,3354978,2724492,1547057,894810,437002,424798,197446,354575,354575,656022,1225591,2133256
가스,종로구,혜화동, 공동주택 ,4115440,2985037,1668353,871037,448938,365646,327898,397711,397711,1051511,1642951,3942221
가스,종로구,혜화동, 단독주택 ,5825813,4226632,2359776,1217480,620565,494512,429849,544980,544169,1479702,2281999,5609286
가스,종로구,홍지동, 공동주택 ,2189471,1510226,808546,420770,272723,236445,237059,325521,325521,1048856,1565604,2705557
가스,종로구,홍지동, 단독주택 ,2350662,1520790,716658,405886,224863,172550,186485,271913,271913,990909,1554396,2929398
가스,종로구,홍파동, 공동주택 ,8384672,7021520,3021132,2229801,1521548,1275508,1262181,1311790,1311790,2257639,3352534,7718951
가스,종로구,홍파동, 단독주택 ,13532,16111,2383,0,128,128,128,43,43,768,2303,9061
가스,종로구,화동, 공동주택 ,97553,82941,53287,30612,13456,8318,7483,7383,7383,10358,30218,52409
가스,종로구,화동, 단독주택 ,843632,709130,488743,299940,157044,111593,81929,87998,87998,142252,326695,487629
가스,종로구,효자동, 공동주택 ,896626,630464,379567,196027,78141,68178,57139,66875,66875,128619,287167,516078
가스,종로구,효자동, 단독주택 ,1802724,1347049,795947,446715,177330,134092,99524,142916,142916,287856,658401,1109254
가스,종로구,효제동, 공동주택 ,618295,569333,393961,241373,154203,134030,113820,109109,109109,136819,229975,397832
가스,종로구,효제동, 단독주택 ,359098,301679,184083,112488,46034,28251,17699,18432,18432,31245,94984,185440
가스,중구,광희동1가, 단독주택 ,233900,195444,135199,96709,69873,57504,49570,58953,58953,75144,110426,165031
가스,중구,광희동2가, 공동주택 ,325048,294269,160853,84690,44993,34087,26729,36362,36362,57719,133381,220539
가스,중구,광희동2가, 단독주택 ,2499423,2175024,1199302,631948,283849,211179,154528,230796,230327,379463,887038,1575213
가스,중구,남대문로5가, 단독주택 ,5672,4421,0,7319,3068,2908,2904,2943,2943,128,3159,6073
가스,중구,남산동1가, 단독주택 ,521267,435779,266403,169189,102255,87874,72923,88706,88706,134597,228513,374076
가스,중구,남산동2가, 공동주택 ,181947,145443,93342,52585,28547,21316,16205,20462,20462,36805,70201,116975
가스,중구,남산동2가, 단독주택 ,2238851,1733602,1101096,591277,380760,362667,345236,348872,348872,496481,961148,1673179
가스,중구,남산동3가, 단독주택 ,99900,78244,41240,17897,8096,6323,6284,5841,4818,8060,20985,42879
가스,중구,남창동, 공동주택 ,461840,397483,209971,105342,51210,37116,26642,39214,39214,51757,162759,288832
가스,중구,남창동, 단독주택 ,409512,349066,175942,92125,53043,30368,26771,33934,33934,60489,151470,250880
가스,중구,남학동, 단독주택 ,111025,137736,85198,56039,50336,31948,38486,38107,38107,36912,58472,80258
가스,중구,다동, 단독주택 ,180618,183745,165758,157338,158636,138279,145969,147578,147578,171054,195438,220926
가스,중구,만리동1가, 공동주택 ,2064900,1805607,1028010,491819,323830,223799,182098,235777,235777,359217,744376,1295141
가스,중구,만리동1가, 단독주택 ,540286,510091,302592,169670,112307,80299,53647,109731,109731,136607,256624,385900
가스,중구,만리동2가, 공동주택 ,121840,107104,58258,32341,22154,14992,12016,15091,15091,22252,46152,86358
가스,중구,만리동2가, 단독주택 ,17142,14779,8134,4209,426,385,342,341,341,171,171,1197
가스,중구,무교동, 단독주택 ,0,0,0,0,0,0,0,0,0,0,,
가스,중구,무학동, 공동주택 ,65880,61149,33229,22205,8814,6525,5944,5889,5889,8355,23502,26167
가스,중구,무학동, 단독주택 ,176410,165636,91868,56893,29041,22562,22922,22832,22832,29113,68474,81939
가스,중구,묵정동, 공동주택 ,1739847,1212413,745222,374096,237974,158021,131643,183046,183046,290558,632692,1049489
가스,중구,묵정동, 단독주택 ,763836,559693,356401,195086,119462,74729,66499,93064,93064,145244,291013,473330
가스,중구,북창동, 단독주택 ,114775,104692,71563,59419,63482,97687,86841,87818,87818,120176,152002,184660
가스,중구,산림동, 공동주택 ,445295,480034,232797,116607,74957,60361,59828,68222,68222,85864,128334,241930
가스,중구,서소문동, 단독주택 ,137091,162008,139269,169675,147526,145480,145021,123513,123513,160116,157462,175955
가스,중구,순화동, 공동주택 ,5388889,4610740,2761628,2029278,1898861,2248439,2349898,1965183,1965183,1405310,1984811,3733040
가스,중구,신당동, 공동주택 ,129974280,102377622,63256136,34889911,19846951,13136610,11760574,13680971,13680971,26006794,46780370,90969630
가스,중구,신당동, 단독주택 ,52399141,39543077,23826914,13013088,7375845,5331357,4548141,5395861,5350035,10509015,18955506,37890736
가스,중구,쌍림동, 공동주택 ,263552,195878,120272,54055,28078,18625,15010,22552,22552,40471,89737,159906
가스,중구,쌍림동, 단독주택 ,1099264,799420,553973,335472,229729,173522,166288,208708,208708,262267,432013,697274
가스,중구,예장동, 공동주택 ,680768,672561,425252,208554,122650,70554,69493,65834,65834,97151,230338,361650
가스,중구,예장동, 단독주택 ,2005191,1703185,1084116,534193,288050,197108,176377,210730,210730,319373,719380,1140508
가스,중구,오장동, 공동주택 ,922771,795682,568659,301304,189415,135745,118464,123626,123626,148336,268434,473994
가스,중구,오장동, 단독주택 ,97442,62896,47490,39067,26784,21410,21938,21125,21125,27238,36278,42546
가스,중구,을지로2가, 단독주택 ,0,0,0,0,0,0,0,0,0,0,,
가스,중구,을지로3가, 단독주택 ,33389,31957,22625,18340,20454,4491,92320,16198,16198,18145,8237,21855
가스,중구,을지로4가, 단독주택 ,14654,12125,7485,4799,2001,1579,1240,982,982,1876,5251,8542
가스,중구,을지로5가, 공동주택 ,551655,459962,237672,106580,69316,39820,33148,47790,47790,89694,165131,340653
가스,중구,을지로5가, 단독주택 ,32018,34277,27006,26465,26469,23225,22885,18540,18540,21474,26179,32846
가스,중구,을지로6가, 단독주택 ,3309974,1089778,236483,1158055,1998524,2746181,1688903,1577745,1577745,435660,558719,3375848
가스,중구,을지로7가, 단독주택 ,120757,115785,59000,24821,14699,9699,5944,5030,5030,12965,44698,77673
가스,중구,인현동1가, 단독주택 ,98206,80583,62905,52693,48247,40459,42612,37436,37436,60020,67245,121795
가스,중구,인현동2가, 공동주택 ,902283,685051,352901,164510,99987,58993,54011,70675,70675,123460,265117,567197
가스,중구,인현동2가, 단독주택 ,48285,42969,37527,30089,28245,25759,21810,23231,23231,24009,26059,41380
가스,중구,장충동1가, 공동주택 ,3561560,3000702,1841885,887592,495376,348932,352586,370103,370103,609056,1234552,2208032
가스,중구,장충동1가, 단독주택 ,3467072,3077542,1756390,975230,571304,396682,357733,485049,485049,705436,1363373,2299843
가스,중구,장충동2가, 공동주택 ,6457709,5623295,3346537,1719265,992054,650700,515834,705372,705372,1225322,2668489,4664841
가스,중구,장충동2가, 단독주택 ,3000127,2437213,1523408,781026,478593,295885,252781,330630,330630,512111,1116580,1910940
가스,중구,저동2가, 단독주택 ,5459,2870,2717,2937,2686,2866,2903,810,810,1110,1580,6720
가스,중구,정동, 공동주택 ,440351,380926,222817,125674,78451,55162,50904,54400,54400,94527,155418,305445
가스,중구,주교동, 공동주택 ,148571,102174,81964,58182,47051,31135,33090,35008,21188,24759,29812,30642
가스,중구,주교동, 단독주택 ,169820,174188,176784,151784,148079,135126,124276,120362,120362,134178,166447,209659
가스,중구,주자동, 단독주택 ,14614,16465,8081,3524,1959,512,470,555,555,725,5036,11447
가스,중구,중림동, 공동주택 ,12003678,8336667,5183053,3113151,1746165,1497247,1235223,1540045,1540045,3243330,4988974,10189592
가스,중구,중림동, 단독주택 ,2806244,1856710,1122263,593496,303549,243404,210038,277345,277345,719748,1105568,2524012
가스,중구,초동, 단독주택 ,20286,12787,2547,1319,2131,-128,726,853,853,2689,4741,17705
가스,중구,충무로3가, 단독주택 ,6705,7287,7258,7789,5839,5817,6618,5626,5626,6789,6617,9502
가스,중구,충무로4가, 공동주택 ,4553985,4407670,2272274,1191901,754778,522307,384419,486631,486631,704539,1330084,2633959
가스,중구,충무로4가, 단독주택 ,124048,119027,83502,78243,73541,68263,66166,63535,63535,75202,99043,157125
가스,중구,충무로5가, 공동주택 ,1115163,997276,721679,412231,318208,226020,200712,203640,203640,229120,363866,559179
가스,중구,충무로5가, 단독주택 ,56484,58456,46777,39908,38844,42397,31257,34844,34844,39679,46673,48785
가스,중구,충정로1가, 단독주택 ,25186,22548,10399,4555,2472,2780,2177,2899,0,0,,
가스,중구,태평로1가, 단독주택 ,15541,17003,15602,14507,15007,14712,15498,14447,14447,16478,24507,16768
가스,중구,태평로2가, 단독주택 ,0,0,0,0,0,0,0,0,0,0,,
가스,중구,필동1가, 공동주택 ,200816,248002,108211,52602,24274,7763,6628,7596,7596,11381,49339,86692
